season,round_number,team_name,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg,source_game_rows,source_mix
2024,3,Adelaide Crows,2.0,226.0,137.0,363.0,72.5,9.5,8.5,5.5,60.0,41.0,69.0,51.0,21.0,14.5,45.0,62.0,152.5,190.0,,,6.0,6.5,59.0,1.0,,,,,,9.9,0.5277777777777778,0.6225895316804407,,2.0,afl_tables+footywire
2024,3,Brisbane Lions,2.0,218.5,115.5,334.0,103.0,11.0,11.5,7.5,59.0,35.0,59.0,35.5,18.5,20.0,35.5,61.5,125.5,203.5,,,10.5,13.0,41.5,3.0,,,,,,11.2,0.4888888888888889,0.6541916167664671,,2.0,afl_tables+footywire
2024,3,Carlton Blues,2.0,217.0,131.0,348.0,94.5,12.5,11.0,8.0,57.0,43.5,64.0,29.5,22.0,16.5,32.5,55.5,136.0,205.0,,,12.5,10.0,42.0,4.5,,,,,,11.9,0.5319148936170213,0.6235632183908046,,2.0,afl_tables+footywire
2024,3,Collingwood Magpies,3.0,205.66666666666666,143.0,348.6666666666667,84.66666666666667,11.0,10.666666666666666,7.0,49.666666666666664,37.333333333333336,55.0,44.666666666666664,20.333333333333332,22.333333333333332,35.333333333333336,67.0,130.66666666666666,213.0,,,9.0,9.333333333333334,41.0,3.0,,,,,,11.1,0.5076923076923077,0.5898661567877629,,3.0,afl_tables+footywire
2024,3,Essendon Bombers,2.0,202.5,154.0,356.5,81.5,16.0,8.0,13.5,53.5,43.0,54.5,37.5,18.5,14.5,41.5,54.0,124.5,217.5,,,8.5,11.5,35.0,7.5,,,,,,11.3,0.6666666666666666,0.5680224403927069,,2.0,afl_tables+footywire
2024,3,Fremantle Dockers,2.0,216.5,152.5,369.0,96.5,14.5,10.5,10.0,46.5,46.0,63.0,33.5,18.0,18.5,37.5,52.0,126.0,235.0,,,9.0,12.5,35.5,5.5,,,,,,10.7,0.58,0.5867208672086721,,2.0,afl_tables+footywire
2024,3,Geelong Cats,2.0,217.5,135.0,352.5,90.0,12.0,14.0,11.5,58.0,43.5,64.0,38.0,11.5,18.0,37.0,52.5,127.5,207.0,,,13.5,14.5,47.0,3.5,,,,,,10.8,0.46153846153846156,0.6170212765957447,,2.0,afl_tables+footywire
2024,3,Gold Coast Suns,3.0,221.33333333333334,133.0,354.3333333333333,86.0,10.666666666666666,11.333333333333334,7.333333333333333,54.666666666666664,37.666666666666664,55.666666666666664,37.333333333333336,21.666666666666668,19.666666666666668,39.333333333333336,60.666666666666664,144.33333333333334,204.0,,,7.0,11.333333333333334,57.333333333333336,3.0,,,,,,11.0,0.48484848484848486,0.6246472248353716,,3.0,afl_tables+footywire
2024,3,Greater Western Sydney Giants,3.0,225.33333333333334,176.0,401.3333333333333,102.0,17.0,12.333333333333334,13.666666666666666,60.0,39.666666666666664,55.0,29.666666666666668,15.333333333333334,20.333333333333332,35.333333333333336,60.666666666666664,142.33333333333334,251.0,,,14.0,17.0,42.333333333333336,9.666666666666666,,,,,,11.7,0.5795454545454546,0.5614617940199336,,3.0,afl_tables+footywire
2024,3,Hawthorn Hawks,2.0,212.0,149.0,361.0,105.5,8.0,12.5,7.0,49.5,36.5,47.0,32.5,15.5,17.5,27.0,52.0,119.0,238.5,,,8.0,15.0,42.0,8.0,,,,,,11.2,0.3902439024390244,0.5872576177285319,,2.0,afl_tables+footywire
2024,3,Melbourne Demons,3.0,224.0,144.33333333333334,368.3333333333333,103.33333333333333,13.0,10.666666666666666,9.666666666666666,53.0,44.0,61.666666666666664,35.0,20.0,18.666666666666668,35.0,59.0,133.0,235.33333333333334,,,8.666666666666666,10.333333333333334,41.333333333333336,1.0,,,,,,10.7,0.5492957746478874,0.6081447963800904,,3.0,afl_tables+footywire
2024,3,North Melbourne Kangaroos,2.0,199.5,152.0,351.5,91.0,12.0,7.0,10.0,51.5,36.5,44.5,30.0,19.0,15.0,35.0,44.5,115.5,223.5,,,6.5,12.0,43.5,3.5,,,,,,8.4,0.631578947368421,0.5675675675675675,,2.0,afl_tables+footywire
2024,3,Port Adelaide Power,2.0,237.5,123.5,361.0,114.0,17.0,19.0,13.0,60.0,34.5,46.0,33.0,19.5,15.5,33.0,46.5,113.5,226.0,,,10.0,21.0,38.0,5.5,,,,,,13.2,0.4722222222222222,0.6578947368421053,,2.0,afl_tables+footywire
