sport,date,season,home_team,away_team,home_odds_open,home_odds_close,away_odds_open,away_odds_close,total_open,total_close,who_shortened,totals_direction,fav_side,elo_gap_proxy,home_move_pct,away_move_pct,result_margin
AFL,2026-05-28,2026,St Kilda,Hawthorn,2.5,3.35,1.49,1.33,179.5,179.5,AWAY,EVEN,AWAY,-0.2531,34.0,-10.74,-52.0
AFL,2026-05-24,2026,Western Bulldogs,Melbourne,1.65,2.08,2.2,1.75,188.5,191.5,AWAY,OVERS,HOME,0.1429,26.06,-20.45,3.0
AFL,2026-05-24,2026,GWS Giants,Brisbane,2.6,2.45,1.48,1.55,186.5,188.5,HOME,OVERS,AWAY,-0.2745,-5.77,4.73,78.0
AFL,2026-05-23,2026,Port Adelaide,Carlton,1.48,1.44,2.6,2.8,168.5,167.5,HOME,UNDERS,HOME,0.2745,-2.7,7.69,-34.0
AFL,2026-05-23,2026,Collingwood,West Coast,1.07,1.06,8.0,9.5,179.5,176.5,HOME,UNDERS,HOME,0.7641,-0.93,18.75,10.0
AFL,2026-05-23,2026,Geelong,Sydney,1.55,1.5,2.4,2.6,190.5,187.5,HOME,UNDERS,HOME,0.2152,-3.23,8.33,27.0
AFL,2026-05-23,2026,North Melbourne,Gold Coast,2.45,2.4,1.53,1.58,183.5,190.5,HOME,OVERS,AWAY,-0.2312,-2.04,3.27,6.0
AFL,2026-05-22,2026,Fremantle,St Kilda,1.28,1.27,3.6,3.75,175.5,169.5,HOME,UNDERS,HOME,0.4754,-0.78,4.17,30.0
AFL,2026-05-22,2026,Richmond,Essendon,2.6,2.8,1.48,1.44,173.5,165.5,AWAY,UNDERS,AWAY,-0.2745,7.69,-2.7,18.0
AFL,2026-05-21,2026,Hawthorn,Adelaide,1.36,1.55,3.1,2.45,162.5,157.5,AWAY,UNDERS,HOME,0.3901,13.97,-20.97,9.0
AFL,2026-05-17,2026,West Coast,GWS Giants,4.8,4.3,1.17,1.22,178.5,182.5,HOME,OVERS,AWAY,-0.608,-10.42,4.27,17.0
AFL,2026-05-17,2026,St Kilda,Richmond,1.09,1.09,7.0,7.5,180.5,179.5,BOTH_OR_NEITHER,UNDERS,HOME,0.7305,0.0,7.14,36.0
AFL,2026-05-17,2026,Essendon,Fremantle,5.25,4.8,1.15,1.19,175.5,168.5,HOME,UNDERS,AWAY,-0.6406,-8.57,3.48,-43.0
AFL,2026-05-16,2026,Carlton,Western Bulldogs,2.7,2.35,1.45,1.6,187.5,187.5,HOME,EVEN,AWAY,-0.3012,-12.96,10.34,12.0
AFL,2026-05-16,2026,Melbourne,Hawthorn,3.2,2.8,1.34,1.44,183.5,184.5,HOME,OVERS,AWAY,-0.4097,-12.5,7.46,39.0
AFL,2026-05-16,2026,Adelaide,North Melbourne,1.37,1.48,3.0,2.65,182.5,176.5,AWAY,UNDERS,HOME,0.373,8.03,-11.67,68.0
AFL,2026-05-15,2026,Gold Coast,Port Adelaide,1.25,1.21,3.85,4.4,174.5,170.5,HOME,UNDERS,HOME,0.5098,-3.2,14.29,25.0
AFL,2026-05-15,2026,Sydney,Collingwood,1.22,1.13,4.2,6.0,181.5,177.5,HOME,UNDERS,HOME,0.5498,-7.38,42.86,6.0
AFL,2026-05-14,2026,Brisbane,Geelong,1.43,1.47,2.75,2.7,185.5,182.5,AWAY,UNDERS,HOME,0.3158,2.8,-1.82,-41.0
AFL,2026-05-10,2026,Richmond,Adelaide,5.25,6.0,1.14,1.13,180.5,179.5,AWAY,UNDERS,AWAY,-0.6432,14.29,-0.88,-37.0
AFL,2026-05-10,2026,Melbourne,West Coast,1.12,1.1,5.75,7.0,195.5,195.5,HOME,EVEN,HOME,0.6739,-1.79,21.74,32.0
AFL,2026-05-09,2026,Geelong,Collingwood,1.49,1.48,2.5,2.65,177.5,174.5,HOME,UNDERS,HOME,0.2531,-0.67,6.0,54.0
AFL,2026-05-09,2026,Gold Coast,St Kilda,1.41,1.34,2.75,3.2,192.5,191.5,HOME,UNDERS,HOME,0.3221,-4.96,16.36,29.0
AFL,2026-05-09,2026,GWS Giants,Essendon,1.08,1.1,7.0,7.0,190.5,190.5,BOTH_OR_NEITHER,EVEN,HOME,0.7327,1.85,0.0,14.0
AFL,2026-05-09,2026,North Melbourne,Sydney,3.7,3.35,1.25,1.32,192.5,190.5,HOME,UNDERS,AWAY,-0.4949,-9.46,5.6,-8.0
AFL,2026-05-08,2026,Port Adelaide,Western Bulldogs,1.96,2.0,1.78,1.8,175.5,175.5,BOTH_OR_NEITHER,EVEN,AWAY,-0.0481,2.04,1.12,-2.0
AFL,2026-05-08,2026,Brisbane,Carlton,1.14,1.1,5.25,7.0,186.5,186.5,HOME,EVEN,HOME,0.6432,-3.51,33.33,11.0
AFL,2026-05-07,2026,Fremantle,Hawthorn,1.82,1.7,1.92,2.15,176.5,176.5,HOME,EVEN,HOME,0.0267,-6.59,11.98,15.0
AFL,2026-05-03,2026,Gold Coast,GWS Giants,1.34,1.57,3.25,2.4,187.5,185.5,AWAY,UNDERS,HOME,0.4161,17.16,-26.15,20.0
AFL,2026-05-03,2026,Sydney,Melbourne,1.17,1.12,5.0,6.25,186.5,190.5,HOME,OVERS,HOME,0.6207,-4.27,25.0,17.0
AFL,2026-05-02,2026,Carlton,St Kilda,2.5,2.45,1.52,1.54,180.5,183.5,HOME,OVERS,AWAY,-0.2438,-2.0,1.32,-39.0
AFL,2026-05-02,2026,Geelong,North Melbourne,1.22,1.23,4.25,4.2,190.5,216.5,AWAY,OVERS,HOME,0.5539,0.82,-1.18,49.0
