match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source_x,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,season_key,date_key,home_odds,draw_odds,away_odds,closing_status,source_y,source,market_home_prob,market_draw_prob,market_away_prob,model_edge_home,model_edge_draw,model_edge_away,model_pick,market_pick,model_correct,market_correct,max_edge,value_pick,value_win,flat_return
ucl-2013-14-026,2013-14,knockout_phase,,2013-09-17T00:00:00+00:00,date_only,sl-benfica,rsc-anderlecht,SL Benfica (POR),RSC Anderlecht (BEL),2,0,openfootball,2013-09-17T00:00:00+00:00,2013-09-17 00:00:00+00:00,sl-benfica,rsc-anderlecht,2.0,0.0,goals_fallback,0.5193361473896907,0.3161830792125854,0.1644807733977236,shared_xg_dixon_coles,2013-14,2013-09-17,1.4385,4.3478,7.8741,confirmed_archive_closing,BeatTheBookie,,0.6607007457821631,0.2185974568304985,0.1207017973873384,-0.1413645983924724,0.0975856223820869,0.0437789760103851,0,0,True,True,0.09758562238208693,1,False,-1.0
ucl-2013-14-097,2013-14,knockout_phase,,2014-02-18T00:00:00+00:00,date_only,manchester-city,barcelona,Manchester City (ENG),FC Barcelona (ESP),0,2,openfootball,2014-02-18T00:00:00+00:00,2014-02-18 00:00:00+00:00,manchester-city,fc-barcelona,0.0,2.0,goals_fallback,0.3602068746070487,0.2359320402239944,0.4038610851689569,shared_xg_dixon_coles,2013-14,2014-02-18,2.9297,3.4717,2.3772,confirmed_archive_closing,BeatTheBookie,,0.3250661631533542,0.2743170026760325,0.4006168341706133,0.0351407114536944,-0.0383849624520381,0.0032442509983436,2,2,True,True,0.03514071145369452,0,False,-1.0
ucl-2013-14-098,2013-14,knockout_phase,,2014-02-18T00:00:00+00:00,date_only,bayer-leverkusen,paris-saint-germain,Bayer Leverkusen (GER),Paris Saint-Germain (FRA),0,4,openfootball,2014-02-18T00:00:00+00:00,2014-02-18 00:00:00+00:00,bayer-leverkusen,paris-saint-germain,0.0,4.0,goals_fallback,0.2437333420900302,0.2167869176490598,0.5394797402609096,shared_xg_dixon_coles,2013-14,2014-02-18,3.3148,3.3248,2.2383,confirmed_archive_closing,BeatTheBookie,,0.2875267177231457,0.28666192369727,0.4258113585795842,-0.0437933756331155,-0.0698750060482102,0.1136683816813253,2,2,True,True,0.11366838168132543,2,True,1.2383000000000002
ucl-2014-15-001,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,olympiakos,atl-tico-madrid,Olympiakos Piraeus (GRE),Atlético Madrid (ESP),3,2,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,olympiakos-piraeus,atl-tico-madrid,3.0,2.0,goals_fallback,0.1571168507743137,0.1896707779593054,0.6532123712663808,shared_xg_dixon_coles,2014-15,2014-09-16,3.9886,3.2061,2.0354,confirmed_archive_closing,BeatTheBookie,,0.2378867577138768,0.2959468269291567,0.4661664153569663,-0.0807699069395631,-0.1062760489698513,0.1870459559094144,2,2,False,False,0.18704595590941447,2,False,-1.0
ucl-2014-15-002,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,juventus,malm-ff,Juventus (ITA),Malmö FF (SWE),2,0,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,juventus,malm-ff,2.0,0.0,goals_fallback,0.7482944960021677,0.164756135779018,0.0869493682188141,shared_xg_dixon_coles,2014-15,2014-09-16,1.1471,8.0021,17.9932,confirmed_archive_closing,BeatTheBookie,,0.8284305896495958,0.1187554178761889,0.0528139924742153,-0.0801360936474281,0.046000717902829,0.0341353757445987,0,0,True,True,0.046000717902829086,1,False,-1.0
ucl-2014-15-025,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,as-monaco,bayer-leverkusen,AS Monaco (FRA),Bayer Leverkusen (GER),1,0,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,as-monaco,bayer-leverkusen,1.0,0.0,goals_fallback,0.6212636756743064,0.1947366427657599,0.1839996815599337,shared_xg_dixon_coles,2014-15,2014-09-16,3.2832,3.4818,2.1654,confirmed_archive_closing,BeatTheBookie,,0.2890866872584244,0.2725973380455107,0.4383159746960648,0.332176988415882,-0.0778606952797507,-0.2543162931361311,0,2,True,False,0.332176988415882,0,True,2.2832
ucl-2014-15-026,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,sl-benfica,zenit-st-petersburg,SL Benfica (POR),Zenit St. Petersburg (RUS),0,2,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,sl-benfica,zenit-st-petersburg,0.0,2.0,goals_fallback,0.5075558212348426,0.2673709538775919,0.2250732248875658,shared_xg_dixon_coles,2014-15,2014-09-16,1.9846,3.41,3.9011,confirmed_archive_closing,BeatTheBookie,,0.4783035661591387,0.2783698702051104,0.2433265636357506,0.0292522550757037,-0.0109989163275185,-0.0182533387481848,0,0,False,False,0.029252255075703837,0,False,-1.0
ucl-2014-15-037,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,borussia-dortmund,arsenal,Borussia Dortmund (GER),Arsenal FC (ENG),2,0,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,borussia-dortmund,arsenal-fc,2.0,0.0,goals_fallback,0.5450584823459855,0.2364545565488774,0.218486961105137,shared_xg_dixon_coles,2014-15,2014-09-16,1.8743,3.6829,4.055,confirmed_archive_closing,BeatTheBookie,,0.5073208726668147,0.2581855363000382,0.234493591033147,0.0377376096791708,-0.0217309797511608,-0.0160066299280099,0,0,True,True,0.037737609679170836,0,True,0.8743000000000001
ucl-2014-15-038,2014-15,knockout_phase,,2014-09-16T00:00:00+00:00,date_only,galatasaray,rsc-anderlecht,Galatasaray (TUR),RSC Anderlecht (BEL),1,1,openfootball,2014-09-16T00:00:00+00:00,2014-09-16 00:00:00+00:00,galatasaray,rsc-anderlecht,1.0,1.0,goals_fallback,0.7846195166037364,0.1346619087882188,0.0807185746080449,shared_xg_dixon_coles,2014-15,2014-09-16,1.6954,3.8039,5.0293,confirmed_archive_closing,BeatTheBookie,,0.5609138305891138,0.2499995552934576,0.1890866141174285,0.2237056860146226,-0.1153376465052388,-0.1083680395093836,0,0,False,False,0.2237056860146226,0,False,-1.0
ucl-2014-15-097,2014-15,knockout_phase,,2015-02-17T00:00:00+00:00,date_only,paris-saint-germain,chelsea,Paris Saint-Germain (FRA),Chelsea FC (ENG),1,1,openfootball,2015-02-17T00:00:00+00:00,2015-02-17 00:00:00+00:00,paris-saint-germain,chelsea-fc,1.0,1.0,goals_fallback,0.5279585249053093,0.2376164928086599,0.2344249822860307,shared_xg_dixon_coles,2014-15,2015-02-17,2.6545,3.0424,2.9528,confirmed_archive_closing,BeatTheBookie,,0.3608181489957879,0.3148145465781354,0.3243673044260767,0.1671403759095213,-0.0771980537694755,-0.089942322140046,0,0,False,False,0.16714037590952135,0,False,-1.0
