season,club_id,final_position,qualification_bucket,format,rules_version
2025-26,manchester-city-fc,8,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,real-madrid-cf,9,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fc-internazionale-milano,10,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,paris-saint-germain-fc,11,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,newcastle-united-fc,12,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,juventus-fc,13,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,club-atl-tico-de-madrid,14,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,atalanta-bc,15,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,bayer-04-leverkusen,16,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,borussia-dortmund,17,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,pae-olympiakos-sfp,18,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,club-brugge-kv,19,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,galatasaray-sk,20,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,as-monaco-fc,21,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,qaraba-a-dam-fk,22,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fk-bod-glimt,23,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,sport-lisboa-e-benfica,24,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2025-26,olympique-de-marseille,25,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,paphos-fc,26,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,royale-union-saint-gilloise,27,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,psv,28,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,athletic-club,29,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,ssc-napoli,30,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fc-k-benhavn,31,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,afc-ajax,32,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,eintracht-frankfurt,33,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,sk-slavia-praha,34,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,villarreal-cf,35,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fk-kairat,36,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
