season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg
2017/18,2018-01-31,Southampton,Brighton,D,1,1,1.797,0.685,0.5728,0.2545,0.1727,1.746,3.929,5.791,2.214,1.823,,,,,,0.1193,0.32808,0.55571,0.02982,0.85046,1.3683,0.18956,,,,,,1460.2,1449.2,11.0,0,10.19,21.74,-11.55,31.93,10,11.0,-1.0,3.0,2.0,1.0,M Dean,0.49074074074074076,2.6296296296296298,3.685185185185185
2017/18,2018-01-31,Stoke,Watford,D,0,0,1.794,1.191,0.4849,0.2617,0.2534,2.062,3.821,3.947,1.743,2.345,,,,,,0.09978,0.23512,0.54506,0.06421,0.66338,1.34049,0.29221,,,,,,1444.2,1432.1,12.2,0,15.75,11.4,4.35,27.15,11,11.0,0.0,4.0,4.0,0.0,J Moss,0.39215686274509803,2.803921568627451,3.5294117647058822
2017/18,2018-01-31,Tottenham,Man United,H,2,0,1.835,1.106,0.4972,0.2588,0.2439,2.011,3.864,4.099,1.775,2.29,,,,,,0.10409,0.25276,0.06698,0.05951,0.69866,0.2995,0.27963,,,,,,1627.6,1642.8,-15.2,0,7.3,11.68,-4.38,18.98,10,11.0,-1.0,11.0,11.0,0.0,A Marriner,0.4659090909090909,2.9431818181818183,3.5
2017/18,2018-01-31,Chelsea,Bournemouth,A,0,3,2.433,0.723,0.7098,0.1867,0.1035,1.409,5.356,9.664,1.637,2.569,,,,,,0.43586,0.50383,0.03486,0.80376,1.23722,0.20667,2.26844,,,,,,1655.2,1474.3,180.9,1,12.14,22.07,-9.93,34.21,11,11.0,0.0,11.0,9.0,2.0,L Probert,0.47619047619047616,2.0476190476190474,2.2857142857142856
2017/18,2018-02-03,Bournemouth,Stoke,H,2,1,1.504,1.308,0.4232,0.275,0.3018,2.363,3.636,3.314,1.875,2.143,,,,,,0.14127,0.33273,0.07565,0.09107,0.85997,0.32165,0.35922,,,,,,1474.3,1444.2,30.1,1,21.81,14.85,6.96,36.66,3,3.0,0.0,11.0,4.0,7.0,P Tierney,0.4166666666666667,2.0,2.7916666666666665
2017/18,2018-02-03,Man United,Huddersfield,H,2,0,2.08,0.554,0.7,0.2034,0.0966,1.429,4.916,10.353,2.041,1.96,,,,,,0.03311,0.09001,0.04138,0.00933,0.35669,0.22742,0.10158,,,,,,1642.8,1447.1,195.7,0,10.71,14.13,-3.42,24.84,3,4.0,-1.0,10.0,1.0,9.0,S Attwell,0.36,1.92,3.12
2017/18,2018-02-03,West Brom,Southampton,A,2,3,1.287,1.294,0.3684,0.2871,0.3445,2.715,3.484,2.902,2.097,1.912,,,,,,0.18844,0.13571,0.0824,0.42961,0.45948,0.33836,1.06552,,,,,,1436.5,1460.2,-23.7,1,15.14,10.18,4.96,25.32,3,3.0,0.0,5.0,4.0,1.0,M Oliver,0.45794392523364486,2.794392523364486,3.3738317757009346
2017/18,2018-02-03,Leicester,Swansea,D,1,1,2.13,0.888,0.6147,0.2256,0.1597,1.627,4.433,6.261,1.722,2.384,,,,,,0.13445,0.37783,0.5997,0.02551,0.95368,1.48899,0.17402,,,,,,1527.3,1437.1,90.1,0,11.62,23.04,-11.42,34.66,3,4.0,-1.0,7.0,10.0,-3.0,A Taylor,0.42990654205607476,2.8411214953271027,3.7570093457943927
2017/18,2018-02-03,Arsenal,Everton,H,5,1,2.5,1.018,0.6454,0.2032,0.1514,1.549,4.921,6.607,1.466,3.148,,,,,,0.04954,0.12572,0.04129,0.02291,0.43784,0.22716,0.16412,,,,,,1595.7,1496.6,99.0,1,10.06,10.36,-0.3,20.42,4,3.0,1.0,5.0,4.0,1.0,N Swarbrick,0.4342105263157895,2.8289473684210527,3.3684210526315788
2017/18,2018-02-03,Brighton,West Ham,H,3,1,1.234,1.468,0.3326,0.2788,0.3886,3.007,3.586,2.574,1.973,2.028,,,,,,0.1988,0.44542,0.07775,0.15098,1.10081,0.32689,0.49194,,,,,,1449.2,1483.7,-34.4,1,18.85,12.66,6.19,31.51,3,4.0,-1.0,3.0,9.0,-6.0,R East,0.5,2.59375,3.03125
