season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg
2023/24,2023-12-16,Man City,Crystal Palace,D,2,2,2.514,0.659,0.7352,0.1753,0.0896,1.36,5.705,11.166,1.904,2.106,1.2,8.8,19.5,1.5,3.0,0.18283,0.54046,0.68016,0.00802,1.32863,1.74137,0.09383,-11.76,54.25,74.64,-21.22,42.45,1662.2,1459.5,202.7,1,13.25,14.05,-0.8,27.3,6,7.0,-1.0,6.0,1.0,5.0,P Tierney,0.40119760479041916,2.7425149700598803,3.413173652694611
2023/24,2023-12-17,Arsenal,Brighton,H,2,0,2.223,1.377,0.5525,0.2276,0.2199,1.81,4.394,4.548,1.576,2.737,1.53,5.0,7.0,1.66,2.44,0.08286,0.20022,0.05179,0.04835,0.59322,0.25822,0.24831,-15.47,13.79,53.91,5.33,-10.85,1638.8,1543.2,95.6,0,8.63,10.51,-1.88,19.14,8,8.0,0.0,12.0,8.0,4.0,T Robinson,0.5384615384615384,2.3846153846153846,4.3076923076923075
2023/24,2023-12-17,Liverpool,Man United,D,0,0,2.558,1.346,0.5984,0.2099,0.1918,1.671,4.765,5.214,1.5,3.0,1.42,6.55,9.5,1.35,3.52,0.1316,0.35803,0.62432,0.03678,0.9122,1.56131,0.21292,-15.02,37.46,82.2,-10.0,17.33,1649.5,1567.1,82.4,0,8.31,11.28,-2.97,19.59,8,8.0,0.0,13.0,9.0,4.0,M Oliver,0.4416058394160584,2.948905109489051,3.153284671532847
2023/24,2023-12-17,Brentford,Aston Villa,A,1,2,2.082,1.235,0.4937,0.2349,0.2714,2.025,4.257,3.685,1.609,2.643,3.5,3.85,2.23,1.77,2.26,0.25822,0.24376,0.05518,0.5309,0.68067,0.26776,1.30427,72.84,-9.56,-39.48,10.01,-14.49,1505.6,1601.9,-96.3,1,10.93,12.02,-1.09,22.95,8,8.0,0.0,3.0,13.0,-10.0,D Coote,0.45263157894736844,2.736842105263158,3.5473684210526315
2023/24,2023-12-17,West Ham,Wolves,H,3,0,1.719,1.232,0.4701,0.265,0.2649,2.127,3.774,3.775,2.135,1.881,2.27,3.68,3.62,1.96,2.02,0.11698,0.28075,0.0702,0.07017,0.75473,0.30783,0.30775,6.72,-2.49,-4.11,-8.2,7.39,1499.4,1475.3,24.1,1,16.77,15.19,1.58,31.96,7,8.0,-1.0,10.0,7.0,3.0,C Kavanagh,0.4765625,2.703125,3.328125
2023/24,2023-12-21,Crystal Palace,Brighton,D,1,1,1.291,1.496,0.3294,0.2718,0.3988,3.035,3.68,2.508,2.135,1.881,3.5,3.7,2.25,2.0,1.99,0.08919,0.10853,0.53032,0.15903,0.39964,1.3028,0.50881,15.32,0.54,-10.29,-6.32,5.79,1466.0,1537.6,-71.6,0,15.15,12.02,3.13,27.17,5,4.0,1.0,2.0,7.0,-5.0,J Brooks,0.42424242424242425,2.121212121212121,4.424242424242424
2023/24,2023-12-22,Aston Villa,Sheffield United,D,1,1,2.378,0.858,0.6914,0.1936,0.115,1.446,5.165,8.692,1.904,2.106,1.28,7.3,14.0,1.51,2.92,0.16373,0.47797,0.65028,0.01324,1.17555,1.64196,0.12222,-11.48,41.34,61.07,-20.69,38.65,1611.0,1395.8,215.2,0,11.68,16.31,-4.63,27.99,5,6.0,-1.0,13.0,3.0,10.0,A Taylor,0.45195729537366547,2.8754448398576513,3.5729537366548043
2023/24,2023-12-23,West Ham,Man United,H,2,0,1.616,1.726,0.358,0.2522,0.3898,2.793,3.964,2.566,1.609,2.643,2.72,3.81,2.7,1.75,2.28,0.18804,0.4122,0.06363,0.15193,1.02729,0.29068,0.49393,-2.61,-3.88,5.22,8.76,-13.73,1506.9,1571.1,-64.2,0,16.51,13.25,3.26,29.76,6,6.0,0.0,10.0,7.0,3.0,S Hooper,0.4482758620689655,2.8620689655172415,3.2873563218390807
2023/24,2023-12-23,Fulham,Burnley,A,0,2,1.773,1.25,0.5003,0.2546,0.2452,1.999,3.928,4.079,2.135,1.881,1.76,4.2,5.3,1.94,2.02,0.27335,0.25026,0.06481,0.56979,0.69366,0.29382,1.40586,-11.96,6.92,29.93,-9.13,7.39,1487.2,1395.7,91.5,0,14.84,15.18,-0.34,30.02,7,7.0,0.0,9.0,4.0,5.0,R Welch,,,
2023/24,2023-12-23,Luton,Newcastle,H,1,0,1.685,2.347,0.2719,0.2147,0.5134,3.678,4.657,1.948,1.069,15.5,5.32,4.6,1.71,1.83,2.14,0.26459,0.53017,0.0461,0.2636,1.30243,0.2417,0.72035,44.64,-1.22,-12.22,71.19,-86.19,1410.2,1575.2,-165.0,0,17.7,10.34,7.36,28.04,13,7.0,6.0,3.0,9.0,-6.0,D England,0.40425531914893614,3.0,3.723404255319149
