Referee,team,games,home_games,pts_pct_with_ref,pts_pct_other_refs,card_pts_vs_team_with_ref,card_pts_vs_team_other_refs,pts_delta,card_delta
J Simpson,Preston,21,13,0.413,0.455,1.333,2.048,-0.043,-0.715
A Woolmer,QPR,15,6,0.378,0.422,1.6,1.912,-0.045,-0.312
J Busby,Bristol City,13,7,0.385,0.43,1.538,1.668,-0.045,-0.13
L Doughty,Huddersfield,10,5,0.4,0.448,2.6,1.609,-0.048,0.991
T Robinson,Rotherham,12,7,0.25,0.298,2.083,1.794,-0.048,0.29
D Bond,Reading,18,7,0.37,0.419,1.833,1.812,-0.048,0.021
T Harrington,Leeds,13,8,0.487,0.536,1.0,1.99,-0.049,-0.99
J Linington,West Brom,16,4,0.479,0.528,1.875,1.819,-0.049,0.056
D Bond,Brentford,16,1,0.479,0.528,1.312,1.565,-0.049,-0.253
M Donohue,West Brom,10,6,0.467,0.517,2.6,1.777,-0.05,0.823
D Whitestone,Bristol City,13,4,0.385,0.435,1.231,1.65,-0.05,-0.419
O Langford,Nott'm Forest,17,10,0.392,0.443,1.824,1.969,-0.05,-0.145
D England,Millwall,10,4,0.4,0.452,1.3,1.759,-0.052,-0.459
D Whitestone,Derby,11,3,0.394,0.447,1.364,1.864,-0.053,-0.501
D Whitestone,Coventry,12,7,0.417,0.469,1.75,1.78,-0.053,-0.03
K Stroud,Stoke,11,2,0.364,0.417,2.273,1.95,-0.053,0.323
T Robinson,Stoke,11,7,0.364,0.417,2.364,1.726,-0.053,0.638
G Ward,Hull,14,6,0.381,0.435,1.643,1.679,-0.054,-0.036
G Eltringham,Hull,14,10,0.381,0.435,1.786,1.698,-0.054,0.088
S Martin,Hull,18,7,0.37,0.426,1.056,1.734,-0.055,-0.679
G Ward,West Brom,12,6,0.472,0.528,2.083,1.811,-0.056,0.273
D Webb,Blackburn,21,8,0.397,0.452,1.429,2.032,-0.056,-0.603
G Eltringham,Nott'm Forest,17,9,0.392,0.449,2.235,1.938,-0.057,0.298
M Donohue,Cardiff,12,8,0.361,0.424,2.5,1.871,-0.063,0.629
M Donohue,Swansea,12,6,0.417,0.48,2.167,1.856,-0.063,0.311
D Webb,Swansea,20,5,0.417,0.48,1.55,1.762,-0.063,-0.212
A Woolmer,Sheffield Weds,10,5,0.4,0.464,1.0,1.902,-0.064,-0.902
G Scott,Birmingham,10,5,0.333,0.397,2.7,1.942,-0.064,0.758
J Linington,Norwich,20,11,0.5,0.565,1.7,1.881,-0.065,-0.181
S Hooper,Bristol City,13,7,0.359,0.425,1.769,1.65,-0.066,0.119
T Harrington,Brentford,12,3,0.472,0.538,1.25,1.515,-0.066,-0.265
S Hooper,Brentford,12,7,0.444,0.511,2.083,1.587,-0.067,0.496
P Bankes,Sheffield Weds,12,8,0.417,0.485,2.0,1.844,-0.068,0.156
J Simpson,Sunderland,10,5,0.367,0.435,2.3,2.167,-0.068,0.133
T Robinson,Millwall,17,10,0.392,0.461,1.412,1.767,-0.069,-0.355
G Ward,Cardiff,13,6,0.359,0.428,1.769,1.861,-0.069,-0.092
K Stroud,Wigan,12,4,0.278,0.347,2.167,1.986,-0.069,0.18
J Smith,Cardiff,10,6,0.333,0.403,2.0,1.964,-0.07,0.036
A Davies,Barnsley,11,3,0.303,0.374,1.818,1.776,-0.071,0.042
T Robinson,Derby,19,7,0.404,0.477,1.842,1.809,-0.074,0.034
S Martin,Barnsley,10,4,0.3,0.374,1.3,1.8,-0.074,-0.5
A Davies,Stoke,15,5,0.333,0.41,1.867,1.935,-0.077,-0.068
S Martin,Derby,13,7,0.385,0.462,1.462,1.842,-0.077,-0.381
J Linington,Brentford,11,7,0.455,0.533,1.0,1.493,-0.078,-0.493
M Donohue,Preston,13,8,0.359,0.441,2.846,2.06,-0.082,0.786
D Whitestone,Luton,14,10,0.381,0.465,1.429,1.829,-0.084,-0.4
S Martin,Brentford,11,5,0.455,0.538,1.364,1.509,-0.084,-0.146
O Langford,Preston,20,7,0.367,0.456,1.8,2.038,-0.089,-0.238
A Madley,Reading,11,4,0.333,0.424,1.818,1.896,-0.091,-0.078
A Madley,Birmingham,11,7,0.303,0.394,2.273,1.907,-0.091,0.366
P Bankes,Birmingham,14,7,0.31,0.401,2.071,1.931,-0.092,0.141
J Linington,Hull,14,8,0.31,0.402,1.5,1.769,-0.092,-0.269
J Simpson,Nott'm Forest,16,10,0.354,0.447,2.062,2.016,-0.092,0.046
M Donohue,Millwall,13,4,0.385,0.478,1.769,1.73,-0.093,0.039
S Martin,Cardiff,15,8,0.378,0.472,1.4,1.815,-0.094,-0.415
D Bond,Bristol City,18,10,0.352,0.447,1.556,1.74,-0.095,-0.184
J Smith,Norwich,10,4,0.433,0.529,2.0,1.805,-0.095,0.195
D Bond,Stoke,13,3,0.308,0.404,1.769,1.916,-0.097,-0.147
G Ward,Birmingham,18,7,0.296,0.395,1.556,1.938,-0.098,-0.382
S Duncan,Leeds,12,8,0.389,0.488,1.333,2.11,-0.099,-0.777
D England,Middlesbrough,16,12,0.396,0.495,2.375,1.835,-0.099,0.54
J Simpson,Bristol City,18,5,0.333,0.434,1.889,1.639,-0.1,0.25
O Langford,Brentford,14,9,0.429,0.53,1.643,1.549,-0.102,0.094
S Hooper,QPR,12,9,0.333,0.435,1.667,1.968,-0.102,-0.301
J Linington,Derby,13,10,0.359,0.462,2.154,1.832,-0.103,0.322
J Simpson,Brentford,12,4,0.417,0.52,2.0,1.598,-0.104,0.402
T Robinson,Sunderland,11,6,0.333,0.437,2.818,2.133,-0.104,0.685
M Donohue,Reading,12,7,0.306,0.411,1.667,1.605,-0.105,0.062
A Woolmer,Wigan,11,8,0.242,0.349,1.364,2.027,-0.106,-0.664
S Duncan,Preston,10,7,0.367,0.473,2.1,2.08,-0.107,0.02
T Robinson,QPR,17,8,0.314,0.421,1.882,1.942,-0.108,-0.06
K Stroud,West Brom,10,4,0.433,0.542,1.7,1.862,-0.109,-0.162
J Simpson,Millwall,16,6,0.354,0.465,1.938,1.727,-0.111,0.21
D Whitestone,Stoke,11,7,0.303,0.414,1.727,1.881,-0.111,-0.154
G Ward,Watford,13,6,0.41,0.522,1.923,2.138,-0.112,-0.215
J Linington,Nott'm Forest,20,10,0.333,0.446,1.9,1.966,-0.113,-0.066
J Simpson,Barnsley,11,7,0.303,0.416,1.455,1.798,-0.113,-0.343
G Eltringham,Cardiff,11,2,0.333,0.453,2.0,1.857,-0.12,0.143
K Stroud,Middlesbrough,15,7,0.4,0.52,2.0,1.822,-0.12,0.178
A Davies,Blackburn,12,1,0.333,0.455,2.083,1.975,-0.122,0.109
D Bond,Derby,20,11,0.367,0.49,1.3,1.833,-0.124,-0.533
T Robinson,Preston,16,5,0.333,0.457,2.188,1.982,-0.124,0.205
D Webb,Sheffield United,13,6,0.513,0.637,2.385,2.012,-0.125,0.373
S Hooper,Middlesbrough,12,5,0.417,0.543,2.167,1.7,-0.126,0.467
A Woolmer,Birmingham,12,6,0.278,0.404,2.0,1.854,-0.127,0.146
K Stroud,Sheffield United,10,4,0.467,0.594,1.8,2.011,-0.127,-0.211
S Duncan,Nott'm Forest,12,2,0.306,0.433,2.583,2.004,-0.128,0.58
P Bankes,QPR,14,8,0.286,0.413,2.786,1.883,-0.128,0.903
T Harrington,Rotherham,12,9,0.167,0.295,2.0,1.797,-0.128,0.203
J Simpson,Cardiff,17,9,0.353,0.481,1.941,1.835,-0.129,0.106
J Simpson,Luton,11,5,0.364,0.493,1.545,1.751,-0.13,-0.206
D Bond,Middlesbrough,24,14,0.403,0.534,1.917,1.841,-0.131,0.076
T Harrington,Sheffield Weds,16,8,0.333,0.465,1.688,1.846,-0.132,-0.159
A Davies,Bristol City,12,6,0.306,0.443,1.5,1.684,-0.137,-0.184
O Langford,Rotherham,15,8,0.156,0.296,1.467,1.821,-0.141,-0.354
S Hooper,Norwich,12,7,0.444,0.586,2.5,1.807,-0.141,0.693
T Harrington,Swansea,11,2,0.364,0.509,1.727,1.532,-0.145,0.195
G Eltringham,Ipswich,10,3,0.3,0.446,1.4,1.96,-0.146,-0.56
O Langford,Stoke,21,10,0.27,0.416,1.714,1.947,-0.147,-0.233
K Stroud,Birmingham,21,10,0.238,0.39,2.667,1.919,-0.152,0.748
T Robinson,Reading,19,13,0.263,0.416,1.895,1.745,-0.153,0.15
A Davies,Preston,11,5,0.303,0.457,2.182,1.985,-0.154,0.197
T Robinson,Hull,14,6,0.286,0.439,1.857,1.695,-0.154,0.162
G Scott,Cardiff,12,8,0.333,0.487,1.5,1.832,-0.154,-0.332
A Madley,Nott'm Forest,12,3,0.278,0.434,2.0,2.03,-0.157,-0.03
A Davies,Birmingham,20,13,0.233,0.39,1.2,1.995,-0.157,-0.795
