Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HY,AY,HR,AR,Season,home_card_pts,away_card_pts
2014-09-13,Blackpool,Wolves,M Russell,0.0,0.0,D,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-09-13,Blackburn,Wigan,R East,3.0,1.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-13,Birmingham,Leeds,S Duncan,1.0,1.0,D,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
2014-09-13,Bournemouth,Rotherham,G Horwood,1.0,1.0,D,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-14,Nott'm Forest,Derby,P Tierney,1.0,1.0,D,3.0,1.0,0.0,1.0,2014/15,3.0,3.0
2014-09-16,Reading,Millwall,K Hill,3.0,2.0,H,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-16,Ipswich,Brighton,C Sarginson,2.0,0.0,H,3.0,3.0,0.0,0.0,2014/15,3.0,3.0
2014-09-16,Huddersfield,Wigan,S Stockbridge,0.0,0.0,D,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-16,Charlton,Wolves,P Miller,1.0,1.0,D,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-09-16,Cardiff,Middlesbrough,G Scott,0.0,1.0,A,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-09-16,Bournemouth,Leeds,B Malone,1.0,3.0,A,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-09-16,Bolton,Rotherham,N Swarbrick,3.0,2.0,H,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-09-16,Blackpool,Watford,S Duncan,0.0,1.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-09-16,Birmingham,Sheffield Weds,J Adcock,0.0,2.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-09-16,Brentford,Norwich,T Robinson,0.0,3.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-17,Blackburn,Derby,D Webb,2.0,3.0,A,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-17,Nott'm Forest,Fulham,D Deadman,5.0,3.0,H,2.0,6.0,0.0,0.0,2014/15,2.0,6.0
2014-09-20,Norwich,Birmingham,D Sheldrake,2.0,2.0,D,3.0,1.0,0.0,0.0,2014/15,3.0,1.0
2014-09-20,Wolves,Bolton,A Madley,1.0,0.0,H,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-09-20,Watford,Bournemouth,O Langford,1.0,1.0,D,2.0,5.0,0.0,0.0,2014/15,2.0,5.0
2014-09-20,Sheffield Weds,Reading,M Heywood,1.0,0.0,H,3.0,3.0,0.0,0.0,2014/15,3.0,3.0
2014-09-20,Millwall,Nott'm Forest,G Scott,0.0,0.0,D,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-09-20,Rotherham,Charlton,D Deadman,1.0,1.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-20,Leeds,Huddersfield,C Foy,3.0,0.0,H,2.0,1.0,1.0,0.0,2014/15,4.0,1.0
2014-09-20,Fulham,Blackburn,A D'Urso,0.0,1.0,A,3.0,2.0,1.0,0.0,2014/15,5.0,2.0
2014-09-20,Derby,Cardiff,A Marriner,2.0,2.0,D,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-20,Brighton,Blackpool,K Stroud,0.0,0.0,D,3.0,5.0,0.0,0.0,2014/15,3.0,5.0
2014-09-20,Middlesbrough,Brentford,J Simpson,4.0,0.0,H,2.0,1.0,1.0,0.0,2014/15,4.0,1.0
2014-09-22,Wigan,Ipswich,A Woolmer,1.0,2.0,A,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-27,Nott'm Forest,Brighton,R Madley,0.0,0.0,D,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-09-27,Ipswich,Rotherham,L Collins,2.0,0.0,H,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-27,Huddersfield,Millwall,C Boyeson,2.0,1.0,H,2.0,5.0,0.0,0.0,2014/15,2.0,5.0
2014-09-27,Charlton,Middlesbrough,G Ward,0.0,0.0,D,2.0,0.0,0.0,1.0,2014/15,2.0,2.0
2014-09-27,Cardiff,Sheffield Weds,M Bull,2.0,1.0,H,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-09-27,Bournemouth,Wigan,G Sutton,2.0,0.0,H,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-09-27,Bolton,Derby,M Brown,0.0,2.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-09-27,Blackpool,Norwich,A Marriner,1.0,3.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-27,Blackburn,Watford,D Drysdale,2.0,2.0,D,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-09-27,Birmingham,Fulham,S Hooper,1.0,2.0,A,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-09-27,Brentford,Leeds,D Whitestone,2.0,0.0,H,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-09-28,Reading,Wolves,J Adcock,3.0,3.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-30,Wigan,Nott'm Forest,K Wright,0.0,0.0,D,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-09-30,Watford,Brentford,G Salisbury,2.0,1.0,H,3.0,2.0,1.0,0.0,2014/15,5.0,2.0
2014-09-30,Sheffield Weds,Ipswich,D Bond,1.0,1.0,D,2.0,0.0,0.0,0.0,2014/15,2.0,0.0
2014-09-30,Norwich,Charlton,M Russell,0.0,1.0,A,0.0,3.0,0.0,0.0,2014/15,0.0,3.0
2014-09-30,Rotherham,Blackburn,S Hooper,2.0,0.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-09-30,Middlesbrough,Blackpool,P Tierney,1.0,1.0,D,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-09-30,Derby,Bournemouth,S Mathieson,2.0,0.0,H,0.0,1.0,0.0,1.0,2014/15,0.0,3.0
2014-09-30,Brighton,Cardiff,N Swarbrick,1.0,1.0,D,3.0,3.0,0.0,0.0,2014/15,3.0,3.0
2014-09-30,Millwall,Birmingham,R East,1.0,3.0,A,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-10-01,Fulham,Bolton,S Attwell,4.0,0.0,H,0.0,2.0,0.0,0.0,2014/15,0.0,2.0
2014-10-01,Leeds,Reading,T Harrington,0.0,0.0,D,3.0,4.0,0.0,0.0,2014/15,3.0,4.0
2014-10-01,Wolves,Huddersfield,P Gibbs,1.0,3.0,A,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-10-03,Blackpool,Cardiff,D Whitestone,1.0,0.0,H,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-10-04,Wolves,Wigan,A Davies,2.0,2.0,D,2.0,4.0,0.0,0.0,2014/15,2.0,4.0
2014-10-04,Watford,Brighton,S Hooper,1.0,1.0,D,4.0,2.0,0.0,0.0,2014/15,4.0,2.0
2014-10-04,Norwich,Rotherham,P Gibbs,1.0,1.0,D,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-10-04,Middlesbrough,Fulham,D Drysdale,2.0,0.0,H,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-10-04,Leeds,Sheffield Weds,J Adcock,1.0,1.0,D,3.0,4.0,0.0,0.0,2014/15,3.0,4.0
