Referee,games,first_match,last_match,home_goals_pg,away_goals_pg,home_win_pct,draw_pct,home_card_pts_pg,away_card_pts_pg,home_yellows_pg,away_yellows_pg,home_reds_pg,away_reds_pg,goal_bias,card_bias,homewin_bias,homewin_z
R Jones,98,2017-04-17,2025-03-09,1.316,0.939,0.459,0.265,1.612,1.806,1.551,1.765,0.031,0.021,0.087,-0.152,0.027,0.54
J Busby,96,2021-04-25,2025-05-03,1.312,1.292,0.396,0.219,1.667,2.031,1.625,1.948,0.023,0.046,-0.27,0.019,-0.036,-0.718
L Doughty,91,2020-09-19,2025-04-26,1.341,1.198,0.319,0.352,2.198,2.198,2.066,2.044,0.073,0.085,-0.148,-0.346,-0.113,-2.185
G Scott,87,2014-08-19,2024-04-27,1.149,1.218,0.356,0.241,1.759,2.207,1.644,2.023,0.06,0.096,-0.36,0.102,-0.076,-1.428
C Kavanagh,82,2014-11-29,2024-04-09,1.402,1.146,0.439,0.232,1.488,2.146,1.415,2.024,0.038,0.062,-0.035,0.313,0.007,0.126
R Madley,70,2014-08-19,2025-04-21,1.414,1.129,0.414,0.3,2.1,2.4,1.9,2.114,0.108,0.154,-0.005,-0.046,-0.018,-0.302
J Gillett,69,2019-05-05,2025-04-25,1.275,1.493,0.333,0.261,1.565,1.739,1.391,1.681,0.087,0.029,-0.508,-0.172,-0.099,-1.657
P Tierney,59,2014-08-16,2023-10-25,1.136,1.085,0.39,0.288,1.559,2.339,1.458,2.136,0.051,0.102,-0.24,0.434,-0.042,-0.656
T Bramall,55,2021-03-20,2025-04-21,1.345,0.927,0.473,0.236,1.891,1.782,1.709,1.709,0.098,0.039,0.127,-0.455,0.041,0.608
J Bell,52,2022-08-20,2025-05-03,1.462,1.096,0.404,0.288,1.808,2.096,1.692,1.942,0.065,0.087,0.074,-0.058,-0.028,-0.412
A Kitchen,51,2023-09-19,2025-05-03,1.235,0.882,0.392,0.353,1.49,1.784,1.49,1.706,0.0,0.051,0.062,-0.052,-0.04,-0.577
M Salisbury,50,2019-12-21,2025-04-12,1.62,1.04,0.48,0.2,1.42,1.8,1.26,1.6,0.082,0.102,0.289,0.034,0.048,0.683
J Adcock,46,2014-08-09,2017-04-29,1.674,1.391,0.413,0.283,1.522,1.826,1.478,1.609,0.022,0.109,-0.008,-0.042,-0.019,-0.262
S Attwell,44,2014-08-16,2025-05-03,1.364,1.136,0.455,0.159,1.977,2.091,1.886,1.864,0.049,0.122,-0.064,-0.232,0.022,0.3
S Allison,42,2023-02-18,2025-04-21,1.167,1.095,0.429,0.167,2.024,1.976,1.976,1.881,0.031,0.062,-0.22,-0.394,-0.004,-0.047
T Nield,35,2023-01-02,2025-04-21,1.543,0.857,0.514,0.229,1.886,2.171,1.829,2.114,0.036,0.036,0.395,-0.06,0.082,0.981
K Friend,33,2014-08-09,2022-04-18,1.758,0.97,0.545,0.273,1.545,2.03,1.424,1.667,0.061,0.182,0.497,0.139,0.113,1.314
A Backhouse,31,2019-12-21,2025-05-03,1.387,0.968,0.419,0.387,1.968,2.29,1.903,2.161,0.04,0.08,0.128,-0.023,-0.013,-0.144
L Mason,30,2014-08-16,2021-05-01,1.4,0.867,0.4,0.333,1.567,1.833,1.5,1.767,0.033,0.033,0.242,-0.079,-0.032,-0.355
R East,27,2014-08-19,2019-04-13,1.37,1.222,0.333,0.296,1.63,2.926,1.63,2.704,0.0,0.111,-0.143,0.95,-0.099,-1.036
M Jones,26,2014-09-13,2018-04-14,1.577,1.038,0.462,0.308,2.577,2.885,2.269,2.577,0.154,0.154,0.247,-0.038,0.029,0.303
S Barrott,26,2022-11-02,2024-12-29,1.154,1.423,0.308,0.269,1.462,1.577,1.308,1.577,0.118,0.0,-0.56,-0.231,-0.124,-1.281
L Probert,25,2015-01-10,2019-02-23,1.6,1.2,0.44,0.32,1.88,2.04,1.8,1.64,0.04,0.2,0.109,-0.186,0.008,0.079
L Smith,24,2023-05-08,2025-04-18,1.792,0.917,0.625,0.208,1.708,1.792,1.625,1.708,0.053,0.053,0.584,-0.263,0.193,1.907
N Miller,23,2014-08-19,2016-04-09,1.435,1.261,0.261,0.478,1.304,1.609,1.13,1.609,0.087,0.0,-0.117,-0.042,-0.171,-1.658
C Pawson,23,2014-12-26,2025-04-18,1.348,1.13,0.348,0.391,1.609,1.913,1.609,1.565,0.0,0.19,-0.074,-0.042,-0.084,-0.816
B Toner,21,2022-04-30,2025-04-18,1.619,1.095,0.381,0.429,1.952,2.714,1.952,2.524,0.0,0.111,0.233,0.416,-0.051,-0.474
E Ilderton,21,2014-08-16,2016-04-19,1.238,0.857,0.381,0.381,1.286,1.905,1.19,1.81,0.048,0.048,0.09,0.273,-0.051,-0.474
M Haywood,21,2014-08-19,2016-04-30,1.429,1.476,0.238,0.381,1.476,1.857,1.381,1.762,0.048,0.048,-0.339,0.035,-0.194,-1.795
K Hill,21,2014-08-16,2016-04-30,1.286,1.619,0.333,0.286,1.905,2.048,1.619,1.952,0.143,0.048,-0.624,-0.203,-0.099,-0.914
D Deadman,20,2014-09-17,2017-05-07,1.3,1.45,0.25,0.4,1.6,2.1,1.4,2.0,0.1,0.05,-0.441,0.154,-0.182,-1.644
M Brown,19,2014-08-09,2016-04-09,1.684,0.895,0.526,0.316,1.632,2.0,1.526,1.789,0.053,0.105,0.498,0.022,0.094,0.829
K Wright,19,2014-09-13,2016-02-23,1.053,0.789,0.368,0.368,1.632,2.0,1.421,1.789,0.105,0.105,-0.028,0.022,-0.064,-0.561
D Drysdale,19,2014-08-23,2016-04-19,1.421,1.526,0.316,0.421,1.421,1.368,1.211,1.368,0.105,0.0,-0.396,-0.399,-0.116,-1.024
G Salisbury,18,2014-08-09,2015-09-24,1.722,0.833,0.611,0.222,1.611,1.889,1.5,1.889,0.056,0.0,0.598,-0.068,0.179,1.533
C Boyeson,18,2014-08-09,2016-04-16,1.778,0.722,0.667,0.222,1.556,2.333,1.556,2.111,0.0,0.111,0.765,0.432,0.235,2.009
A Marriner,18,2014-09-20,2023-04-07,1.278,1.167,0.389,0.278,1.611,2.111,1.611,1.889,0.0,0.111,-0.18,0.154,-0.043,-0.37
N Swarbrick,16,2014-08-30,2018-04-14,1.812,1.188,0.562,0.188,1.75,1.75,1.625,1.75,0.062,0.0,0.334,-0.346,0.13,1.053
F Graham,16,2014-12-26,2016-04-30,2.25,1.188,0.5,0.375,1.438,1.625,1.438,1.625,0.0,0.0,0.771,-0.159,0.068,0.548
C Breakspear,16,2015-01-10,2024-04-27,1.5,0.75,0.5,0.312,1.625,1.812,1.375,1.812,0.143,0.0,0.459,-0.159,0.068,0.548
I Williamson,15,2015-02-10,2016-04-30,1.533,1.267,0.4,0.4,2.0,1.933,1.867,1.8,0.067,0.067,-0.024,-0.413,-0.032,-0.251
S Atwell,15,2015-08-18,2016-04-19,1.333,0.8,0.467,0.333,1.467,1.6,1.333,1.467,0.067,0.067,0.242,-0.213,0.035,0.27
W Finnie,14,2024-04-13,2025-05-03,1.714,1.214,0.5,0.357,2.071,2.429,2.071,2.286,0.0,0.077,0.209,0.011,0.068,0.513
S Gill,14,2023-11-04,2024-12-29,1.929,1.286,0.571,0.071,1.143,1.929,1.143,1.786,0.0,0.111,0.352,0.44,0.139,1.052
M Dean,14,2014-11-04,2022-02-12,1.714,1.429,0.429,0.214,2.286,2.5,2.0,2.357,0.143,0.071,-0.005,-0.132,-0.004,-0.027
A D'Urso,14,2014-08-16,2015-05-02,1.071,0.857,0.214,0.357,1.5,1.571,1.357,1.429,0.071,0.071,-0.077,-0.275,-0.218,-1.646
R Welch,14,2023-01-21,2024-04-13,1.429,0.929,0.5,0.214,2.143,2.214,2.143,2.071,0.0,0.143,0.209,-0.275,0.068,0.513
M Heywood,13,2014-09-20,2016-04-19,1.385,1.0,0.385,0.231,2.462,1.923,2.308,1.923,0.077,0.0,0.094,-0.884,-0.048,-0.346
F Hallam,13,2024-11-09,2025-05-03,0.923,0.692,0.308,0.462,1.538,2.308,1.538,2.154,0.0,0.077,-0.06,0.423,-0.124,-0.906
M Russell,12,2014-09-13,2015-05-02,1.0,1.5,0.25,0.417,1.667,1.083,1.333,0.917,0.167,0.083,-0.791,-0.929,-0.182,-1.274
J Moss,12,2015-03-07,2021-11-06,1.333,1.083,0.5,0.25,1.5,1.75,1.5,1.75,0.0,0.0,-0.041,-0.096,0.068,0.474
B Malone,12,2014-09-16,2016-05-07,1.417,1.417,0.25,0.5,1.333,1.417,1.0,1.25,0.167,0.083,-0.291,-0.263,-0.182,-1.274
T Kirk,11,2023-12-23,2025-04-18,1.455,1.273,0.545,0.091,1.636,2.909,1.636,2.909,0.0,0.0,-0.109,0.927,0.113,0.759
A Haines,10,2014-09-13,2016-01-02,1.3,1.4,0.3,0.4,1.4,1.3,1.4,1.3,0.0,0.0,-0.391,-0.446,-0.132,-0.844
M Bull,10,2014-08-19,2016-03-19,1.5,0.8,0.5,0.4,1.3,2.7,1.3,2.1,0.0,0.3,0.409,1.054,0.068,0.433
T Kettle,10,2014-12-28,2016-02-23,1.7,0.9,0.5,0.4,1.5,1.4,0.9,1.2,0.3,0.1,0.509,-0.446,0.068,0.433
P Gibbs,8,2014-10-01,2016-04-09,1.375,1.75,0.25,0.125,1.625,1.5,1.375,1.5,0.125,0.0,-0.666,-0.471,-0.182,-1.04
R Lewis,8,2015-10-17,2016-04-23,1.125,1.0,0.375,0.5,1.125,1.375,1.125,1.125,0.0,0.125,-0.166,-0.096,-0.057,-0.326
G Sutton,7,2014-09-27,2015-04-04,1.714,1.286,0.571,0.286,1.571,1.857,1.286,1.571,0.143,0.143,0.138,-0.06,0.139,0.744
A Herczeg,7,2024-03-29,2025-03-15,1.286,1.143,0.429,0.0,1.714,2.714,1.429,2.429,0.167,0.167,-0.148,0.654,-0.004,-0.019
A Taylor,6,2014-11-01,2023-11-04,2.0,0.5,0.667,0.333,2.333,2.167,2.0,1.833,0.167,0.167,1.209,-0.513,0.235,1.16
