season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2022/23,2023-04-29,Reading,Wigan,D,1,1,1.652,1.406,0.4271,0.2669,0.306,2.341,3.747,3.267,2.27,1.787,2.7,3.26,2.94,2.22,1.75,0.09202,0.18241,0.53749,0.09367,0.55703,1.32103,0.36536,15.34,-13.0,-10.01,-2.2,-2.07,1428.2,1419.2,9.0,0,,,,,7,7.0,0.0,3.0,6.0,-3.0,A Davies,0.41954022988505746,2.471264367816092,3.4195402298850577,3.2,5.0,5.1,5.1
2022/23,2023-04-29,Bristol City,Burnley,A,1,2,0.924,2.233,0.1712,0.2096,0.6192,5.84,4.772,1.615,2.27,1.787,3.75,3.66,2.13,1.98,1.98,0.05811,0.02932,0.04392,0.14501,0.18782,0.23517,0.47932,-35.79,-23.3,31.89,-12.78,10.8,1483.2,1667.4,-184.2,1,,,,,7,4.0,3.0,7.0,8.0,-1.0,D Webb,0.4161490683229814,2.639751552795031,2.8074534161490683,6.3,5.1,5.0,4.1
2022/23,2023-04-29,Stoke,QPR,A,0,1,1.669,1.192,0.4849,0.2637,0.2514,2.062,3.792,3.978,2.27,1.787,2.03,3.6,4.0,2.07,1.85,0.2652,0.23515,0.06954,0.56045,0.66344,0.30613,1.38084,-1.55,-5.06,0.55,-8.81,3.53,1488.3,1416.2,72.1,0,,,,,7,7.0,0.0,2.0,5.0,-3.0,L Doughty,0.3114754098360656,2.4754098360655736,4.098360655737705,6.6,3.9,5.3,6.1
2022/23,2023-04-29,Sunderland,Watford,D,2,2,1.284,1.082,0.4049,0.2986,0.2965,2.47,3.349,3.373,2.27,1.787,1.9,3.74,4.64,1.97,1.99,0.08395,0.16396,0.49196,0.0879,0.51906,1.20865,0.35166,-23.08,11.68,37.56,-13.22,11.36,1509.5,1511.1,-1.5,1,,,,,6,7.0,-1.0,11.0,4.0,7.0,G Ward,0.44,2.32,3.3733333333333335,3.8,5.1,3.7,5.4
2022/23,2023-04-29,West Brom,Norwich,H,2,1,1.462,1.459,0.3775,0.2722,0.3502,2.649,3.673,2.855,2.27,1.787,2.13,3.69,3.6,1.89,2.03,0.17005,0.38748,0.07412,0.12266,0.97413,0.3178,0.43114,-19.59,0.46,26.09,-16.74,13.6,1514.0,1537.5,-23.5,1,,,,,3,7.0,-4.0,7.0,5.0,2.0,R Madley,0.3870967741935484,2.3225806451612905,3.935483870967742,7.4,4.3,6.2,5.5
2022/23,2023-04-29,Sheffield United,Preston,H,4,1,1.756,0.896,0.5474,0.2579,0.1947,1.827,3.877,5.136,2.27,1.787,1.9,4.1,4.2,1.95,1.98,0.08093,0.20489,0.06653,0.03791,0.60266,0.29832,0.21655,4.0,5.75,-18.22,-14.1,10.8,1596.6,1530.1,66.5,1,,,,,3,7.0,-4.0,12.0,7.0,5.0,S Martin,0.4213197969543147,2.4923857868020303,2.771573604060914,4.5,4.1,4.4,5.1
2022/23,2023-04-30,Cardiff,Huddersfield,A,1,2,1.39,1.228,0.3893,0.2815,0.3293,2.569,3.553,3.037,2.27,1.787,2.46,3.35,3.3,2.31,1.73,0.20046,0.15152,0.07921,0.44985,0.49308,0.33052,1.11082,-4.24,-5.71,8.66,1.76,-3.19,1425.5,1479.6,-54.1,1,,,,,3,12.0,-9.0,7.0,8.0,-1.0,M Salisbury,0.47619047619047616,2.5,2.8333333333333335,4.6,4.2,4.3,6.4
2022/23,2023-05-01,Rotherham,Middlesbrough,H,1,0,1.459,1.824,0.3087,0.2472,0.4441,3.239,4.045,2.252,1.963,2.038,3.75,3.55,2.12,2.07,1.93,0.22503,0.47788,0.06111,0.19721,1.17535,0.28397,0.58713,15.78,-12.24,-5.86,5.45,-5.3,1452.2,1559.7,-107.5,0,,,,,4,7.0,-3.0,2.0,7.0,-5.0,K Stroud,0.45217391304347826,2.743478260869565,3.973913043478261,4.5,4.8,6.8,4.8
2022/23,2023-05-01,Blackburn,Luton,D,1,1,1.417,1.225,0.3871,0.2773,0.3356,2.583,3.607,2.979,2.27,1.787,2.35,3.78,3.2,1.95,2.04,0.0875,0.14985,0.52235,0.11265,0.48955,1.2828,0.40893,-9.02,4.8,7.42,-14.1,14.16,1509.2,1591.0,-81.8,0,,,,,6,7.0,-1.0,4.0,11.0,-7.0,D England,0.44680851063829785,2.4468085106382977,3.5851063829787235,6.5,5.1,4.5,3.0
2022/23,2023-05-04,Huddersfield,Sheffield United,H,1,0,1.079,1.537,0.2738,0.2696,0.4566,3.653,3.709,2.19,2.27,1.787,3.2,3.2,2.62,2.14,1.81,0.2453,0.52741,0.0727,0.20848,1.29547,0.3142,0.60991,-12.4,-13.72,19.63,-5.73,1.29,1479.6,1596.6,-117.0,0,,,,,4,5.0,-1.0,8.0,12.0,-4.0,J Busby,0.4090909090909091,2.3181818181818183,3.727272727272727,4.7,6.0,5.3,5.0
