match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,hk,ak,kickoff_utc_original,date_repair_source
ucl-2024-25-049,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,fc-barcelona,fc-bayern-m-nchen,FC Barcelona (ESP),FC Bayern München (GER),4,1,openfootball,2024-09-17T00:00:00+00:00,barcelona,bayern-munchen,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-050,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,manchester-city-fc,ac-sparta-praha,Manchester City FC (ENG),AC Sparta Praha (CZE),5,0,openfootball,2024-09-17T00:00:00+00:00,manchester-city,ac-sparta-praha,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-051,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,rb-leipzig,liverpool-fc,RB Leipzig (GER),Liverpool FC (ENG),0,1,openfootball,2024-09-17T00:00:00+00:00,rb-leipzig,liverpool,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-052,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,club-atl-tico-de-madrid,lille-osc,Club Atlético de Madrid (ESP),Lille OSC (FRA),1,3,openfootball,2024-09-17T00:00:00+00:00,atletico-de-madrid,lille,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-053,2024-25,league_phase,Matchday 3,,date_only,sport-lisboa-e-benfica,feyenoord-rotterdam,Sport Lisboa e Benfica (POR),Feyenoord Rotterdam (NED),1,3,openfootball,2024-09-17T00:00:00+00:00,sport-lisboa-e-benfica,feyenoord,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-054,2024-25,league_phase,Matchday 3,2024-10-23T19:00:00+00:00,date_only,fc-red-bull-salzburg,gnk-dinamo-zagreb,FC Red Bull Salzburg (AUT),GNK Dinamo Zagreb (CRO),0,2,openfootball,2024-09-17T00:00:00+00:00,red-bull-salzburg,dinamo-zagreb,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-055,2024-25,league_phase,Matchday 4,2024-11-05T17:45:00+00:00,date_only,k-slovan-bratislava,gnk-dinamo-zagreb,ŠK Slovan Bratislava (SVK),GNK Dinamo Zagreb (CRO),1,4,openfootball,2024-09-17T00:00:00+00:00,k-slovan-bratislava,dinamo-zagreb,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-056,2024-25,league_phase,Matchday 4,,date_only,psv,girona-fc,PSV (NED),Girona FC (ESP),4,0,openfootball,2024-09-17T00:00:00+00:00,psv,girona,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-057,2024-25,league_phase,Matchday 4,,date_only,sporting-clube-de-portugal,manchester-city-fc,Sporting Clube de Portugal (POR),Manchester City FC (ENG),4,1,openfootball,2024-09-17T00:00:00+00:00,sporting-clube-de-portugal,manchester-city,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-058,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,bologna-fc-1909,as-monaco-fc,Bologna FC 1909 (ITA),AS Monaco FC (MCO),0,1,openfootball,2024-09-17T00:00:00+00:00,bologna,as-monaco,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-059,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,borussia-dortmund,sk-sturm-graz,Borussia Dortmund (GER),SK Sturm Graz (AUT),1,0,openfootball,2024-09-17T00:00:00+00:00,borussia-dortmund,sk-sturm-graz,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-060,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,liverpool-fc,bayer-04-leverkusen,Liverpool FC (ENG),Bayer 04 Leverkusen (GER),4,0,openfootball,2024-09-17T00:00:00+00:00,liverpool,bayer-leverkusen,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-061,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,real-madrid-cf,ac-milan,Real Madrid CF (ESP),AC Milan (ITA),1,3,openfootball,2024-09-17T00:00:00+00:00,real-madrid,ac-milan,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-062,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,celtic-fc,rb-leipzig,Celtic FC (SCO),RB Leipzig (GER),3,1,openfootball,2024-09-17T00:00:00+00:00,celtic,rb-leipzig,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-063,2024-25,league_phase,Matchday 4,2024-11-05T20:00:00+00:00,date_only,lille-osc,juventus-fc,Lille OSC (FRA),Juventus FC (ITA),1,1,openfootball,2024-09-17T00:00:00+00:00,lille,juventus,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-064,2024-25,league_phase,Matchday 4,,date_only,club-brugge-kv,aston-villa-fc,Club Brugge KV (BEL),Aston Villa FC (ENG),1,0,openfootball,2024-09-17T00:00:00+00:00,brugge,aston-villa,2024-09-17T00:00:00+00:00,unrepaired
ucl-2024-25-065,2024-25,league_phase,Matchday 4,2024-11-06T17:45:00+00:00,date_only,fk-shakhtar-donetsk,bsc-young-boys,FK Shakhtar Donetsk (UKR),BSC Young Boys (SUI),2,1,openfootball,2024-09-17T00:00:00+00:00,shakhtar-donetsk,young-boys,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-066,2024-25,league_phase,Matchday 4,2024-11-06T20:00:00+00:00,date_only,ac-sparta-praha,stade-brestois-29,AC Sparta Praha (CZE),Stade Brestois 29 (FRA),1,2,openfootball,2024-09-17T00:00:00+00:00,ac-sparta-praha,stade-brestois-29,2024-09-17T00:00:00+00:00,sofascore_event
