race_id,race_date,track_slug,race_number,snapshot_version,fold,going_bucket,distance_metres,completed_races,same_regime_races,state_reliability,state_early,state_middle,state_late,actual_label,v0_prob_even,meta_v0_prob_even,live_prob_even,safe_live_prob_even,v0_prob_fast,meta_v0_prob_fast,live_prob_fast,safe_live_prob_fast,v0_prob_slow,meta_v0_prob_slow,live_prob_slow,safe_live_prob_slow,v0_prob_very_fast_or_collapse,meta_v0_prob_very_fast_or_collapse,live_prob_very_fast_or_collapse,safe_live_prob_very_fast_or_collapse,actual_early_score,v0_early_score,meta_v0_early_score,live_early_score,actual_middle_score,v0_middle_score,meta_v0_middle_score,live_middle_score,actual_late_score,v0_late_score,meta_v0_late_score,live_late_score
2025-10-04|flemington|6,2025-10-04,flemington,6,V5,2,good,1100,5,5,0.5112544524049412,-0.2075463566123335,-0.02337261907986494,0.1642444867161766,slow,0.3878764430247846,0.2693292454718958,0.38769454017293276,0.38780368188404385,0.1055404134011475,0.09517993214020029,0.11631676192916741,0.10985095281235546,0.3505180097160537,0.3645081326750763,0.3166867554436574,0.33698550800709515,0.1560651338580139,0.27098268971282763,0.17930194245424239,0.16535985729650532,-1.3814870977231404,-0.4419014922859545,-0.2776420786418838,-0.1310532993867106,1.0906659089408772,-0.4325031459263254,-0.05284723855143933,0.2632672283569757,2.509990203298155,-0.0426934540083431,-0.5598056259813327,0.19505875324282937
2025-10-04|flemington|8,2025-10-04,flemington,8,V6,2,good,2000,6,6,0.3859961210191105,-0.4107132080315477,-0.05623853257991031,0.36188180235019746,slow,0.2626015351953207,0.2229516528208914,0.19896724681311442,0.23714781984243818,0.0834961281982762,0.055627117137977015,0.04594873082610465,0.06847716924940758,0.5148436439598181,0.5975098919983826,0.6716763389098229,0.57757672193982,0.1390586926465849,0.12391133804274895,0.08340768345095803,0.11679828896833416,-2.203044493615072,-0.3814066683199782,-0.7876456998463937,-0.8738326622125222,3.857244030756772,-0.1763405187700433,-0.24964554118900356,0.10359892743992186,1.9330766096339564,-0.2591201592110757,-0.3435938741767045,0.28602208064079976
2025-10-04|flemington|9,2025-10-04,flemington,9,V7,2,good,1200,7,7,0.5236036730413928,-0.5116316035964498,0.38346035699034703,0.6273719064411816,even,0.3377709057769067,0.2630019492364541,0.3412782037094237,0.3391738249499135,0.107179829002335,0.052178036564066006,0.046073935177510544,0.08273747147240522,0.3659513037163818,0.5455976380774739,0.5282470085510387,0.4308695856502446,0.1890979615043764,0.13922237612200603,0.08440085256202708,0.1472191179274367,-0.3177889155226213,-0.3523309607006282,-0.6507388301754036,-0.8542214048456327,1.4818357594561509,-0.0298880154450138,-0.09130523869808532,0.8746331656793233,3.0400960318437624,-0.0979391712896279,-0.4353253267007152,1.087247157343247
2025-10-04|flemington|10,2025-10-04,flemington,10,V8,2,good,1400,8,8,0.5694378388440589,-0.50954248764466,0.5744263781660179,0.972077482224213,slow,0.429040672295551,0.25477618003551383,0.2910140602814586,0.373830027489914,0.1148066153171467,0.07724666623485074,0.0801249939256023,0.10093396676052893,0.3544788545865286,0.470099768537818,0.4976310942201004,0.4117397504399573,0.1016738578007735,0.1978773851918175,0.1312298515728387,0.11349625530959957,-1.442160334223125,-0.6044350141249326,-0.6995759724099557,-0.5912563009325449,-0.5382109691540444,-0.093845352313132,0.0706985414753123,1.4519942050881247,1.388235361651133,-0.0932654958468727,-0.611793138557481,1.2935265329866235
2025-10-11|caulfield|1,2025-10-11,caulfield,1,V0,2,good,1700,0,0,0.0,0.0,0.0,0.0,slow,0.2586777298310626,0.22903753423657133,0.22903753423657133,0.24682165159326608,0.0963590281342731,0.08160888329046119,0.08160888329046119,0.09045897019674834,0.5115252673148826,0.49927408191091,0.49927408191091,0.5066247931532936,0.1334379747197816,0.19007950056205747,0.19007950056205747,0.15609458505669194,-1.0100741769650492,-0.635334453832482,-0.5629164337993016,-0.5629164337993016,-0.2697963037906321,-0.4126052375048022,-0.4539629058960132,-0.4539629058960132,-0.6111407986417787,0.031689046116367,-0.17520464989599457,-0.17520464989599457
2025-10-11|caulfield|2,2025-10-11,caulfield,2,V1,2,good,1200,1,1,0.17850921231621975,-0.1803075457109849,-0.048161125675493265,-0.10909426257984937,slow,0.3201069824919801,0.33103861177725213,0.3333202073380821,0.3253922724304209,0.1361556908588755,0.059888742528426415,0.06514764396256054,0.10775247210034951,0.3820764646406095,0.47971598143733984,0.49867748212297375,0.4287168716335552,0.1616608620085346,0.12935666425698164,0.10285466657638367,0.13813838383567423,-1.1897267562989926,-0.2634866572863431,-0.44439588113344985,-0.5386558533140587,0.2423951166869054,-0.1458937537746499,-0.48265230481017585,-0.4428932476209796,-0.8408035494845217,-0.1638459878084309,-0.050179005858250886,-0.016671131594700267
2025-10-11|caulfield|3,2025-10-11,caulfield,3,V2,2,good,2400,2,2,0.1650807096125921,-0.1768935971406484,-0.015600876701255297,-0.1138628175849307,slow,0.245412783890293,0.21774024235248138,0.19902718922528545,0.22685854602428998,0.0817897634010557,0.0575589268123097,0.058257174739326414,0.07237672793636399,0.5324624117478511,0.5909086479160536,0.6210386445708875,0.5678929048770657,0.1403350409608,0.13379218291915537,0.12167699146450063,0.13287182116228025,-3.663629583555604,-0.5333772506397831,-0.7111323920471548,-0.7728014085759358,0.033724537973835,-0.2468314972564444,-0.44097021338338394,-0.39204076647763364,-0.298117462752086,-0.1270484358768369,-0.15998076820398274,-0.17592437644839173
2025-10-11|caulfield|4,2025-10-11,caulfield,4,V3,2,good,1600,3,3,0.3908028452081161,-0.631264369728164,-0.014162240412315213,-0.24370212945704922,slow,0.2825010300723501,0.25516178254524663,0.27461058900951696,0.27934485364721684,0.104383233417358,0.045831784682609365,0.04715941786191672,0.08149370719518148,0.4365187976340167,0.6019924250188331,0.6144133156296392,0.5076766048322657,0.1765969388762751,0.09701400775331095,0.06381667749892714,0.13148483432533592,-2.4144814143582534,-0.6808164635043783,-0.8924364598707546,-1.245492862670373,-2.4088955695593404,-0.0514072364796089,-0.3827816821450103,-0.13925670723302977,4.0,-0.134216689460706,-0.19345295703856555,-0.2037288198377348
2025-10-11|caulfield|5,2025-10-11,caulfield,5,V4,2,good,1400,4,4,0.4634696741063194,-0.8744912519182972,-0.4546864906332177,0.5855583292787044,even,0.3554844341048275,0.2766829384953506,0.2503743425497091,0.31344039748278013,0.1170952170857612,0.06142720895245356,0.046241629479908626,0.08875378204342017,0.3865728363225345,0.5227402960676449,0.6611750105821815,0.49641370602639334,0.1408475124868766,0.13914955648455085,0.04220901738820091,0.10139211444740633,-0.1564036543713885,-0.6044350141249326,-0.721715371896374,-1.118785042687147,0.653737197646543,-0.093845352313132,-0.24498315628515252,-0.0034422608123826637,0.2539259329794218,-0.0932654958468727,-0.31302427509537,0.3017842183171583
2025-10-11|caulfield|6,2025-10-11,caulfield,6,V5,2,good,2000,5,5,0.44502429763691975,-0.8008955208585805,-0.2283382574742212,0.386377742017771,even,0.2563842507594831,0.25951661088443856,0.14356845001504442,0.21125793046170763,0.1051314062588309,0.057674618728145506,0.040464718970409104,0.07926473134346218,0.4830618901812137,0.5673519852747403,0.7836875765113628,0.6033121647132733,0.1554224528004721,0.11545678511267565,0.03227925450318374,0.10616517348155674,-0.4049018317841942,-0.3814066683199782,-0.7767779417574914,-1.292488761774346,1.442950819809054,-0.1763405187700433,-0.3092773337872802,-0.14938154067954162,-0.1117558003238308,-0.2591201592110757,-0.28382292630560113,0.6019307937300282
