season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2021/22,2021-11-27,Preston,Fulham,D,1,1,1.217,1.682,0.2839,0.2588,0.4573,3.522,3.865,2.187,1.806,2.241,4.55,3.82,1.93,1.96,2.03,0.09658,0.08061,0.54944,0.20914,0.33396,1.35185,0.61124,29.19,-1.16,-11.75,8.53,-9.42,1494.9,1604.5,-109.6,0,,,,,4,3.0,1.0,9.0,13.0,-4.0,C Kavanagh,0.42857142857142855,2.5142857142857142,3.4714285714285715,4.8,5.3,5.0,4.6
2021/22,2021-11-27,Birmingham,Blackpool,H,1,0,1.193,1.575,0.312,0.2733,0.4147,3.205,3.659,2.412,1.913,2.095,2.26,3.54,3.84,2.23,1.78,0.2151,0.47334,0.0747,0.17196,1.16475,0.31927,0.53559,-29.49,-3.25,59.2,16.57,-15.04,1466.8,1502.7,-35.9,0,,,,,4,4.0,0.0,7.0,6.0,1.0,M Donohue,0.42105263157894735,2.508771929824561,3.210526315789474,5.4,4.6,4.1,5.6
2021/22,2021-11-27,Bournemouth,Coventry,D,2,2,2.129,0.599,0.666,0.2122,0.1217,1.501,4.712,8.214,1.949,2.054,2.0,3.55,4.63,2.12,1.86,0.15281,0.44361,0.6206,0.01482,1.09673,1.55013,0.12981,33.24,-24.66,-43.63,8.77,-9.44,1605.4,1511.9,93.5,1,,,,,3,4.0,-1.0,7.0,8.0,-1.0,D Coote,0.40625,2.5208333333333335,3.9166666666666665,5.6,4.2,6.0,5.0
2021/22,2021-11-27,Hull,Millwall,H,2,1,1.245,1.272,0.3389,0.281,0.3801,2.951,3.558,2.631,2.172,1.854,2.75,3.2,3.0,2.5,1.63,0.19387,0.43711,0.07897,0.14449,1.08217,0.32992,0.47823,-6.81,-10.06,14.03,15.1,-12.08,1403.0,1516.8,-113.8,1,,,,,3,3.0,0.0,9.0,6.0,3.0,J Smith,0.47058823529411764,2.8823529411764706,3.3529411764705883,5.5,3.9,4.7,5.9
2021/22,2021-11-27,Luton,Cardiff,A,1,2,1.357,1.466,0.3759,0.275,0.3491,2.66,3.637,2.864,1.865,2.156,1.96,3.75,4.33,2.11,1.86,0.1883,0.14129,0.07561,0.42362,0.47143,0.32154,1.05228,-26.32,3.11,51.19,13.14,-13.73,1497.1,1463.8,33.3,1,,,,,4,3.0,1.0,4.0,7.0,-3.0,O Langford,0.40236686390532544,2.57396449704142,3.2485207100591715,5.2,5.1,4.7,5.1
2021/22,2021-11-27,Peterboro,Barnsley,D,0,0,1.487,1.552,0.3714,0.2682,0.3604,2.693,3.728,2.775,1.708,2.413,2.46,3.5,3.3,2.1,1.87,0.08927,0.1379,0.53547,0.1299,0.46418,1.31587,0.44693,-8.65,-6.12,18.92,22.95,-22.5,1430.5,1446.4,-15.9,0,,,,,3,3.0,0.0,1.0,3.0,-2.0,J Busby,0.5,1.9,4.2,3.0,5.555555555555555,5.1,6.0
2021/22,2021-11-27,Stoke,Blackburn,A,0,1,1.579,1.236,0.4416,0.2743,0.2841,2.265,3.645,3.52,1.872,2.146,2.17,3.58,3.81,2.11,1.87,0.23585,0.195,0.07526,0.51256,0.58266,0.32067,1.25853,-4.19,-1.78,8.24,12.71,-12.86,1515.5,1501.0,14.6,0,,,,,3,3.0,0.0,10.0,10.0,0.0,T Robinson,0.4715909090909091,2.4886363636363638,3.346590909090909,5.7,5.2,3.5,5.1
2021/22,2021-11-27,Huddersfield,Middlesbrough,A,1,2,1.196,1.362,0.3472,0.2893,0.3636,2.881,3.457,2.751,2.122,1.891,2.9,3.32,2.85,2.35,1.73,0.17519,0.12051,0.08368,0.40504,0.42641,0.34148,1.01178,0.66,-3.96,3.6,10.74,-8.51,1473.4,1477.2,-3.8,1,,,,,3,4.0,-1.0,7.0,2.0,5.0,T Bramall,0.3333333333333333,2.4444444444444446,2.6666666666666665,4.7,4.3,4.7,5.5
2021/22,2021-11-28,Sheffield United,Bristol City,H,2,0,1.844,1.253,0.5024,0.2529,0.2446,1.99,3.954,4.087,1.672,2.488,1.53,4.6,7.5,1.87,2.13,0.10248,0.24759,0.06397,0.05985,0.68832,0.2916,0.28057,-23.12,16.34,83.51,11.84,-14.39,1497.5,1432.5,65.0,0,,,,,5,4.0,1.0,5.0,7.0,-2.0,G Eltringham,0.41566265060240964,2.5602409638554215,3.2228915662650603,6.5,3.1,3.5,5.8
2021/22,2021-11-29,Derby,QPR,A,1,2,1.568,1.086,0.4374,0.2713,0.2913,2.286,3.686,3.433,2.021,1.98,3.09,3.5,2.55,2.15,1.86,0.23118,0.19131,0.0736,0.50223,0.57517,0.31648,1.23333,35.17,-5.05,-25.72,6.38,-6.06,1446.2,1524.9,-78.7,1,,,,,5,5.0,0.0,5.0,11.0,-6.0,J Simpson,0.4294117647058823,2.5058823529411764,3.4352941176470586,4.4,4.9,3.3,5.9
2021/22,2021-12-03,Fulham,Bournemouth,D,1,1,1.553,1.314,0.4251,0.2739,0.301,2.352,3.65,3.323,1.831,2.204,1.92,3.88,4.8,1.92,2.07,0.09043,0.1807,0.52716,0.09058,0.55354,1.29485,0.35806,-18.37,6.3,44.45,4.86,-6.08,1602.1,1588.4,13.7,0,,,,,6,6.0,0.0,11.0,5.0,6.0,T Robinson,0.4689265536723164,2.480225988700565,3.3728813559322033,6.4,3.7,5.3,4.8
2021/22,2021-12-04,Blackpool,Luton,A,0,3,0.812,0.909,0.3367,0.3395,0.3238,2.97,2.945,3.089,4.027,1.33,2.95,3.3,2.8,2.29,1.72,0.19022,0.11336,0.11529,0.45729,0.41051,0.41482,1.12772,-0.67,12.05,-9.36,-43.13,29.32,1495.3,1478.9,16.4,1,,,,,7,7.0,0.0,3.0,4.0,-1.0,P Bankes,0.41935483870967744,2.443548387096774,4.096774193548387,4.3,5.5,5.2,5.7
2021/22,2021-12-04,Barnsley,Huddersfield,D,1,1,1.393,1.153,0.4074,0.2862,0.3064,2.455,3.494,3.263,2.137,1.88,2.82,3.3,2.85,2.36,1.68,0.08662,0.16597,0.50955,0.09391,0.52322,1.25117,0.36592,14.87,-5.55,-12.66,10.44,-10.64,1434.0,1465.1,-31.1,0,,,,,7,7.0,0.0,4.0,4.0,0.0,M Donohue,0.43103448275862066,2.4827586206896552,3.2413793103448274,3.7,4.5,3.6,4.9
2021/22,2021-12-04,Bristol City,Derby,H,1,0,1.13,1.141,0.3611,0.3035,0.3354,2.769,3.295,2.981,2.523,1.656,2.57,3.3,3.2,2.35,1.72,0.17356,0.4082,0.09211,0.1125,1.01861,0.36169,0.40858,-7.19,0.15,7.35,-6.86,3.86,1436.8,1454.7,-17.8,0,,,,,6,5.0,1.0,4.0,5.0,-1.0,G Scott,0.3387096774193548,2.2096774193548385,3.5161290322580645,3.9,6.3,4.1,5.2
2021/22,2021-12-04,Blackburn,Preston,H,1,0,1.704,1.2,0.4725,0.2663,0.2613,2.116,3.756,3.828,1.801,2.248,2.37,3.5,3.5,2.07,1.89,0.11551,0.27827,0.0709,0.06825,0.74975,0.3096,0.3028,12.0,-6.82,-8.57,14.94,-15.93,1518.9,1495.2,23.7,0,,,,,7,7.0,0.0,10.0,7.0,3.0,G Ward,0.4166666666666667,2.259259259259259,3.287037037037037,3.8,5.3,5.1,5.6
2021/22,2021-12-04,Coventry,West Brom,A,1,2,1.349,1.381,0.3644,0.279,0.3566,2.744,3.585,2.804,1.947,2.056,3.25,3.32,2.48,2.31,1.71,0.18226,0.13282,0.07781,0.41395,0.45325,0.32705,1.03111,18.44,-7.39,-11.55,18.64,-16.83,1514.0,1550.6,-36.7,1,,,,,7,8.0,-1.0,6.0,6.0,0.0,K Stroud,0.4864864864864865,2.7513513513513512,3.7243243243243245,6.3,3.3,6.5,3.6
2021/22,2021-12-04,Reading,Hull,D,1,1,1.7,1.228,0.4763,0.2636,0.2601,2.1,3.793,3.845,1.783,2.276,2.52,3.4,3.14,2.14,1.82,0.09817,0.22686,0.54227,0.06765,0.64684,1.33328,0.30123,20.0,-10.36,-18.34,20.02,-20.04,1485.9,1437.3,48.6,0,,,,,7,7.0,0.0,7.0,12.0,-5.0,S Martin,0.4161490683229814,2.472049689440994,2.5714285714285716,3.5,5.7,5.0,5.0
2021/22,2021-12-04,Millwall,Birmingham,H,3,1,1.353,0.92,0.4593,0.2945,0.2462,2.177,3.396,4.062,2.52,1.658,2.28,3.31,3.84,2.52,1.6,0.11766,0.29235,0.08673,0.06062,0.77804,0.34884,0.28263,4.73,-2.53,-5.47,0.0,-3.5,1507.1,1469.6,37.5,1,,,,,7,7.0,0.0,6.0,7.0,-1.0,A Woolmer,0.3706896551724138,2.5,2.836206896551724,6.2,3.8,2.6,5.8
2021/22,2021-12-04,Nott'm Forest,Peterboro,H,2,0,1.82,0.465,0.6425,0.2346,0.123,1.557,4.263,8.132,2.501,1.666,1.82,3.83,5.25,2.15,1.84,0.04765,0.12784,0.05502,0.01512,0.44245,0.26731,0.13122,16.89,-10.16,-35.44,-14.03,10.44,1490.9,1415.4,75.4,0,,,,,8,7.0,1.0,7.0,2.0,5.0,T Bramall,0.3,2.5,2.7,4.7,3.6,3.4,5.7
2021/22,2021-12-04,Middlesbrough,Swansea,H,1,0,1.126,1.212,0.3442,0.2971,0.3587,2.906,3.366,2.788,2.415,1.707,2.08,3.65,4.0,2.26,1.76,0.18627,0.43011,0.08827,0.12869,1.06662,0.35254,0.4443,-28.42,8.44,43.47,-6.42,3.1,1477.0,1519.1,-42.1,0,,,,,7,7.0,0.0,5.0,7.0,-2.0,A Davies,0.4375,2.5277777777777777,3.4375,7.1,3.5,4.2,3.9
2021/22,2021-12-04,Cardiff,Sheffield United,A,2,3,1.329,1.321,0.3687,0.2823,0.3489,2.712,3.542,2.866,2.024,1.977,3.4,3.5,2.35,2.04,1.93,0.18663,0.13598,0.07972,0.42392,0.46005,0.33176,1.05294,25.37,-1.19,-18.0,0.79,-2.38,1475.6,1514.0,-38.4,1,,,,,7,6.0,1.0,9.0,8.0,1.0,J Busby,0.45454545454545453,1.7272727272727273,4.2727272727272725,4.0,4.6,5.3,4.2
2021/22,2021-12-05,QPR,Stoke,A,0,2,1.576,1.133,0.4701,0.2728,0.257,2.127,3.665,3.89,1.966,2.035,2.48,3.45,3.28,2.12,1.84,0.25767,0.22101,0.07444,0.55199,0.6351,0.31861,1.35852,16.6,-5.87,-15.68,7.83,-9.58,1548.9,1498.8,50.0,0,,,,,6,8.0,-2.0,13.0,9.0,4.0,T Harrington,0.4906832298136646,2.639751552795031,3.031055900621118,5.7,5.4,5.9,4.9
2021/22,2021-12-11,Luton,Fulham,D,1,1,1.204,1.838,0.2656,0.2491,0.4853,3.765,4.014,2.061,1.706,2.416,4.2,3.92,1.94,1.85,2.16,0.10201,0.07055,0.56381,0.23547,0.30873,1.38979,0.66408,11.55,-2.34,-5.87,8.44,-10.6,1491.2,1599.8,-108.6,0,,,,,7,8.0,-1.0,4.0,9.0,-5.0,T Bramall,0.36363636363636365,2.4545454545454546,2.909090909090909,5.2,4.5,5.0,4.5
