round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
10,2026-05-17,Saints v Tigers,Tigers,away,0.06238303181534622,0.12689173457508732,-0.0645087027597411,7.5,-0.5321272613849033,L,-1.0
10,2026-05-17,Eagles v Giants,Eagles,home,0.12106537530266344,0.2210144927536232,-0.09994911745095976,4.3,-0.4794188861985472,W,3.3
10,2026-05-17,Eagles v Giants,Giants,away,0.8771929824561404,0.7789855072463768,0.09820747520976358,1.22,0.07017543859649122,L,-1.0
11,2026-05-21,Hawthorn Hawks v Adelaide Crows,Hawthorn Hawks,home,0.7751937984496123,0.6125,0.1626937984496123,1.55,0.20155038759689914,W,0.55
11,2026-05-21,Hawthorn Hawks v Adelaide Crows,Adelaide Crows,away,0.2232142857142857,0.3875,-0.1642857142857143,2.45,-0.453125,L,-1.0
11,2026-05-22,Fremantle Dockers v St Kilda Saints,Fremantle Dockers,home,0.9090909090909091,0.7470119521912351,0.162078956899674,1.27,0.15454545454545454,W,0.27
11,2026-05-22,Fremantle Dockers v St Kilda Saints,St Kilda Saints,away,0.0945179584120983,0.252988047808765,-0.15847008939666668,3.75,-0.6455576559546314,L,-1.0
11,2026-05-22,Richmond Tigers v Essendon Bombers,Richmond Tigers,home,0.3401360544217687,0.33962264150943394,0.0005134129123347542,2.8,-0.04761904761904767,W,1.7999999999999998
11,2026-05-22,Richmond Tigers v Essendon Bombers,Essendon Bombers,away,0.6578947368421053,0.660377358490566,-0.0024826216484606922,1.44,-0.05263157894736836,L,-1.0
11,2026-05-23,Collingwood Magpies v West Coast Eagles,Collingwood Magpies,home,0.9900990099009901,0.8996212121212122,0.09047779777977794,1.06,0.04950495049504955,W,0.06000000000000005
11,2026-05-23,Collingwood Magpies v West Coast Eagles,West Coast Eagles,away,0.009500285008550257,0.10037878787878789,-0.09087850287023763,9.5,-0.9097472924187726,L,-1.0
11,2026-05-23,Geelong Cats v Sydney Swans,Geelong Cats,home,0.5649717514124294,0.6341463414634148,-0.06917459005098536,1.5,-0.15254237288135597,W,0.5
11,2026-05-23,Geelong Cats v Sydney Swans,Sydney Swans,away,0.4366812227074236,0.3658536585365854,0.07082756417083819,2.6,0.1353711790393013,L,-1.0
11,2026-05-23,North Melbourne Kangaroos v Gold Coast Suns,North Melbourne Kangaroos,home,0.3003003003003003,0.39698492462311563,-0.09668462432281533,2.4,-0.2792792792792793,W,1.4
11,2026-05-23,North Melbourne Kangaroos v Gold Coast Suns,Gold Coast Suns,away,0.6993006993006994,0.6030150753768844,0.09628562392381501,1.58,0.104895104895105,L,-1.0
11,2026-05-23,Port Adelaide Power v Carlton Blues,Port Adelaide Power,home,0.7936507936507936,0.660377358490566,0.1332734351602276,1.44,0.1428571428571428,L,-1.0
11,2026-05-23,Port Adelaide Power v Carlton Blues,Carlton Blues,away,0.2079002079002079,0.33962264150943394,-0.13172243360922603,2.8,-0.41787941787941785,W,1.7999999999999998
11,2026-05-24,Greater Western Sydney Giants v Brisbane Lions,Greater Western Sydney Giants,home,0.267379679144385,0.3875,-0.12012032085561503,2.45,-0.34491978609625673,W,1.4500000000000002
11,2026-05-24,Greater Western Sydney Giants v Brisbane Lions,Brisbane Lions,away,0.7299270072992701,0.6125,0.11742700729927003,1.55,0.13138686131386867,L,-1.0
11,2026-05-24,Western Bulldogs v Melbourne Demons,Western Bulldogs,home,0.78125,0.4569190600522194,0.3243309399477806,2.08,0.625,W,1.08
11,2026-05-24,Western Bulldogs v Melbourne Demons,Melbourne Demons,away,0.22026431718061673,0.5430809399477807,-0.322816622767164,1.75,-0.6145374449339207,L,-1.0
