round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
8,2026-05-02,Blues v Saints,Saints,away,0.243,0.6140350877192983,-0.3710350877192983,1.54,-0.62578,W,0.54
8,2026-05-03,Swans v Demons,Swans,home,0.8809999999999999,0.8480325644504749,0.03296743554952497,1.12,-0.01328000000000007,W,0.1200000000000001
8,2026-05-03,Swans v Demons,Demons,away,0.11900000000000009,0.15196743554952513,-0.03296743554952504,6.25,-0.2562499999999994,L,-1.0
8,2026-05-03,Suns v Giants,Suns,home,0.78,0.6045340050377834,0.1754659949622166,1.57,0.22460000000000013,W,0.5700000000000001
8,2026-05-03,Suns v Giants,Giants,away,0.21999999999999997,0.3954659949622167,-0.1754659949622167,2.4,-0.4720000000000001,L,-1.0
9,2026-05-07,Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,home,0.7597,0.5584415584415584,0.20125844155844164,1.7,0.29149,W,0.7
9,2026-05-07,Fremantle Dockers v Hawthorn Hawks,Hawthorn Hawks,away,0.24029999999999993,0.44155844155844154,-0.2012584415584416,2.15,-0.4833550000000002,L,-1.0
9,2026-05-08,Brisbane Lions v Carlton Blues,Brisbane Lions,home,0.9834,0.8641975308641975,0.11920246913580257,1.1,0.08174000000000015,W,0.10000000000000009
9,2026-05-08,Brisbane Lions v Carlton Blues,Carlton Blues,away,0.016599999999999948,0.13580246913580246,-0.11920246913580251,7.0,-0.8838000000000004,L,-1.0
9,2026-05-08,Port Adelaide Power v Western Bulldogs,Port Adelaide Power,home,0.6482,0.47368421052631576,0.17451578947368424,2.0,0.2964,L,-1.0
9,2026-05-08,Port Adelaide Power v Western Bulldogs,Western Bulldogs,away,0.3518,0.5263157894736842,-0.17451578947368418,1.8,-0.36676,W,0.8
9,2026-05-09,North Melbourne Kangaroos v Sydney Swans,North Melbourne Kangaroos,home,0.2916,0.28265524625267663,0.008944753747323397,3.35,-0.02313999999999994,L,-1.0
