season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,h2h,market,Port Adelaide Power,,,,,,3.0,2.8,0.0714,loss,normal,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,handicap,normal,Port Adelaide Power,-16.2,,,16.5,14.5,1.9,1.9,2.0,win,tie,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,handicap,ml,Port Adelaide Power,1.5,,,16.5,14.5,1.9,1.9,2.0,win,tie,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,handicap,market,Port Adelaide Power,,,,16.5,14.5,1.9,1.9,2.0,win,tie,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,total,normal,over,174.8,,,165.5,164.5,1.87,1.9,-1.0,win,normal,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,total,ml,under,151.7,,,165.5,164.5,1.98,2.02,1.0,loss,normal,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,total,market,under,,,,165.5,164.5,1.98,2.02,1.0,loss,normal,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,h2h,normal,Brisbane Lions,,5.04,1.248,,,1.06,1.05,0.0095,win,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,h2h,ml,Brisbane Lions,,27.248,1.038,,,1.06,1.05,0.0095,win,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,h2h,market,Brisbane Lions,,,,,,1.06,1.05,0.0095,win,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,handicap,normal,Richmond Tigers,-30.5,,,46.5,51.5,1.9,1.9,-5.0,win,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,handicap,ml,Richmond Tigers,-28.4,,,46.5,51.5,1.9,1.9,-5.0,win,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,handicap,market,Brisbane Lions,,,,-46.5,-51.5,1.9,1.9,5.0,loss,tie,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,total,normal,under,167.5,,,180.5,185.5,1.98,2.0,-5.0,loss,market,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,total,ml,under,163.5,,,180.5,185.5,1.98,2.0,-5.0,loss,market,5
2026,14,2026-06-14,Richmond Tigers,Brisbane Lions,80,115,-35.0,195.0,total,market,over,,,,180.5,185.5,1.87,1.9,5.0,win,market,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,h2h,normal,Greater Western Sydney Giants,,2.721,1.581,,,1.78,1.85,-0.0378,loss,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,h2h,ml,St Kilda Saints,,1.101,10.858,,,1.96,1.95,0.0051,win,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,h2h,market,St Kilda Saints,,,,,,1.96,1.95,0.0051,win,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,handicap,normal,Greater Western Sydney Giants,-12.2,,,2.5,-1.5,1.95,1.9,4.0,loss,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,handicap,ml,Greater Western Sydney Giants,-18.7,,,2.5,-1.5,1.95,1.9,4.0,loss,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,handicap,market,Greater Western Sydney Giants,,,,2.5,-1.5,1.95,1.9,4.0,loss,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,total,normal,over,187.8,,,183.5,185.5,1.87,1.87,2.0,win,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,total,ml,under,168.3,,,183.5,185.5,1.98,2.0,-2.0,loss,tie,5
2026,14,2026-06-14,St Kilda Saints,Greater Western Sydney Giants,96,88,8.0,184.0,total,market,over,,,,183.5,185.5,1.87,1.87,2.0,win,tie,5
