Season,Date,HomeTeam,AwayTeam,Referee,HY,AY,HR,AR,total_yellow_cards,total_red_cards,league_yellow_mean_prior,league_fouls_mean_prior,ref_yellow_mean_prior,ref_fouls_mean_prior,ref_games_prior,home_team_yellow_mean_prior,away_team_yellow_mean_prior,home_cards_drawn_mean_prior,away_cards_drawn_mean_prior,home_fouls_mean_prior,away_fouls_mean_prior,home_team_games_prior,away_team_games_prior,home_yellow_home_mean_prior,away_yellow_away_mean_prior,home_xg_for_prior,away_xg_for_prior,home_xg_against_prior,away_xg_against_prior,home_shots_prior_x,away_shots_prior_x,home_fouls_prior,away_fouls_prior,home_ppda_prior,away_ppda_prior,home_prior_matches,away_prior_matches,home_rest_days,away_rest_days,xg_source_available,match_stats_source_available,home_blocked_shots_prior,home_accurate_crosses_n_prior,home_shots_inside_box_prior,home_touches_opp_box_prior,home_possession_prior,home_shots_prior_y,home_shots_on_target_prior,home_starter_rating_mean_prior,home_starter_count_prior,home_provider_prior_matches,away_blocked_shots_prior,away_accurate_crosses_n_prior,away_shots_inside_box_prior,away_touches_opp_box_prior,away_possession_prior,away_shots_prior_y,away_shots_on_target_prior,away_starter_rating_mean_prior,away_starter_count_prior,away_provider_prior_matches
2022/23,2022-08-20,Bournemouth,Arsenal,C Pawson,2,1,0,0,3,0,3.2484722522858407,9.917576639057687,3.5258452774079005,21.149047131115125,196,1.5524808787060087,1.6304160183555882,1.8616596226673607,1.817331906206056,9.064646496584215,9.808043067890756,192,306,1.6158877647940884,1.6926401303103795,1.07883639,1.9134904,1.4721621,1.2916341,9.1,15.7,11.4,10.0,15.58,12.81,10,10,7.0,7.0,True,True,1.5,3.0,3.5,5.0,33.5,5.0,2.0,6.663181818181819,11.0,2,4.0,3.0,11.5,,47.0,14.5,4.5,7.491363636363637,11.0,2
2022/23,2022-08-20,Crystal Palace,Aston Villa,A Madley,2,1,0,0,3,0,3.2484722522858407,9.917576639057687,2.819884595875296,18.52027346445693,46,1.6833755199132203,1.8568287047929648,1.7207586974833142,1.808519526049004,11.275332787516923,10.73131316325088,306,192,1.6271639398341893,2.0122841611904847,1.3022713,1.2851604,0.8993338,1.2941469,11.3,12.8,12.2,12.3,13.15,15.77,10,10,5.0,7.0,True,True,3.0,2.5,7.0,,41.5,8.5,2.5,6.787272727272728,11.0,2,5.0,5.0,7.0,,62.0,13.5,3.0,7.0172727272727276,11.0,2
2022/23,2022-08-20,Everton,Nott'm Forest,A Marriner,3,2,0,0,5,0,3.2484722522858407,9.917576639057687,3.068831702747268,17.823255275911503,196,1.617954959165557,1.844914228949636,1.705182373495775,1.491973052479047,10.512092912127518,5.787166164290157,306,2,1.5676401303103795,1.7102213682589875,1.2110924,1.1037625,1.7773379000000002,1.97272,10.8,9.0,9.0,12.0,21.01,,10,2,7.0,6.0,True,True,5.0,3.5,9.0,,39.5,11.5,4.0,6.656363636363636,11.0,2,2.5,3.5,7.0,,41.0,9.0,3.0,6.895000000000001,11.0,2
2022/23,2022-08-20,Fulham,Brentford,P Bankes,3,2,0,0,5,0,3.2484722522858407,9.917576639057687,3.557104712417631,17.214452553483724,40,1.7565972246467076,1.552064398038978,1.175952063356385,1.4247916707662511,10.778299191321857,8.297851359871503,78,40,1.7845100350397,1.6103869112041087,0.9256088,1.7073246999999998,1.6439709,1.1911696,11.3,14.6,12.4,7.4,10.19,16.82,10,10,7.0,7.0,True,True,2.5,4.5,7.5,14.0,36.5,9.0,3.0,7.024545454545454,11.0,2,2.0,1.5,6.0,,39.0,10.5,5.0,7.223181818181818,11.0,2
2022/23,2022-08-20,Leicester,Southampton,M Salisbury,2,3,0,0,5,0,3.2484722522858407,9.917576639057687,3.328993082398072,11.354979142015791,3,1.4248085417200742,1.555649663215401,1.5836870463929713,1.4933443672652456,10.306485435492002,10.941999454183591,306,306,1.2581163207865704,1.6926401303103795,1.2223192200000002,0.8457281999999999,1.5913599,2.2432657,10.5,10.4,9.9,8.0,10.97,14.56,10,10,7.0,7.0,True,True,2.0,2.0,5.0,,52.5,10.0,3.5,6.818181818181818,11.0,2,3.0,3.5,7.5,16.0,42.5,12.0,3.0,6.63,11.0,2
2022/23,2022-08-20,Tottenham,Wolves,S Hooper,2,2,0,0,4,0,3.2484722522858407,9.917576639057687,2.9352946798262973,18.26945156724922,49,1.705182373495775,1.5879499520245195,1.9388272333088592,1.9370623780600225,10.67408668159792,10.031845117117946,306,154,1.5378782255484749,1.5474298031754763,1.7562601,0.9335959,0.8389927,1.94484,13.0,10.4,10.3,7.8,14.55,16.97,10,10,6.0,7.0,True,True,3.5,4.5,11.0,,47.0,14.0,6.5,7.3127272727272725,11.0,2,2.0,6.5,6.0,22.5,60.0,11.0,3.5,7.085909090909091,11.0,2
2022/23,2022-08-21,Leeds,Chelsea,S Attwell,0,1,0,1,1,1,3.2736957518219936,9.97085809198242,3.513159955682499,18.373367516425432,115,2.0489539584802685,1.5500084677216976,1.5113195498781178,1.9674539505877413,10.707327265482457,9.996203849501146,78,306,2.084309595160462,1.6520995127301483,1.159625,1.7887861,1.7574405,0.89284652,10.4,18.1,13.1,10.5,11.6,7.84,10,10,8.0,7.0,True,True,3.5,5.0,9.0,24.0,48.5,12.5,4.5,7.298636363636363,11.0,2,6.5,5.0,11.0,,63.5,15.5,4.5,7.379090909090909,11.0,2
2022/23,2022-08-21,Newcastle,Man City,J Gillett,4,2,0,0,6,0,3.2736957518219936,9.97085809198242,3.224068394158567,12.322041494273156,10,1.6450626082638338,1.5095100253540965,1.7086668485465193,1.6715037948245015,10.30664818264971,9.503992011494915,268,306,1.6211591821386908,1.693766179396815,1.3204559,2.676455,1.2557149,0.5913315,11.6,19.3,9.5,7.2,15.68,9.34,10,10,8.0,8.0,True,True,3.0,6.0,9.5,,53.5,13.5,5.5,7.582727272727273,11.0,2,5.0,6.5,10.5,34.0,71.0,16.5,4.5,7.743181818181819,11.0,2
2022/23,2022-08-21,West Ham,Brighton,A Taylor,2,0,0,0,2,0,3.2736957518219936,9.97085809198242,3.463556203002075,20.43498661245117,240,1.5905069100892988,1.5147474306215698,1.5126252901516042,1.4712691697520046,9.650409456977783,10.51102142845347,306,192,1.6163852270158627,1.3833578210690536,1.2243208,1.6305165,1.6871719999999997,1.0946248,10.2,12.6,8.5,10.2,22.03,11.94,10,10,7.0,8.0,True,True,4.5,4.5,7.5,,41.0,12.5,3.0,6.640000000000001,11.0,2,4.0,3.5,9.0,,45.5,14.0,5.5,7.089090909090909,11.0,2
2022/23,2022-08-22,Man United,Liverpool,M Oliver,3,1,0,0,4,0,3.2699487580034146,10.01196724716449,3.156725842115713,20.47038146607351,235,1.8240642233178368,1.2975844725390204,1.6994536314175253,1.531229332352105,11.327382412316927,9.483145652192317,306,306,1.6757417600299145,1.5031227124108668,1.1071748,1.976279,1.6404067999999998,0.8578391999999999,12.0,18.9,10.1,8.5,16.18,8.52,10,10,9.0,7.0,True,True,5.5,6.0,10.0,,65.0,16.0,4.5,6.256363636363636,11.0,2,6.0,6.0,12.5,,70.0,17.5,4.0,7.077727272727272,11.0,2
