season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-025,0.545016077170418,0.6563245823389022,0.6006703297546601,Under,0.05565425258424206,2.75,Under,1.75
2024-25,ucl-2024-25-172,0.545016077170418,0.5483028720626633,0.5466594746165406,Under,0.0016433974461225742,2.1,Under,1.1
2024-25,ucl-2024-25-025,0.545016077170418,0.4516971279373368,0.49835660255387737,Over,0.046659474616540575,2.1,Under,-1
2024-25,ucl-2024-25-081,0.545016077170418,0.7255717255717256,0.6352939013710718,Under,0.09027782420065383,3.49,Over,-1
2024-25,ucl-2024-25-139,0.545016077170418,0.7291666666666667,0.6370913719185424,Under,0.09207529474812426,3.5,Under,2.5
2024-25,ucl-2024-25-167,0.545016077170418,0.5282051282051282,0.536610602687773,Over,0.008405474482644837,1.84,Over,0.8400000000000001
2024-25,ucl-2024-25-155,0.551111111111111,0.7017543859649122,0.6264327485380117,Under,0.07532163742690062,3.2,Under,2.2
2024-25,ucl-2024-25-155,0.551111111111111,0.7017543859649122,0.6264327485380117,Under,0.07532163742690062,3.2,Under,2.2
2024-25,ucl-2024-25-004,0.545016077170418,0.7291666666666667,0.6370913719185424,Under,0.09207529474812426,3.5,Over,-1
2024-25,ucl-2024-25-077,0.56,0.5,0.53,Over,0.030000000000000027,1.91,Under,-1
2024-25,ucl-2024-25-077,0.56,0.6203473945409429,0.5901736972704714,Under,0.030173697270471478,2.5,Under,1.5
2024-25,ucl-2024-25-134,0.545016077170418,0.9041591320072333,0.7245876045888257,Under,0.1795715274184076,10.0,Over,-1
2024-25,ucl-2024-25-177,0.6564102564102564,0.5079787234042553,0.5821944899072559,Over,0.07421576650300055,1.85,Over,0.8500000000000001
2024-25,ucl-2024-25-115,0.6564102564102564,0.696035242290749,0.6762227493505026,Under,0.019812492940246285,3.16,Over,-1
2024-25,ucl-2024-25-115,0.6564102564102564,0.6563245823389022,0.6563674193745793,Over,4.2837035677090185e-05,1.44,Over,0.43999999999999995
2024-25,ucl-2024-25-105,0.6198347107438017,0.5483028720626633,0.5840687914032325,Over,0.035765919340569274,1.73,Under,-1
2024-25,ucl-2024-25-053,0.6198347107438017,0.6203473945409429,0.6200910526423723,Under,0.0002563418985706001,2.5,Over,-1
2024-25,ucl-2024-25-154,0.6198347107438017,0.6563245823389022,0.638079646541352,Under,0.018244935797550155,2.75,Over,-1
2024-25,ucl-2024-25-111,0.545016077170418,0.5076923076923077,0.5263541924313628,Over,0.018661884739055168,1.92,Over,0.9199999999999999
2024-25,ucl-2024-25-086,0.545016077170418,0.39746835443037976,0.4712422158003989,Over,0.07377386137001912,2.38,Over,1.38
