date,home_slug,away_slug,score,home_odds,draw_odds,away_odds
23.10.2024,Barcelona,Bayern Munich,4:1,2.64,3.80,2.47
23.10.2024,Benfica,Feyenoord,1:3,1.48,4.54,6.52
23.10.2024,Brest,Bayer Leverkusen,1:1,5.53,4.22,1.60
23.10.2024,Manchester City,Sparta Prague,5:0,1.12,9.95,19.55
23.10.2024,RB Leipzig,Liverpool,0:1,3.52,3.76,2.01
23.10.2024,Salzburg,Din. Zagreb,0:2,1.89,3.82,3.91
23.10.2024,Young Boys,Inter,0:1,9.02,5.39,1.33
22.10.2024,AC Milan,Club Brugge KV,3:1,1.38,5.23,7.70
22.10.2024,Arsenal,Shakhtar Donetsk,1:0,1.13,9.19,21.10
22.10.2024,Aston Villa,Bologna,2:0,1.63,3.89,5.67
22.10.2024,Girona,Slovan Bratislava,2:0,1.21,7.14,12.77
22.10.2024,Juventus,Stuttgart,0:1,2.06,3.46,3.70
22.10.2024,Monaco,Crvena zvezda,5:1,1.35,5.40,8.28
22.10.2024,PSG,PSV,1:1,1.31,5.87,8.84
22.10.2024,Real Madrid,Dortmund,5:2,1.41,5.28,6.74
22.10.2024,Sturm Graz,Sporting CP,0:2,7.36,4.97,1.41
02.10.2024,Aston Villa,Bayern Munich,1:0,4.62,4.15,1.70
02.10.2024,Benfica,Atl. Madrid,4:0,2.70,3.33,2.67
02.10.2024,Din. Zagreb,Monaco,2:2,4.61,4.17,1.70
02.10.2024,Girona,Feyenoord,2:3,1.93,3.69,3.87
02.10.2024,Lille,Real Madrid,1:0,4.35,3.78,1.81
02.10.2024,Liverpool,Bologna,2:0,1.15,8.29,17.73
02.10.2024,RB Leipzig,Juventus,2:3,2.43,3.27,3.06
02.10.2024,Shakhtar Donetsk,Atalanta,0:3,6.13,4.05,1.57
02.10.2024,Sturm Graz,Club Brugge KV,0:1,4.35,4.06,1.75
01.10.2024,Arsenal,PSG,2:0,1.73,3.68,5.07
01.10.2024,Barcelona,Young Boys,5:0,1.06,13.77,31.72
01.10.2024,Bayer Leverkusen,AC Milan,1:0,1.66,4.34,4.71
01.10.2024,Dortmund,Celtic,7:1,1.46,4.96,6.27
01.10.2024,Inter,Crvena zvezda,4:0,1.23,6.63,12.79
01.10.2024,PSV,Sporting CP,1:1,3.21,3.67,2.18
01.10.2024,Salzburg,Brest,0:4,2.06,3.50,3.65
01.10.2024,Slovan Bratislava,Manchester City,0:4,40.42,15.57,1.05
01.10.2024,Stuttgart,Sparta Prague,1:1,1.39,5.20,7.32
19.09.2024,Atalanta,Arsenal,0:0,4.02,3.65,1.92
19.09.2024,Atl. Madrid,RB Leipzig,2:1,1.71,3.99,4.76
19.09.2024,Brest,Sturm Graz,2:1,2.05,3.45,3.74
19.09.2024,Crvena zvezda,Benfica,1:2,4.10,3.82,1.85
19.09.2024,Feyenoord,Bayer Leverkusen,0:4,4.79,4.18,1.68
