match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,kickoff_utc_fix,home_odds,draw_odds,away_odds,qH,qD,qA,eH,eD,eA,bet,edge,actual,odds,profit
ucl-2024-25-028,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,girona-fc,feyenoord-rotterdam,Girona FC (ESP),Feyenoord Rotterdam (NED),2,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,girona-fc,feyenoord-rotterdam,2.0,3.0,goals_fallback,0.5132155527299269,0.2517936372554188,0.2349908100146545,shared_xg_dixon_coles,2024-10-02T00:00:00Z,1.93,3.69,3.87,0.49462265033199293,0.25870507185386077,0.2466722778141463,0.018592902397933986,-0.006911434598441957,-0.011681467799491807,H,0.018592902397933986,A,1.93,-1.0
ucl-2024-25-029,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,fk-shakhtar-donetsk,atalanta-bc,FK Shakhtar Donetsk (UKR),Atalanta BC (ITA),0,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,fk-shakhtar-donetsk,atalanta-bc,0.0,3.0,goals_fallback,0.3064121912569419,0.2785634995757352,0.4150243091673229,shared_xg_dixon_coles,2024-10-02T00:00:00Z,6.13,4.05,1.57,0.15581083630856843,0.23583220409173444,0.608356959599697,0.15060135494837348,0.04273129548400073,-0.19333265043237413,H,0.15060135494837348,A,6.13,-1.0
ucl-2024-25-030,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,aston-villa-fc,fc-bayern-m-nchen,Aston Villa FC (ENG),FC Bayern München (GER),1,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,aston-villa-fc,fc-bayern-m-nchen,1.0,0.0,goals_fallback,0.1729628203367318,0.2424211696369849,0.5846160100262829,shared_xg_dixon_coles,2024-10-02T00:00:00Z,4.62,4.15,1.7,0.20700076286602898,0.23044422275688042,0.5625550143770905,-0.03403794252929718,0.011976946880104478,0.022060995649192394,A,0.022060995649192394,H,1.7,-1.0
ucl-2024-25-031,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,sk-sturm-graz,club-brugge-kv,SK Sturm Graz (AUT),Club Brugge KV (BEL),0,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,sk-sturm-graz,club-brugge-kv,0.0,1.0,goals_fallback,0.295795511266822,0.2191993106432607,0.485005178089917,shared_xg_dixon_coles,2024-10-02T00:00:00Z,4.35,4.06,1.75,0.219435736677116,0.23510971786833856,0.5454545454545454,0.07635977458970603,-0.01591040722507786,-0.060449367364628415,H,0.07635977458970603,A,4.35,-1.0
ucl-2024-25-032,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,liverpool-fc,bologna-fc-1909,Liverpool FC (ENG),Bologna FC 1909 (ITA),2,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,liverpool-fc,bologna-fc-1909,2.0,0.0,goals_fallback,0.8104567840790463,0.1279706167855253,0.0615725991354286,shared_xg_dixon_coles,2024-10-02T00:00:00Z,1.15,8.29,17.73,0.8308524307155208,0.11525697169153788,0.053890597592941285,-0.02039564663647453,0.01271364509398741,0.007682001542487313,D,0.01271364509398741,H,8.29,-1.0
ucl-2024-25-033,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,rb-leipzig,juventus-fc,RB Leipzig (GER),Juventus FC (ITA),2,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,rb-leipzig,juventus-fc,2.0,3.0,goals_fallback,0.6801793259049373,0.1818438768099681,0.1379767972850946,shared_xg_dixon_coles,2024-10-02T00:00:00Z,2.43,3.27,3.06,0.3941295331277252,0.29288524938849303,0.3129852174837818,0.28604979277721215,-0.11104137257852492,-0.17500842019868718,H,0.28604979277721215,A,2.43,-1.0
ucl-2024-25-034,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,sport-lisboa-e-benfica,club-atl-tico-de-madrid,Sport Lisboa e Benfica (POR),Club Atlético de Madrid (ESP),4,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,sport-lisboa-e-benfica,club-atl-tico-de-madrid,4.0,0.0,goals_fallback,0.0673794383159745,0.0739593791885339,0.8586611824954916,shared_xg_dixon_coles,2024-10-02T00:00:00Z,2.7,3.33,2.67,0.354352738620467,0.2873130313138922,0.3583342300656408,-0.28697330030449253,-0.21335365212535828,0.5003269524298508,A,0.5003269524298508,H,2.67,-1.0
ucl-2024-25-035,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,gnk-dinamo-zagreb,as-monaco-fc,GNK Dinamo Zagreb (CRO),AS Monaco FC (MCO),2,2,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,gnk-dinamo-zagreb,as-monaco-fc,2.0,2.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-02T00:00:00Z,4.61,4.17,1.7,0.207586011004489,0.22948957091863176,0.5629244180768791,0.22673241461558438,0.03727551048080835,-0.2640079250963928,H,0.22673241461558438,D,4.61,-1.0
ucl-2024-25-036,2024-25,league_phase,Matchday 2,2024-10-02T00:00:00Z,date_only,lille-osc,real-madrid-cf,Lille OSC (FRA),Real Madrid CF (ESP),1,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,lille-osc,real-madrid-cf,1.0,0.0,goals_fallback,0.0230049511175217,0.0751804617547727,0.9018145871277052,shared_xg_dixon_coles,2024-10-02T00:00:00Z,4.35,3.78,1.81,0.21958194124839928,0.25269350381760236,0.5277245549339983,-0.19657699013087757,-0.17751304206282964,0.37409003219370696,A,0.37409003219370696,H,1.81,-1.0
ucl-2024-25-038,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,ac-milan,club-brugge-kv,AC Milan (ITA),Club Brugge KV (BEL),3,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,ac-milan,club-brugge-kv,3.0,1.0,goals_fallback,0.5704890594590155,0.2110617453182727,0.2184491952227116,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.38,5.23,7.7,0.6929607808047576,0.18284624808997424,0.12419297110526821,-0.12247172134574213,0.02821549722829847,0.0942562241174434,A,0.0942562241174434,H,7.7,-1.0
ucl-2024-25-039,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,aston-villa-fc,bologna-fc-1909,Aston Villa FC (ENG),Bologna FC 1909 (ITA),2,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,aston-villa-fc,bologna-fc-1909,2.0,0.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.63,3.89,5.67,0.5859943516183967,0.24554519103804284,0.16846045734356027,-0.15167592599832336,0.021219890361397264,0.130456035636926,A,0.130456035636926,H,5.67,-1.0
ucl-2024-25-040,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,girona-fc,k-slovan-bratislava,Girona FC (ESP),ŠK Slovan Bratislava (SVK),2,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,girona-fc,k-slovan-bratislava,2.0,0.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.21,7.14,12.77,0.791000868404227,0.1340491667743858,0.07494996482138722,-0.3566824427841536,0.1327159146250543,0.22396652815909907,A,0.22396652815909907,H,12.77,-1.0
ucl-2024-25-041,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,sk-sturm-graz,sporting-clube-de-portugal,SK Sturm Graz (AUT),Sporting Clube de Portugal (POR),0,2,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,sk-sturm-graz,sporting-clube-de-portugal,0.0,2.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-22T00:00:00Z,7.36,4.97,1.41,0.12985759156482501,0.1923041999833224,0.6778382084518527,0.3044608340552484,0.0744608814161177,-0.37892171547136644,H,0.3044608340552484,A,7.36,-1.0
ucl-2024-25-042,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,paris-saint-germain-fc,psv,Paris Saint-Germain FC (FRA),PSV (NED),1,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,paris-saint-germain-fc,psv,1.0,1.0,goals_fallback,0.7949675485446256,0.1206226609512287,0.0844097905041455,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.31,5.87,8.84,0.729203818389031,0.16273543476825056,0.10806074684271841,0.06576373015559456,-0.04211277381702186,-0.023650956338572907,H,0.06576373015559456,D,1.31,-1.0
ucl-2024-25-043,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,real-madrid-cf,borussia-dortmund,Real Madrid CF (ESP),Borussia Dortmund (GER),5,2,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,real-madrid-cf,borussia-dortmund,5.0,2.0,goals_fallback,0.5514250630186687,0.2296755526230394,0.2188993843582919,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.41,5.28,6.74,0.6773946710218253,0.18089516782969198,0.14171016114848273,-0.1259696080031566,0.048780384793347425,0.07718922320980917,A,0.07718922320980917,H,6.74,-1.0
ucl-2024-25-044,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,arsenal-fc,fk-shakhtar-donetsk,Arsenal FC (ENG),FK Shakhtar Donetsk (UKR),1,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,arsenal-fc,fk-shakhtar-donetsk,1.0,0.0,goals_fallback,0.8392576517600617,0.0768865240484471,0.0838558241914912,shared_xg_dixon_coles,2024-10-22T00:00:00Z,1.13,9.19,21.1,0.8499684618914888,0.10451190010200025,0.045519638006511,-0.010710810131427051,-0.02762537605355314,0.03833618618498019,A,0.03833618618498019,H,21.1,-1.0
ucl-2024-25-045,2024-25,league_phase,Matchday 3,2024-10-22T00:00:00Z,date_only,juventus-fc,vfb-stuttgart,Juventus FC (ITA),VfB Stuttgart (GER),0,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,juventus-fc,vfb-stuttgart,0.0,1.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-22T00:00:00Z,2.06,3.46,3.7,0.46465541021211115,0.2766445505887136,0.25870003919917534,-0.030336984592037763,-0.009879469189273515,0.040216453781310946,A,0.040216453781310946,A,3.7,2.7
ucl-2024-25-047,2024-25,league_phase,Matchday 3,2024-10-23T00:00:00Z,date_only,atalanta-bc,celtic-fc,Atalanta BC (ITA),Celtic FC (SCO),0,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,atalanta-bc,celtic-fc,0.0,0.0,goals_fallback,0.7046459901420021,0.1977469254988683,0.0976070843591293,shared_xg_dixon_coles,2024-10-23T00:00:00Z,1.41,5.21,6.95,0.6786511504992024,0.1836656664498801,0.1376831830509173,0.025994839642799694,0.014081259048988187,-0.040076098691788006,H,0.025994839642799694,D,1.41,-1.0
