match_id,home,away,bet,edge,odds,actual,win,profit,bookmaker,path
ucl-2024-25-038,AC Milan (ITA),Club Brugge KV (BEL),Under,0.23444444444444468,2.75,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/
ucl-2024-25-104,AC Milan (ITA),FK Crvena Zvezda (SRB),Under,0.5014469453376205,3.3,Over,False,-1,betsson,/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/
ucl-2024-25-153,AC Milan (ITA),Feyenoord Rotterdam (NED),Under,0.137459807073955,2.5,Under,True,1.5,bwin,/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/
ucl-2024-25-123,AC Milan (ITA),Girona FC (ESP),Under,-0.044533762057877735,2.1,Under,True,1.1,bet365,/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/
ucl-2024-25-006,AC Milan (ITA),Liverpool FC (ENG),Under,0.06835555555555572,2.38,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/ac-milan-liverpool/OQ7EPt7D/
ucl-2024-25-124,Arsenal FC (ENG),GNK Dinamo Zagreb (CRO),Under,0.09948717948717944,3.2,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/arsenal-din-zagreb/8WQA83lC/
ucl-2024-25-106,Arsenal FC (ENG),AS Monaco FC (MCO),Over,-0.01538461538461533,1.5,Over,True,0.5,bet365,/football/europe/champions-league-2024-2025/arsenal-monaco/KAfTQp4t/
ucl-2024-25-026,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),Over,0.19466666666666677,1.82,Under,False,-1,bwin,/football/europe/champions-league-2024-2025/arsenal-psg/8IilrmEN/
ucl-2024-25-026,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),Over,0.29312820512820514,1.97,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/arsenal-psg/naa0qybn/
ucl-2024-25-176,Arsenal FC (ENG),PSV (NED),Over,0.18153846153846165,1.8,Over,True,0.8,bet365,/football/europe/champions-league-2024-2025/arsenal-psv/21dedA3k/
ucl-2024-25-177,Arsenal FC (ENG),Real Madrid CF (ESP),Over,0.18153846153846165,1.8,Over,True,0.8,bet365,/football/europe/champions-league-2024-2025/arsenal-real-madrid/UZYB9WPh/
ucl-2024-25-044,Arsenal FC (ENG),FK Shakhtar Donetsk (UKR),Over,-0.003076923076923088,1.44,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/arsenal-shakhtar/YX0qN235/
ucl-2024-25-030,Aston Villa FC (ENG),FC Bayern München (GER),Under,0.15110932475884242,2.53,Under,True,1.5299999999999998,betsson,/football/europe/champions-league-2024-2025/aston-villa-bayern-munich/IkxSXqbs/
ucl-2024-25-039,Aston Villa FC (ENG),Bologna FC 1909 (ITA),Over,0.06278135048231515,1.95,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/aston-villa-bologna/bVnkfMno/
ucl-2024-25-129,Aston Villa FC (ENG),Celtic FC (SCO),Under,0.19660771704180058,2.63,Over,False,-1,bet365,/football/europe/champions-league-2024-2025/aston-villa-celtic/Q1MqMyy2/
ucl-2024-25-174,Aston Villa FC (ENG),Club Brugge KV (BEL),Over,-0.031199999999999894,1.73,Over,True,0.73,bet365,/football/europe/champions-league-2024-2025/aston-villa-club-brugge/4S7mNw85/
ucl-2024-25-085,Aston Villa FC (ENG),Juventus FC (ITA),Over,0.25353697749196136,2.3,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/aston-villa-juventus/EqOSkhw9/
ucl-2024-25-181,Aston Villa FC (ENG),Paris Saint-Germain FC (FRA),Over,-0.02685950413223126,1.57,Over,True,0.5700000000000001,bet365,/football/europe/champions-league-2024-2025/aston-villa-psg/K6Sd07Vs/
ucl-2024-25-017,Atalanta BC (ITA),Arsenal FC (ENG),Over,0.10638263665594838,2.03,Under,False,-1,bet365,/football/europe/champions-league-2024-2025/atalanta-arsenal/ba245wx3/
ucl-2024-25-047,Atalanta BC (ITA),Celtic FC (SCO),Under,0.3103536977491961,2.88,Under,True,1.88,betway,/football/europe/champions-league-2024-2025/atalanta-celtic/pdxVjvN9/
ucl-2024-25-156,Atalanta BC (ITA),Club Brugge KV (BEL),Over,-0.031199999999999894,1.73,Over,True,0.73,bet365,/football/europe/champions-league-2024-2025/atalanta-club-brugge/p4Ass5p2/
