match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,id,matchDate,Country,League,Season,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver05,xbetCloseUnder05,xbetCloseOver15,xbetCloseUnder15,xbetCloseOver25,xbetCloseUnder25,xbetCloseOver35,xbetCloseUnder35,xbetCloseOver45,xbetCloseUnder45,xbetCloseBTTSY,xbetCloseBTTSN,sim,qH,qD,qA,edgeH,edgeD,edgeA,bet,max_edge,actual,odds,profit_1
ucl-2025-26-123,2025-26,league_phase,Matchday 7,2026-01-20T00:00:00+00:00,date_only,juventus-fc,sport-lisboa-e-benfica,Juventus FC (ITA),Sport Lisboa e Benfica (POR),2,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,juventus-fc,sport-lisboa-e-benfica,2.0,0.0,goals_fallback,0.4256996278839379,0.2813182677149379,0.2929821044011244,shared_xg_dixon_coles,83890,21-01-26 21:00,Europe,Champions League,2025/2026,Juventus,Benfica,1.69,4.0,5.32,1.04,11.0,1.27,3.75,1.95,1.91,3.13,1.37,6.11,1.13,1.83,1.98,0.662431941923775,0.5746567722004386,0.2427924862546853,0.18255074154487616,-0.14895714431650076,0.038525781460252595,0.11043136285624822,A,0.11043136285624822,H,5.32,-1.0
ucl-2025-26-124,2025-26,league_phase,Matchday 7,2026-01-20T00:00:00+00:00,date_only,newcastle-united-fc,psv,Newcastle United FC (ENG),PSV (NED),3,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,newcastle-united-fc,psv,3.0,0.0,goals_fallback,0.6545943421426663,0.1923597744620312,0.1530458833953025,shared_xg_dixon_coles,83892,21-01-26 21:00,Europe,Champions League,2025/2026,Newcastle,PSV,1.34,5.77,8.91,1.01,28.0,1.08,8.0,1.3,3.5,1.86,2.0,2.78,1.45,1.57,2.42,0.6666666666666666,0.7232600704258045,0.16796681011621806,0.10877311945797735,-0.06866572828313822,0.024392964345813145,0.044272763937325155,A,0.044272763937325155,H,8.91,-1.0
ucl-2025-26-125,2025-26,league_phase,Matchday 7,2026-01-20T00:00:00+00:00,date_only,fc-bayern-m-nchen,royale-union-saint-gilloise,FC Bayern München (GER),Royale Union Saint-Gilloise (BEL),2,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,fc-bayern-m-nchen,royale-union-saint-gilloise,2.0,0.0,goals_fallback,0.7825931063753787,0.13733419248566,0.0800727011389612,shared_xg_dixon_coles,83888,21-01-26 21:00,Europe,Champions League,2025/2026,Bayern Munich,Royale Union SG,1.14,11.0,16.5,1.01,29.0,1.06,9.47,1.23,4.21,1.61,2.32,2.38,1.58,1.9,1.9,0.7178571428571429,0.8527131782945736,0.0883720930232558,0.058914728682170535,-0.07012007191919489,0.04896209946240421,0.021157972456790665,D,0.04896209946240421,H,11.0,-1.0
ucl-2025-26-126,2025-26,league_phase,Matchday 7,2026-01-20T00:00:00+00:00,date_only,chelsea-fc,paphos-fc,Chelsea FC (ENG),Paphos FC (CYP),1,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,chelsea-fc,paphos-fc,1.0,0.0,goals_fallback,0.7945699759799161,0.1430925853316938,0.0623374386883902,shared_xg_dixon_coles,83889,21-01-26 21:00,Europe,Champions League,2025/2026,Chelsea,Pafos,1.11,11.7,21.0,1.01,22.0,1.05,10.0,1.22,4.33,1.62,2.3,2.31,1.62,1.98,1.83,0.6974789915966386,0.871285864743242,0.08266045383461527,0.04605368142214279,-0.07671588876332591,0.06043213149707853,0.01628375726624741,D,0.06043213149707853,H,11.7,-1.0
ucl-2025-26-127,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,liverpool-fc,qaraba-a-dam-fk,Liverpool FC (ENG),Qarabağ Ağdam FK (AZE),6,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,liverpool-fc,qaraba-a-dam-fk,6.0,0.0,goals_fallback,0.8580374747320315,0.0989366600710814,0.0430258651968872,shared_xg_dixon_coles,87977,28-01-26 21:00,Europe,Champions League,2025/2026,Liverpool,Qarabag,1.11,12.1,19.8,1.01,28.0,1.03,13.0,1.17,5.0,1.39,3.0,1.95,1.91,1.74,2.1,0.7467532467532467,0.8712348493939757,0.07992319692787712,0.04884195367814713,-0.01319737466194415,0.019013463143204276,-0.005816088481259932,D,0.019013463143204276,H,12.1,-1.0
ucl-2025-26-128,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,fc-barcelona,fc-k-benhavn,FC Barcelona (ESP),FC København (DEN),4,1,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,fc-barcelona,fc-k-benhavn,4.0,1.0,goals_fallback,0.9278788218487783,0.0548064534420322,0.0173147247091893,shared_xg_dixon_coles,112849,18-03-26 18:45,Europe,Champions League,2025/2026,Barcelona,Newcastle,1.62,4.59,5.16,1.02,19.0,1.13,6.32,1.43,2.9,2.11,1.8,3.43,1.33,1.49,2.64,0.5785714285714285,0.5999179318834632,0.21173574066475176,0.18834632745178495,0.32796088996531514,-0.15692928722271957,-0.17103160274259566,H,0.32796088996531514,H,1.62,0.6200000000000001
ucl-2025-26-129,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,manchester-city-fc,galatasaray-sk,Manchester City FC (ENG),Galatasaray SK (TUR),2,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,manchester-city-fc,galatasaray-sk,2.0,0.0,goals_fallback,0.8020030846929173,0.0996064121383124,0.0983905031687704,shared_xg_dixon_coles,87978,28-01-26 21:00,Europe,Champions League,2025/2026,Manchester City,Galatasaray,1.25,7.7,9.78,1.01,27.0,1.06,9.52,1.23,4.13,1.64,2.26,2.43,1.56,1.59,2.37,0.8590203106332138,0.7751039565235291,0.12582856437070278,0.09906747910576803,0.02689912816938811,-0.026222152232390383,-0.0006769759369976286,H,0.02689912816938811,H,1.25,0.25
ucl-2025-26-130,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,bayer-04-leverkusen,villarreal-cf,Bayer 04 Leverkusen (GER),Villarreal CF (ESP),3,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,bayer-04-leverkusen,villarreal-cf,3.0,0.0,goals_fallback,0.2152572747727896,0.2085886552841251,0.576154069943085,shared_xg_dixon_coles,87972,28-01-26 21:00,Europe,Champions League,2025/2026,Bayer Leverkusen,Villarreal,1.7,4.19,4.86,1.02,15.0,1.21,4.5,1.62,2.3,2.59,1.5,4.56,1.2,1.65,2.25,0.8893280632411067,0.5696310883843753,0.23111523872397086,0.19925367289165388,-0.35437381361158565,-0.02252658343984576,0.3769003970514312,A,0.3769003970514312,H,4.86,-1.0
ucl-2025-26-131,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,arsenal-fc,fk-kairat,Arsenal FC (ENG),FK Kairat (KAZ),3,2,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,arsenal-fc,fk-kairat,3.0,2.0,goals_fallback,0.8880802373110256,0.0836524514086306,0.0282673112803435,shared_xg_dixon_coles,87968,28-01-26 21:00,Europe,Champions League,2025/2026,Arsenal,Kairat Almaty,1.03,17.0,41.0,1.01,29.0,1.05,10.0,1.22,4.33,1.53,2.5,2.21,1.67,3.14,1.36,0.7450980392156863,0.9210561090995586,0.05580516425720855,0.023138726643232813,-0.03297587178853301,0.027847287151422054,0.005128584637110689,D,0.027847287151422054,H,17.0,-1.0
ucl-2025-26-132,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,royale-union-saint-gilloise,atalanta-bc,Royale Union Saint-Gilloise (BEL),Atalanta BC (ITA),1,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,royale-union-saint-gilloise,atalanta-bc,1.0,0.0,goals_fallback,0.1158154150301426,0.1451343088524652,0.739050276117392,shared_xg_dixon_coles,95926,17-02-26 21:00,Europe,Champions League,2025/2026,Dortmund,Atalanta,2.03,3.47,4.02,1.05,10.5,1.25,3.95,1.86,2.01,2.98,1.39,5.82,1.14,1.68,2.18,0.4666666666666667,0.4784712956325183,0.2799126023440957,0.2416161020233861,-0.3626558806023757,-0.1347782934916305,0.4974341740940059,A,0.4974341740940059,H,4.02,-1.0
ucl-2025-26-133,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,club-brugge-kv,olympique-de-marseille,Club Brugge KV (BEL),Olympique de Marseille (FRA),3,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,club-brugge-kv,olympique-de-marseille,3.0,0.0,goals_fallback,0.4163746335451549,0.2694677945428328,0.3141575719120123,shared_xg_dixon_coles,87974,28-01-26 21:00,Europe,Champions League,2025/2026,Club Brugge KV,Marseille,2.88,3.7,2.42,1.02,17.5,1.17,5.0,1.53,2.5,2.31,1.62,3.96,1.25,1.48,2.68,0.7256944444444444,0.33687489653719394,0.262216135683005,0.40090896777980106,0.07949973700796098,0.007251658859827814,-0.08675139586778874,H,0.07949973700796098,H,2.88,1.88
ucl-2025-26-135,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,as-monaco-fc,juventus-fc,AS Monaco FC (MCO),Juventus FC (ITA),0,0,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,as-monaco-fc,juventus-fc,0.0,0.0,goals_fallback,0.3566966202535642,0.26538981443084,0.3779135653155954,shared_xg_dixon_coles,87979,28-01-26 21:00,Europe,Champions League,2025/2026,Monaco,Juventus,4.07,3.56,1.98,1.03,13.0,1.22,4.33,1.78,2.1,2.78,1.45,5.11,1.17,1.6,2.34,0.7739938080495357,0.2381624916375529,0.2722812755519215,0.48955623281052546,0.11853412861601129,-0.006891461121081521,-0.11164266749493007,H,0.11853412861601129,D,4.07,-1.0
ucl-2025-26-136,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,club-atl-tico-de-madrid,fk-bod-glimt,Club Atlético de Madrid (ESP),FK Bodø/Glimt (NOR),1,2,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,club-atl-tico-de-madrid,fk-bod-glimt,1.0,2.0,goals_fallback,0.7372543282463196,0.1400292218589451,0.1227164498947352,shared_xg_dixon_coles,87970,28-01-26 21:00,Europe,Champions League,2025/2026,Atl. Madrid,Bodo/Glimt,1.28,7.21,9.27,1.01,29.0,1.06,9.0,1.22,4.33,1.62,2.3,2.31,1.62,1.48,2.68,0.68125,0.7601030807075085,0.13494201710202647,0.10495490219046505,-0.022848752461188893,0.005087204756918623,0.017761547704270145,A,0.017761547704270145,A,9.27,8.27
ucl-2025-26-137,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,athletic-club,sporting-clube-de-portugal,Athletic Club (ESP),Sporting Clube de Portugal (POR),2,3,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,athletic-club,sporting-clube-de-portugal,2.0,3.0,goals_fallback,0.2873078592721633,0.3489211451140703,0.3637709956137662,shared_xg_dixon_coles,87969,28-01-26 21:00,Europe,Champions League,2025/2026,Ath Bilbao,Sporting CP,3.0,3.41,2.48,1.05,10.0,1.27,3.75,1.95,1.91,3.13,1.37,6.11,1.13,1.65,2.24,0.48611111111111116,0.3236829615567157,0.28476506881822494,0.3915519696250594,-0.03637510228455243,0.06415607629584535,-0.027780974011293202,D,0.06415607629584535,A,3.41,-1.0
ucl-2025-26-138,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,afc-ajax,pae-olympiakos-sfp,AFC Ajax (NED),PAE Olympiakos SFP (GRE),1,2,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,afc-ajax,pae-olympiakos-sfp,1.0,2.0,goals_fallback,0.6485250203740438,0.1942163740921466,0.1572586055338094,shared_xg_dixon_coles,87967,28-01-26 21:00,Europe,Champions League,2025/2026,Ajax,Olympiacos Piraeus,3.15,3.76,2.24,1.03,13.0,1.22,4.33,1.67,2.2,2.78,1.45,5.11,1.17,1.57,2.41,0.6111111111111112,0.30825988932158227,0.2582496413199426,0.4334904693584751,0.34026513105246153,-0.06403326722779601,-0.2762318638246657,H,0.34026513105246153,A,3.15,-1.0
ucl-2025-26-139,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,paris-saint-germain-fc,newcastle-united-fc,Paris Saint-Germain FC (FRA),Newcastle United FC (ENG),1,1,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,paris-saint-germain-fc,newcastle-united-fc,1.0,1.0,goals_fallback,0.8237473353405816,0.1448900508020564,0.0313626138573619,shared_xg_dixon_coles,97027,18-02-26 18:45,Europe,Champions League,2025/2026,Qarabag,Newcastle,7.74,5.64,1.38,1.02,16.5,1.14,5.79,1.42,2.9,2.1,1.73,3.46,1.31,1.72,2.12,0.48148148148148145,0.12529701535786725,0.17195015937409444,0.7027528252680382,0.6984503199827143,-0.027060108572038027,-0.6713902114106762,H,0.6984503199827143,D,7.74,-1.0
ucl-2025-26-140,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,paphos-fc,sk-slavia-praha,Paphos FC (CYP),SK Slavia Praha (CZE),4,1,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,paphos-fc,sk-slavia-praha,4.0,1.0,goals_fallback,0.4462744572240893,0.2596148388849505,0.2941107038909601,shared_xg_dixon_coles,87981,28-01-26 21:00,Europe,Champions League,2025/2026,Pafos,Slavia Prague,3.16,3.47,2.34,1.04,11.0,1.25,4.0,1.86,2.0,2.96,1.4,5.63,1.14,1.7,2.15,0.6428571428571428,0.30664592098008264,0.27925104043142973,0.41410303858848774,0.13962853624400667,-0.019636201546479215,-0.11999233469752763,H,0.13962853624400667,H,3.16,2.16
ucl-2025-26-141,2025-26,league_phase,Matchday 8,2026-01-20T00:00:00+00:00,date_only,psv,fc-bayern-m-nchen,PSV (NED),FC Bayern München (GER),1,2,openfootball,2026-01-20T00:00:00+00:00,2026-01-20 00:00:00+00:00,psv,fc-bayern-m-nchen,1.0,2.0,goals_fallback,0.4224228969164879,0.1836140072094568,0.3939630958740555,shared_xg_dixon_coles,87983,28-01-26 21:00,Europe,Champions League,2025/2026,PSV,Bayern Munich,4.85,4.59,1.65,1.01,25.0,1.09,7.37,1.33,3.37,1.86,2.01,2.82,1.43,1.42,2.89,0.7261904761904762,0.2001585728444004,0.21149653121902873,0.5883448959365708,0.2222643240720875,-0.02788252400957192,-0.19438180006251532,H,0.2222643240720875,A,4.85,-1.0
