match_id,matchDate,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver25,xbetCloseUnder25
ucl-2025-26-075,25-11-25 21:00,Dortmund,Villarreal,1.95,3.69,4.05,1.78,2.1
ucl-2025-26-076,25-11-25 21:00,Manchester City,Bayer Leverkusen,1.41,5.13,8.1,1.45,2.77
ucl-2025-26-077,25-11-25 21:00,Bodo/Glimt,Juventus,3.28,3.8,2.17,1.67,2.2
ucl-2025-26-078,25-11-25 21:00,Marseille,Newcastle,3.14,3.54,2.33,1.86,2.0
ucl-2025-26-079,25-11-25 21:00,Slavia Prague,Ath Bilbao,3.12,3.23,2.5,2.19,1.73
ucl-2025-26-080,25-11-25 21:00,Napoli,Qarabag,1.21,7.25,15.8,1.49,2.63
ucl-2025-26-081,25-11-25 21:00,Chelsea,Barcelona,2.26,4.03,2.93,1.44,2.79
ucl-2025-26-082,26-11-25 18:45,Pafos,Monaco,5.78,4.85,1.54,1.62,2.3
ucl-2025-26-083,26-11-25 18:45,FC Copenhagen,Kairat Almaty,1.3,5.61,11.6,1.88,1.98
ucl-2025-26-084,26-11-25 21:00,Liverpool,PSV,1.26,7.88,9.41,1.25,4.0
ucl-2025-26-085,26-11-25 21:00,PSG,Tottenham,1.42,5.09,7.76,1.57,2.42
ucl-2025-26-086,26-11-25 21:00,Eintracht Frankfurt,Atalanta,2.83,3.69,2.46,1.78,2.1
ucl-2025-26-087,26-11-25 21:00,Sporting CP,Club Brugge KV,1.56,4.61,5.85,1.53,2.5
ucl-2025-26-088,26-11-25 21:00,Arsenal,Bayern Munich,2.06,3.78,3.57,1.77,2.13
ucl-2025-26-089,26-11-25 21:00,Olympiacos Piraeus,Real Madrid,4.73,4.62,1.66,1.45,2.75
ucl-2025-26-090,26-11-25 21:00,Atl. Madrid,Inter,2.53,3.57,2.82,1.78,2.1
ucl-2025-26-091,09-12-25 16:30,Kairat Almaty,Olympiacos Piraeus,7.26,4.87,1.46,1.61,2.32
ucl-2025-26-092,09-12-25 18:45,Bayern Munich,Sporting CP,1.22,7.49,13.5,1.33,3.37
ucl-2025-26-093,09-12-25 21:00,Barcelona,Eintracht Frankfurt,1.16,10.1,14.7,1.16,5.26
ucl-2025-26-094,09-12-25 21:00,PSV,Atl. Madrid,3.1,3.87,2.22,1.49,2.63
ucl-2025-26-095,09-12-25 21:00,Royale Union SG,Marseille,3.23,3.58,2.26,1.86,2.0
ucl-2025-26-096,09-12-25 21:00,Tottenham,Slavia Prague,1.46,4.63,7.71,1.86,2.0
ucl-2025-26-097,09-12-25 21:00,Monaco,Galatasaray,2.03,4.0,3.49,1.42,2.9
ucl-2025-26-098,09-12-25 21:00,Atalanta,Chelsea,3.7,3.58,2.08,1.78,2.1
ucl-2025-26-099,09-12-25 21:00,Inter,Liverpool,2.05,3.79,3.58,1.71,2.21
ucl-2025-26-100,10-12-25 18:45,Villarreal,FC Copenhagen,1.44,5.39,6.67,1.39,3.0
ucl-2025-26-101,10-12-25 18:45,Qarabag,Ajax,2.13,3.83,3.34,1.62,2.3
ucl-2025-26-102,10-12-25 21:00,Dortmund,Bodo/Glimt,1.37,5.91,7.71,1.39,3.0
ucl-2025-26-103,10-12-25 21:00,Ath Bilbao,PSG,4.73,4.0,1.75,1.61,2.32
