match_id,season,stage,prematch_total_xg,home_att,away_att,knockout,y,p_model,xbetCloseOver25,xbetCloseUnder25,market_over25,market_under25,actual_over25,p_market,p_final,edge_over,edge_under,bet,edge,odds,profit
ucl-2025-26-063,2025-26,league_phase,3.7180948422522873,2.365684584908486,3.1944319669389727,0,0,0.5361976320211861,1.39,3.0,0.683371298405467,0.316628701594533,Under,0.683371298405467,0.6318605151709686,-0.051510783234498314,0.05151078323449837,Under,0.05151078323449837,3.0,2.0
ucl-2025-26-065,2025-26,league_phase,3.1996648040237536,1.3601807706678952,1.6898866674810673,0,1,0.6286349571522192,1.45,2.75,0.6547619047619047,0.3452380952380952,Over,0.6547619047619047,0.6456174730985147,-0.009144431663389962,0.009144431663390129,Under,0.009144431663390129,2.75,-1.0
ucl-2025-26-064,2025-26,league_phase,2.8007747050529903,0.8565593619520433,1.161429354455315,0,0,0.6429031903174999,1.61,2.32,0.5903307888040712,0.4096692111959288,Under,0.5903307888040712,0.6087311293337713,0.018400340529700077,-0.018400340529700077,Over,0.018400340529700077,1.61,-1.0
ucl-2025-26-066,2025-26,league_phase,3.7201748232874277,2.9873244760713007,0.7819418432191014,0,1,0.7086005323033291,1.17,5.0,0.8103727714748785,0.1896272285251215,Over,0.8103727714748785,0.7747524877648362,-0.03562028371004233,0.035620283710042305,Under,0.035620283710042305,5.0,-1.0
ucl-2025-26-067,2025-26,league_phase,2.9537617047239464,1.727722462460698,1.7544728990799137,0,1,0.5928065379356483,1.45,2.75,0.6547619047619047,0.3452380952380952,Over,0.6547619047619047,0.6330775263727149,-0.021684378389189796,0.021684378389189962,Under,0.021684378389189962,2.75,-1.0
ucl-2025-26-068,2025-26,league_phase,3.6890247721961873,1.2386423039250085,2.1996210742974247,0,1,0.6368493319731225,1.32,3.4,0.7203389830508474,0.2796610169491525,Over,0.7203389830508474,0.6911176051736437,-0.02922137787720369,0.029221377877203747,Under,0.029221377877203747,3.4,-1.0
ucl-2025-26-069,2025-26,league_phase,3.1992479660276327,1.6197626820842923,1.5465778529798992,0,0,0.6342992939278762,1.61,2.32,0.5903307888040712,0.4096692111959288,Under,0.5903307888040712,0.6057197655974029,0.015388976793331732,-0.015388976793331732,Over,0.015388976793331732,1.61,-1.0
ucl-2025-26-070,2025-26,league_phase,3.4533863846729673,0.8078872010422238,2.53539630752831,0,0,0.5976450811286806,1.78,2.1,0.5412371134020618,0.458762886597938,Under,0.5412371134020618,0.5609799021063784,0.01974278870431656,-0.019742788704316394,Over,0.01974278870431656,1.78,-1.0
ucl-2025-26-071,2025-26,league_phase,3.3593739001338663,1.0552796963731452,2.236977121805648,0,1,0.6071648611882279,1.57,2.42,0.606516290726817,0.3934837092731829,Over,0.606516290726817,0.6067432903883108,0.00022699966149375417,-0.00022699966149364315,Over,0.00022699966149375417,1.57,0.5700000000000001
ucl-2025-26-072,2025-26,league_phase,2.816749893840275,2.2021643587956823,1.6158231189474461,0,0,0.5806734462447003,1.78,2.1,0.5412371134020618,0.458762886597938,Under,0.5412371134020618,0.5550398298969853,0.013802716494923484,-0.013802716494923317,Over,0.013802716494923484,1.78,-1.0
ucl-2025-26-073,2025-26,league_phase,2.870610958175732,1.0113153243534276,1.27403011890128,0,0,0.6375381342878484,1.84,2.03,0.524547803617571,0.4754521963824289,Under,0.524547803617571,0.5640944193521681,0.03954661573459706,-0.039546615734597,Over,0.03954661573459706,1.84,-1.0
ucl-2025-26-074,2025-26,league_phase,4.127180580141857,2.330706905602663,1.5795230617610745,0,0,0.6991867783962454,1.49,2.63,0.6383495145631067,0.3616504854368932,Under,0.6383495145631067,0.6596425569047053,0.021293042341598567,-0.02129304234159851,Over,0.021293042341598567,1.49,-1.0
ucl-2025-26-081,2025-26,league_phase,3.2526530849135646,1.5835003275617991,1.954691984139679,0,1,0.6082753536410138,1.44,2.79,0.6595744680851063,0.3404255319148936,Over,0.6595744680851063,0.641619778029674,-0.017954690055432376,0.017954690055432432,Under,0.017954690055432432,2.79,-1.0
ucl-2025-26-080,2025-26,league_phase,2.978042380661144,1.0117941370699515,1.4803825118675857,0,0,0.6315427370001235,1.49,2.63,0.6383495145631067,0.3616504854368932,Under,0.6383495145631067,0.6359671424160627,-0.002382372147044065,0.0023823721470441206,Under,0.0023823721470441206,2.63,1.63
ucl-2025-26-079,2025-26,league_phase,3.3705489682130483,1.351871516089885,1.3558896207250646,0,0,0.6692849952042927,2.19,1.73,0.4413265306122448,0.5586734693877551,Under,0.4413265306122448,0.5211119932194616,0.07978546260721675,-0.07978546260721664,Over,0.07978546260721675,2.19,-1.0
ucl-2025-26-075,2025-26,league_phase,2.568997595827856,1.5978951933017314,1.3138499801279926,0,1,0.5940687423914202,1.78,2.1,0.5412371134020618,0.458762886597938,Over,0.5412371134020618,0.5597281835483372,0.01849107014627538,-0.018491070146275213,Over,0.01849107014627538,1.78,0.78
ucl-2025-26-077,2025-26,league_phase,3.963410016186122,2.2314071371413746,1.3375395738985416,0,1,0.7042315402999477,1.67,2.2,0.5684754521963824,0.4315245478036175,Over,0.5684754521963824,0.6159900830326303,0.04751463083624785,-0.04751463083624774,Over,0.04751463083624785,1.67,0.6699999999999999
ucl-2025-26-076,2025-26,league_phase,3.0991104936382183,1.7124829387369764,1.5229780387288347,0,0,0.6249975778306749,1.45,2.77,0.6563981042654028,0.3436018957345971,Under,0.6563981042654028,0.6454079200132481,-0.0109901842521547,0.010990184252154811,Under,0.010990184252154811,2.77,1.77
ucl-2025-26-078,2025-26,league_phase,2.6213361323121944,0.830373398610392,1.9511037613458921,0,1,0.5642500221326535,1.86,2.0,0.5181347150259067,0.4818652849740932,Over,0.5181347150259067,0.5342750725132681,0.016140357487361423,-0.016140357487361312,Over,0.016140357487361423,1.86,0.8600000000000001
ucl-2025-26-082,2025-26,league_phase,3.3837266686488667,0.8291974102612567,1.385677682065073,0,1,0.6783836367876238,1.62,2.3,0.586734693877551,0.413265306122449,Over,0.586734693877551,0.6188118238960765,0.032077130018525524,-0.03207713001852547,Over,0.032077130018525524,1.62,0.6200000000000001
ucl-2025-26-083,2025-26,league_phase,3.294608657733348,1.0108238712418818,0.6244101049378515,0,1,0.7204773844935601,1.88,1.98,0.5129533678756476,0.4870466321243523,Over,0.5129533678756476,0.585586773691917,0.07263340581626943,-0.07263340581626931,Over,0.07263340581626943,1.88,0.8799999999999999
