match_id,season,stage,y,total_xg,home_att,away_att,home_corners_for,home_corners_against,away_corners_for,away_corners_against,knockout,p_model,xbetCloseOver25,xbetCloseUnder25,market_over25,market_under25,actual_over25,p_market,p_final,edge_over,edge_under,bet,edge,odds,profit
ucl-2025-26-024,2025-26,league_phase,1,4.232965672175213,3.458515806162358,0.537447337992493,4.0,8.0,3.0,3.0,0,0.8371485494387996,1.71,2.21,0.5637755102040817,0.4362244897959184,Over,0.5637755102040817,0.659456073936233,0.09568056373215128,-0.09568056373215134,Over,0.09568056373215128,1.71,0.71
ucl-2025-26-027,2025-26,league_phase,1,5.17947529985875,1.7869876990249753,3.987098574638368,3.6,3.0,8.0,4.0,0,0.5627749816503198,1.45,2.75,0.6547619047619047,0.3452380952380952,Over,0.6547619047619047,0.62256648167285,-0.03219542308905465,0.03219542308905482,Under,0.03219542308905482,2.75,-1.0
ucl-2025-26-022,2025-26,league_phase,1,2.9528556091167086,1.633627069586217,1.205874467268587,5.4,6.2,4.0,3.0,0,0.7576954991611197,1.35,3.2,0.7032967032967032,0.2967032967032967,Over,0.7032967032967032,0.7223362818492489,0.019039578552545677,-0.019039578552545622,Over,0.019039578552545677,1.35,0.3500000000000001
ucl-2025-26-021,2025-26,league_phase,0,3.1282227644036786,1.0924662882462242,2.108005076670053,3.0,4.0,5.8,6.4,0,0.4965068517983993,1.35,3.19,0.7026431718061673,0.2973568281938326,Under,0.7026431718061673,0.6304954598034485,-0.07214771200271886,0.07214771200271897,Under,0.07214771200271897,3.19,2.19
ucl-2025-26-023,2025-26,league_phase,1,3.4976804783023843,0.750535441562536,1.255331936292347,4.0,9.0,3.0,5.0,0,0.7541972760602622,1.58,2.38,0.601010101010101,0.398989898989899,Over,0.601010101010101,0.6546256122776575,0.05361551126755648,-0.05361551126755648,Over,0.05361551126755648,1.58,0.5800000000000001
ucl-2025-26-028,2025-26,league_phase,0,3.100795719958839,1.55,1.893682098016139,5.0,5.0,4.0,5.0,0,0.636677371460158,1.96,1.9,0.4922279792746114,0.5077720207253886,Under,0.4922279792746114,0.5427852665395527,0.0505572872649413,-0.05055728726494135,Over,0.0505572872649413,1.96,-1.0
ucl-2025-26-029,2025-26,league_phase,1,3.9282747977606967,3.343834613488624,1.21741271018982,7.0,7.0,6.0,4.0,0,0.7996936637013494,1.84,2.03,0.524547803617571,0.4754521963824289,Over,0.524547803617571,0.6208488546468934,0.0963010510293224,-0.09630105102932235,Over,0.0963010510293224,1.84,0.8400000000000001
ucl-2025-26-035,2025-26,league_phase,1,2.123089985025559,0.4828696255572077,1.3477105997037122,3.0,3.0,3.2,5.4,0,0.5168326920210755,1.95,1.91,0.4948186528497409,0.5051813471502591,Over,0.4948186528497409,0.5025235665597081,0.007704913709967176,-0.007704913709967176,Over,0.007704913709967176,1.95,0.95
ucl-2025-26-030,2025-26,league_phase,1,2.702690094232066,1.9274232579627593,0.3468005741015076,4.4,3.8,2.0,2.0,0,0.7645474398700454,1.95,1.91,0.4948186528497409,0.5051813471502591,Over,0.4948186528497409,0.5892237283068475,0.09440507545710664,-0.09440507545710664,Over,0.09440507545710664,1.95,0.95
ucl-2025-26-031,2025-26,league_phase,1,3.862216756698488,2.4354870293444373,2.662637947328986,5.6,4.0,7.4,3.2,0,0.6640321966613465,1.32,3.4,0.7203389830508474,0.2796610169491525,Over,0.7203389830508474,0.700631607814522,-0.019707375236325375,0.01970737523632543,Under,0.01970737523632543,3.4,-1.0
ucl-2025-26-032,2025-26,league_phase,1,3.7070486257046484,1.7560596080651876,1.806035461657047,4.2,4.2,6.2,5.2,0,0.6223089820262869,1.33,3.37,0.7170212765957447,0.2829787234042553,Over,0.7170212765957447,0.6838719734964345,-0.03314930309931019,0.033149303099310246,Under,0.033149303099310246,3.37,-1.0
ucl-2025-26-033,2025-26,league_phase,0,3.5440639220281414,1.1021542767062784,1.3438510829582813,6.8,4.0,6.0,5.333333333333333,0,0.6956183811480319,1.53,2.5,0.6203473945409429,0.3796526054590571,Under,0.6203473945409429,0.6466922398534241,0.026344845312481158,-0.026344845312481158,Over,0.026344845312481158,1.53,-1.0
ucl-2025-26-034,2025-26,league_phase,0,2.2811770509113347,2.09267748148799,1.5188794741406937,7.4,2.6,9.0,0.0,0,0.7468979975311595,1.57,2.42,0.606516290726817,0.3934837092731829,Under,0.606516290726817,0.6556498881083368,0.04913359738151979,-0.04913359738151968,Over,0.04913359738151979,1.57,-1.0
ucl-2025-26-036,2025-26,league_phase,1,2.8022985146445523,0.16678512096405,2.1169759587824326,2.0,9.0,6.666666666666667,1.6666666666666667,0,0.7162260198303623,1.86,2.0,0.5181347150259067,0.4818652849740932,Over,0.5181347150259067,0.5874666717074661,0.06933195668155945,-0.06933195668155934,Over,0.06933195668155945,1.86,0.8600000000000001
ucl-2025-26-038,2025-26,league_phase,0,3.8240623870126846,0.5445896028541037,0.3324482855387015,3.0,7.0,1.0,7.5,0,0.7025847106382471,2.08,1.8,0.4639175257731959,0.5360824742268042,Under,0.4639175257731959,0.5474510404759638,0.08353351470276793,-0.08353351470276804,Over,0.08353351470276793,2.08,-1.0
ucl-2025-26-037,2025-26,league_phase,1,3.499585690919749,2.4176274094885586,1.0086598661728132,5.0,5.4,7.0,1.5,0,0.7937636161676636,1.36,3.16,0.6991150442477876,0.3008849557522123,Over,0.6991150442477876,0.7322420444197442,0.03312700017195658,-0.03312700017195647,Over,0.03312700017195658,1.36,0.3600000000000001
ucl-2025-26-039,2025-26,league_phase,1,3.7916855606346958,2.1102823529120567,2.1659808579909825,7.0,6.0,3.4,2.4,0,0.7907239525620475,1.95,1.91,0.4948186528497409,0.5051813471502591,Over,0.4948186528497409,0.5983855077490483,0.10356685489930739,-0.10356685489930739,Over,0.10356685489930739,1.95,0.95
ucl-2025-26-040,2025-26,league_phase,1,3.178791410320736,1.437061555217952,1.5511211926272477,5.5,4.5,4.6,3.0,0,0.7222265298290819,1.86,2.0,0.5181347150259067,0.4818652849740932,Over,0.5181347150259067,0.5895668502070179,0.07143213518111124,-0.07143213518111113,Over,0.07143213518111124,1.86,0.8600000000000001
ucl-2025-26-041,2025-26,league_phase,1,3.15273227608606,1.3795275641605245,2.6056192319995164,8.0,3.8,7.4,3.8,0,0.6639673823920041,1.45,2.77,0.6563981042654028,0.3436018957345971,Over,0.6563981042654028,0.6590473516097133,0.0026492473443104902,-0.0026492473443103792,Over,0.0026492473443104902,1.45,0.44999999999999996
ucl-2025-26-042,2025-26,league_phase,0,2.8480814425585073,1.101160931633779,1.8392247395667423,3.5,3.0,5.8,5.2,0,0.5307864814195555,1.61,2.32,0.5903307888040712,0.4096692111959288,Under,0.5903307888040712,0.5694902812194907,-0.020840507584580448,0.020840507584580448,Under,0.020840507584580448,2.32,1.3199999999999998
ucl-2025-26-043,2025-26,league_phase,1,3.5374261645172522,2.172626584411259,2.523956249693038,6.8,3.2,5.8,5.4,0,0.6018110319992178,1.86,2.01,0.5193798449612403,0.4806201550387597,Over,0.5193798449612403,0.5482307604245324,0.028850915463292104,-0.02885091546329216,Over,0.028850915463292104,1.86,0.8600000000000001
ucl-2025-26-044,2025-26,league_phase,1,3.29667549999424,1.9857292399197788,1.8222939179718498,5.5,5.5,2.6666666666666665,5.333333333333333,0,0.6674806675434999,1.86,2.0,0.5181347150259067,0.4818652849740932,Over,0.5181347150259067,0.5704057984070643,0.0522710833811576,-0.05227108338115749,Over,0.0522710833811576,1.86,0.8600000000000001
ucl-2025-26-045,2025-26,league_phase,1,3.0166558635100724,1.1302112331613907,0.5218285839073372,5.5,5.75,4.5,5.5,0,0.7202771472452701,1.67,2.2,0.5684754521963824,0.4315245478036175,Over,0.5684754521963824,0.6216060454634931,0.05313059326711067,-0.05313059326711056,Over,0.05313059326711067,1.67,0.6699999999999999
ucl-2025-26-047,2025-26,league_phase,1,2.393344677286226,0.6534850080497573,1.921481711789974,1.0,3.0,4.0,7.0,0,0.38376538758175577,1.58,2.38,0.601010101010101,0.398989898989899,Over,0.601010101010101,0.5249744513101802,-0.07603564969992083,0.07603564969992083,Under,0.07603564969992083,2.38,-1.0
ucl-2025-26-046,2025-26,league_phase,1,4.289886940998217,1.3803452416516895,2.9903099900499033,3.0,5.5,4.0,6.5,0,0.5486047984601827,1.33,3.37,0.7170212765957447,0.2829787234042553,Over,0.7170212765957447,0.6580755092482979,-0.05894576734744672,0.058945767347446776,Under,0.058945767347446776,3.37,-1.0
ucl-2025-26-054,2025-26,league_phase,0,4.067417975367569,3.5573017020475888,1.048265488957986,7.6,4.8,3.4,5.4,0,0.7657452054668027,1.49,2.63,0.6383495145631067,0.3616504854368932,Under,0.6383495145631067,0.6829380063794004,0.04458849181629365,-0.044588491816293596,Over,0.04458849181629365,1.49,-1.0
ucl-2025-26-053,2025-26,league_phase,1,2.2203765134423907,0.7106508910655978,1.028921578079463,2.5,5.5,5.0,2.5,0,0.672207379949299,1.45,2.75,0.6547619047619047,0.3452380952380952,Over,0.6547619047619047,0.6608678210774926,0.006105916315587989,-0.006105916315587823,Over,0.006105916315587989,1.45,0.44999999999999996
ucl-2025-26-052,2025-26,league_phase,1,3.5509636235112665,3.077896500200324,1.2081806386820981,7.8,1.6,2.0,4.8,0,0.7071058378078949,1.21,4.5,0.7880910683012259,0.211908931698774,Over,0.7880910683012259,0.75974623762856,-0.02834483067266591,0.02834483067266602,Under,0.02834483067266602,4.5,-1.0
ucl-2025-26-048,2025-26,league_phase,1,4.012247606966354,0.8582003684714425,2.2269532826030276,3.0,4.0,6.2,6.4,0,0.5425881595903479,1.32,3.4,0.7203389830508474,0.2796610169491525,Over,0.7203389830508474,0.6581261948396726,-0.06221278821117482,0.062212788211174874,Under,0.062212788211174874,3.4,-1.0
ucl-2025-26-050,2025-26,league_phase,1,3.1282471994927166,1.9157429207310073,0.940763653255999,5.5,3.0,2.0,8.0,0,0.574441184224032,1.62,2.3,0.586734693877551,0.413265306122449,Over,0.586734693877551,0.5824319654988194,-0.0043027283787315795,0.004302728378731635,Under,0.004302728378731635,2.3,-1.0
ucl-2025-26-049,2025-26,league_phase,0,4.896118587276787,2.227363351553973,2.049328433349729,5.2,3.8,4.0,4.5,0,0.7190222211202417,1.58,2.38,0.601010101010101,0.398989898989899,Under,0.601010101010101,0.6423143430486502,0.04130424203854921,-0.04130424203854921,Over,0.04130424203854921,1.58,-1.0
ucl-2025-26-051,2025-26,league_phase,0,3.115790946690405,1.632740304448307,0.9766917699016644,4.8,4.4,4.0,3.5,0,0.7211127106100801,1.61,2.32,0.5903307888040712,0.4096692111959288,Under,0.5903307888040712,0.6361044614361744,0.04577367263210319,-0.04577367263210319,Over,0.04577367263210319,1.61,-1.0
ucl-2025-26-055,2025-26,league_phase,1,3.8641478375518523,1.644533923827111,2.2768141359245715,3.6666666666666665,5.0,6.4,3.4,0,0.6655505914986899,1.7,2.23,0.5674300254452926,0.4325699745547073,Over,0.5674300254452926,0.6017722235639817,0.034342198118689105,-0.03434219811868905,Over,0.034342198118689105,1.7,0.7
ucl-2025-26-056,2025-26,league_phase,0,3.2536391557013014,0.7339684062947823,0.6807292628412439,5.666666666666667,5.0,2.6666666666666665,6.0,0,0.7094356134334582,1.67,2.2,0.5684754521963824,0.4315245478036175,Under,0.5684754521963824,0.617811508629359,0.04933605643297656,-0.04933605643297645,Over,0.04933605643297656,1.67,-1.0
ucl-2025-26-063,2025-26,league_phase,0,4.232309666784261,2.8134585101389904,3.1013006381922965,7.8,4.0,8.2,4.2,0,0.6700708847191263,1.39,3.0,0.683371298405467,0.316628701594533,Under,0.683371298405467,0.6787161536152477,-0.004655144790219223,0.004655144790219279,Under,0.004655144790219279,3.0,2.0
ucl-2025-26-062,2025-26,league_phase,1,4.1452668051429065,2.6458041258233793,3.4649706086221266,7.6,3.2,8.6,1.6,0,0.7047113006440833,1.42,2.9,0.6712962962962963,0.3287037037037036,Over,0.6712962962962963,0.6829915478180217,0.011695251521725458,-0.011695251521725347,Over,0.011695251521725458,1.42,0.41999999999999993
