match_id,date,home_slug,away_slug,home_odds,draw_odds,away_odds
ucl-2024-25-117,,,,,,
ucl-2024-25-118,22.01.2025,RB Leipzig,Sporting CP,2.87,3.69,2.34
ucl-2024-25-119,,,,,,
ucl-2024-25-120,22.01.2025,Sparta Prague,Inter,8.92,5.25,1.34
ucl-2024-25-121,22.01.2025,PSG,Manchester City,2.49,3.62,2.71
ucl-2024-25-122,22.01.2025,Real Madrid,Salzburg,1.06,14.63,28.92
ucl-2024-25-123,22.01.2025,AC Milan,Girona,1.59,4.17,5.57
ucl-2024-25-124,22.01.2025,Arsenal,Din. Zagreb,1.09,11.24,28.58
ucl-2024-25-125,22.01.2025,Celtic,Young Boys,1.28,5.96,10.34
ucl-2024-25-126,22.01.2025,Feyenoord,Bayern Munich,8.54,5.58,1.33
ucl-2024-25-127,29.01.2025,Sporting CP,Bologna,1.83,3.59,4.55
ucl-2024-25-128,,,,,,
ucl-2024-25-129,29.01.2025,Aston Villa,Celtic,1.55,4.56,5.45
ucl-2024-25-130,29.01.2025,Girona,Arsenal,6.16,4.13,1.56
ucl-2024-25-131,,,,,,
ucl-2024-25-132,29.01.2025,Sturm Graz,RB Leipzig,3.96,3.79,1.89
ucl-2024-25-133,29.01.2025,Stuttgart,PSG,3.78,2.74,2.39
ucl-2024-25-134,29.01.2025,Bayern Munich,Slovan Bratislava,1.02,27.91,53.0
ucl-2024-25-135,29.01.2025,Dortmund,Shakhtar Donetsk,1.37,5.54,7.34
ucl-2024-25-136,29.01.2025,Barcelona,Atalanta,1.68,4.39,4.48
ucl-2024-25-137,29.01.2025,Inter,Monaco,1.63,4.32,5.01
ucl-2024-25-138,29.01.2025,Manchester City,Club Brugge KV,1.22,7.01,11.97
ucl-2024-25-139,29.01.2025,Bayer Leverkusen,Sparta Prague,1.12,9.78,19.91
ucl-2024-25-140,29.01.2025,Juventus,Benfica,2.26,3.22,3.4
ucl-2024-25-141,29.01.2025,Din. Zagreb,AC Milan,5.79,4.68,1.52
ucl-2024-25-142,29.01.2025,Lille,Feyenoord,2.34,3.58,2.94
ucl-2024-25-143,29.01.2025,PSV,Liverpool,2.33,3.65,2.92
ucl-2024-25-144,29.01.2025,Salzburg,Atl. Madrid,7.01,4.52,1.47
ucl-2024-25-145,,,,,,
ucl-2024-25-146,11.02.2025,Manchester City,Real Madrid,1.98,3.94,3.51
ucl-2024-25-147,17.09.2024,Juventus,PSV,1.8,3.76,4.44
ucl-2024-25-148,11.02.2025,Sporting CP,Dortmund,2.6,3.28,2.82
ucl-2024-25-149,12.02.2025,Club Brugge KV,Atalanta,3.31,3.28,2.29
ucl-2024-25-150,27.11.2024,Monaco,Benfica,2.33,3.59,2.93
ucl-2024-25-151,12.02.2025,Celtic,Bayern Munich,7.31,5.27,1.39
ucl-2024-25-152,12.02.2025,Feyenoord,AC Milan,4.17,3.91,1.82
ucl-2024-25-153,18.02.2025,AC Milan,Feyenoord,1.28,6.14,10.23
ucl-2024-25-154,18.02.2025,Benfica,Monaco,1.86,4.05,3.84
ucl-2024-25-155,18.02.2025,Bayern Munich,Celtic,1.18,7.86,14.83
ucl-2024-25-156,18.02.2025,Atalanta,Club Brugge KV,1.47,4.64,6.75
ucl-2024-25-157,19.02.2025,Dortmund,Sporting CP,1.72,4.09,4.61
ucl-2024-25-158,,,,,,
ucl-2024-25-159,19.02.2025,Real Madrid,Manchester City,1.84,4.24,3.77
ucl-2024-25-160,19.02.2025,PSV,Juventus,2.23,3.61,3.12
ucl-2024-25-161,06.11.2024,Club Brugge KV,Aston Villa,3.54,3.57,2.06
ucl-2024-25-162,04.03.2025,Real Madrid,Atl. Madrid,1.88,3.68,4.12
ucl-2024-25-163,04.03.2025,PSV,Arsenal,4.14,3.45,1.95
ucl-2024-25-164,04.03.2025,Dortmund,Lille,1.59,4.07,5.87
ucl-2024-25-165,05.03.2025,Feyenoord,Inter,5.8,4.02,1.6
