season,season_year,date,home_team,away_team,venue,is_final,split,home_elo,away_elo,elo_diff,elo_win_prob,home_rest_days,away_rest_days,rest_diff,home_travel_km,away_travel_km,travel_diff_km,home_win_pct,home_avg_margin,home_last_margin,home_form_games,home_off_big_win,home_off_big_loss,home_win_streak,home_loss_streak,away_win_pct,away_avg_margin,away_last_margin,away_form_games,away_off_big_win,away_off_big_loss,away_win_streak,away_loss_streak,home_ema_win_pct,home_ema_margin,home_opp_adj_margin,away_ema_win_pct,away_ema_margin,away_opp_adj_margin,ema_margin_diff,opp_adj_margin_diff,form_win_pct_diff,form_margin_diff,venue_games,venue_avg_total,venue_home_win_pct,h2h_home_open,h2h_away_open,h2h_home_close,h2h_away_close,mkt_home_prob_open,home_line_open,home_line_close,total_open,total_close,home_score,away_score,home_margin,total_score,home_win
2022,2022,2022-04-02,Brisbane Lions,North Melbourne Kangaroos,Gabba,0,train,1649.06,1326.53,322.53,0.903,7,6,1,2.2,1373.6,-1371.4,0.625,21.75,22,8,0,0,2,0,0.25,-11.88,15,8,0,0,1,0,0.689,16.04,14.98,0.327,-11.48,-11.03,27.52,26.0,0.375,33.62,169,172.4,0.503,1.17,5.25,1.06,10.5,0.8178,-30.5,-46.5,163.5,167.5,156,48,108,204,1
2022,2022,2022-04-02,Collingwood Magpies,Geelong Cats,MCG,0,train,1475.07,1611.72,-136.65,0.3983,7,8,-1,1.9,65.7,-63.8,0.375,-11.88,42,8,1,0,2,0,0.375,-8.0,-30,8,0,0,0,1,0.552,-1.85,-3.71,0.375,-7.51,-10.48,5.65,6.77,0.0,-3.88,600,171.8,0.55,2.55,1.52,2.55,1.54,0.3735,11.5,11.5,166.5,163.5,91,104,-13,195,0
2022,2022,2022-04-03,Carlton Blues,Hawthorn Hawks,MCG,0,train,1496.96,1517.69,-20.73,0.5634,10,8,2,1.9,1.9,0.0,0.5,-8.75,12,8,0,0,2,0,0.625,15.38,64,8,1,0,2,0,0.589,-5.26,-5.88,0.757,26.63,27.75,-31.89,-33.63,-0.125,-24.12,601,171.8,0.549,1.5,2.6,1.63,2.35,0.6341,-12.5,-8.5,171.5,165.5,74,73,1,147,1
2022,2022,2022-04-03,West Coast Eagles,Fremantle Dockers,Optus Stadium,0,train,1353.64,1411.19,-57.55,0.5107,7,7,0,2.6,2.6,0.0,0.25,-12.38,-15,8,0,0,0,6,0.375,-27.62,-10,8,0,0,0,1,0.087,-19.29,-18.73,0.391,-19.77,-20.71,0.48,1.98,-0.125,15.25,92,153.8,0.641,2.1,1.75,1.75,2.15,0.4545,4.5,-4.5,148.5,153.5,47,102,-55,149,0
2022,2022,2022-04-03,St Kilda Saints,Richmond Tigers,Marvel Stadium,0,train,1499.89,1495.31,4.58,0.5988,7,7,0,1.4,1.4,0.0,0.375,1.75,10,8,0,0,1,0,0.375,-2.12,36,8,0,0,1,0,0.522,6.29,6.13,0.403,1.72,1.38,4.57,4.75,0.0,3.88,548,181.0,0.516,2.25,1.65,1.72,2.18,0.4231,7.5,-5.5,165.5,167.5,117,84,33,201,1
2022,2022,2022-04-07,Port Adelaide Power,Melbourne Demons,Adelaide Oval,0,train,1493.76,1772.13,-278.36,0.2265,6,6,0,1.5,654.6,-653.2,0.5,-0.75,-4,8,0,0,0,4,1.0,37.88,29,8,0,0,8,0,0.24,-15.73,-15.79,1.0,34.69,36.9,-50.42,-52.7,-0.5,-38.62,185,164.4,0.605,2.6,1.5,3.3,1.36,0.3659,12.5,17.5,170.5,163.5,36,68,-32,104,0
2022,2022,2022-04-08,Geelong Cats,Brisbane Lions,GMHBA Stadium,0,train,1636.82,1659.93,-23.11,0.56,6,6,0,0.8,1436.5,-1435.7,0.5,-4.0,13,8,0,0,1,0,0.75,36.75,108,8,1,0,3,0,0.559,-1.49,-3.79,0.795,42.37,38.05,-43.86,-41.84,-0.25,-40.75,95,172.2,0.853,1.78,2.05,2.02,1.83,0.5352,-2.5,2.5,168.5,166.5,80,70,10,150,1
2022,2022,2022-04-09,Collingwood Magpies,West Coast Eagles,Marvel Stadium,0,train,1449.96,1304.55,145.41,0.7705,7,6,1,1.4,2720.2,-2718.8,0.375,-9.88,-13,8,0,0,0,1,0.125,-24.5,-55,8,0,1,0,7,0.414,-4.2,-5.9,0.037,-30.92,-29.44,26.72,23.54,0.25,14.62,549,181.0,0.517,1.22,4.35,1.24,4.25,0.781,-26.5,-25.5,169.5,165.5,74,87,-13,161,0
2022,2022,2022-04-09,Sydney Swans,North Melbourne Kangaroos,SCG,0,train,1622.39,1315.66,306.73,0.8947,9,7,2,2.9,712.9,-710.0,0.625,14.62,-11,8,0,0,0,1,0.25,-23.12,-108,8,0,1,0,1,0.556,13.6,13.21,0.245,-38.11,-40.76,51.71,53.97,0.375,37.75,118,166.8,0.653,1.09,7.5,1.1,8,0.8731,-40.5,-40.5,155.5,159.5,86,75,11,161,1
2022,2022,2022-04-09,Fremantle Dockers,Greater Western Sydney Giants,Optus Stadium,0,train,1460.28,1487.8,-27.52,0.5537,6,7,-1,2.6,3288.0,-3285.4,0.5,-12.12,55,8,1,0,1,0,0.625,1.0,26,8,0,0,1,0,0.571,2.37,0.47,0.518,-3.86,-4.6,6.23,5.07,-0.125,-13.12,93,153.8,0.634,2.02,1.8,1.7,2.22,0.4712,2.5,-6.5,158.5,157.5,88,54,34,142,1
