id,date,match,market_text,taken_odds,result_page,market,selection,game_date,opening_line,opening_odds,edge_obtained,opening_result,profit_$1_taken,profit_$1_at_open
68,2026-07-02,Geelong Cats vs Brisbane Lions,Geelong Win,1.44,loss,h2h,geelong,2026-07-02,,1.37,5.109489051094873,loss,-1.0,-1.0
69,2026-07-03,West Coast Eagles vs Adelaide Crows,Adelaide -28.5,1.9,loss,handicap,adelaide,2026-07-03,-29.5,1.9,1.0,loss,-1.0,-1.0
70,2026-07-04,Hawthorn Hawks vs Melbourne Demons,Hawthorn Win,1.5,loss,h2h,hawthorn,2026-07-04,,1.3,15.384615384615374,loss,-1.0,-1.0
71,2026-07-04,Gold Coast Suns vs Collingwood Magpies,Collingwood Win,2.31,win,h2h,collingwood,2026-07-04,,2.35,-1.7021276595744705,win,1.31,1.35
72,2026-07-05,Port Adelaide Power vs North Melbourne Kangaroos,North Melbourne +15.5,1.9,loss,handicap,north melbourne,2026-07-05,16.5,1.9,-1.0,loss,-1.0,-1.0
74,2026-07-11,Adelaide Crows vs Gold Coast Suns,Adelaide -17.5,1.9,win,handicap,adelaide,2026-07-11,-17.5,1.9,0.0,win,0.8999999999999999,0.8999999999999999
76,2026-07-16,Geelong Cats vs St Kilda,Geelong -11.5,1.9,win,handicap,geelong,2026-07-16,-13.5,1.9,2.0,win,0.8999999999999999,0.8999999999999999
77,2026-07-18,Port Adelaide vs Fremantle,Port Adelaide +10.5,1.89,loss,handicap,port adelaide,2026-07-18,36.5,1.9,-26.0,win,-1.0,0.8999999999999999
78,2026-07-18,Port Adelaide vs Fremantle,Port Adelaide +47.5,1.9,win,handicap,port adelaide,2026-07-18,36.5,1.9,11.0,win,0.8999999999999999,0.8999999999999999
79,2026-07-18,Collingwood Magpies vs Carlton Blues,Collingwood -15.5,1.89,win,handicap,collingwood,2026-07-18,-6.5,1.9,-9.0,win,0.8899999999999999,0.8999999999999999
83,2026-07-24,Melbourne Demons vs Geelong Cats,Geelong Win,1.89,win,h2h,geelong,2026-07-24,,1.8,4.999999999999982,win,0.8899999999999999,0.8
90,2026-08-02,Gold Coast Suns vs Melbourne Demons,Melbourne Win,2.02,win,h2h,melbourne,2026-08-02,,1.73,16.763005780346816,win,1.02,0.73
92,2026-08-07,Brisbane Lions vs Hawthorn,Lions Win,1.68,win,h2h,brisbane,2026-08-07,,1.51,11.258278145695355,win,0.6799999999999999,0.51
93,2026-08-07,Brisbane Lions vs Hawthorn,Lions -2.5,1.91,win,handicap,brisbane,2026-08-07,-2.5,1.9,0.0,win,0.9099999999999999,0.8999999999999999
94,2026-08-08,Melbourne vs Fremantle,Fremantle Win,1.47,loss,h2h,fremantle,2026-08-08,,1.45,1.379310344827589,loss,-1.0,-1.0
95,2026-08-09,West Coast Eagles vs Collingwood,Collingwood Win,1.56,win,h2h,collingwood,2026-08-09,,1.28,21.875,win,0.56,0.28
