season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,total,ml,under,172.5,,,177.5,178.5,1.98,2.1,-1.0,win,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,total,market,over,,,,177.5,178.5,1.82,1.8,1.0,loss,ml,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,h2h,normal,Sydney Swans,,1.004,256.41,,,1.01,1.04,-0.0288,win,tie,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,h2h,ml,Sydney Swans,,1.384,3.602,,,1.01,1.04,-0.0288,win,tie,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,h2h,market,Richmond Tigers,,,,,,13.0,11.0,0.1818,loss,tie,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,handicap,normal,Sydney Swans,95.6,,,-62.5,-55.5,1.9,1.95,-7.0,win,normal,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,handicap,ml,Richmond Tigers,49.0,,,62.5,55.5,1.9,1.85,7.0,loss,normal,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,handicap,market,Richmond Tigers,,,,62.5,55.5,1.9,1.85,7.0,loss,normal,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,total,normal,over,195.6,,,176.5,184.5,1.83,1.9,8.0,win,tie,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,total,ml,under,165.5,,,176.5,184.5,1.98,2.0,-8.0,loss,tie,5
2026,12,2026-05-30,Sydney Swans,Richmond Tigers,170,56,114.0,226.0,total,market,over,,,,176.5,184.5,1.83,1.9,8.0,win,tie,5
