round_number,home_team,away_team,rules_margin,ml_margin,rules_home_prob,ml_h2h,game_date,date,home_win,home_margin,mkt_home_prob_open,h2h_home_close,h2h_away_close,home_line_close,date_gap
11,Collingwood Magpies,West Coast Eagles,84.4,45.2,0.9905,0.9508,2026-05-23,2026-05-23,1.0,10.0,0.882,1.06,9.5,-47.5,0.0
11,Geelong Cats,Sydney Swans,5.8,3.5,0.564,0.5587,2026-05-23,2026-05-23,1.0,27.0,0.6076,1.5,2.6,-10.5,0.0
11,North Melbourne Kangaroos,Gold Coast Suns,-18.9,-3.6,0.3,0.5229,2026-05-23,2026-05-23,1.0,6.0,0.3844,2.4,1.58,10.5,0.0
11,Port Adelaide Power,Carlton Blues,29.3,23.8,0.7922,0.7333,2026-05-23,2026-05-23,0.0,-34.0,0.6373,1.44,2.8,-11.5,0.0
11,Greater Western Sydney Giants,Brisbane Lions,-22.3,-3.6,0.2674,0.4891,2026-05-24,2026-05-24,1.0,78.0,0.3627,2.45,1.55,11.5,0.0
11,Western Bulldogs,Melbourne Demons,27.7,2.7,0.7795,0.7539,2026-05-24,2026-05-24,1.0,3.0,0.5714,2.08,1.75,3.5,0.0
12,St Kilda Saints,Hawthorn Hawks,-30.4,-16.6,0.1989,0.4831,2026-05-28,2026-05-28,0.0,-52.0,0.3734,3.35,1.33,20.5,0.0
12,Carlton Blues,Geelong Cats,-44.1,-2.3,0.1102,0.7297,2026-05-29,2026-05-29,1.0,4.0,0.2706,4.4,1.21,26.5,0.0
12,Brisbane Lions,Fremantle Dockers,13.2,-13.1,0.6432,0.1469,2026-05-30,2026-05-30,0.0,-25.0,0.6266,1.58,2.4,-8.5,0.0
12,Sydney Swans,Richmond Tigers,95.6,49.0,0.9961,0.7224,2026-05-30,2026-05-30,1.0,114.0,0.9279,1.04,11.0,-55.5,0.0
12,Western Bulldogs,Collingwood Magpies,2.0,6.9,0.5225,0.9053,2026-05-30,2026-05-30,1.0,4.0,0.528,1.6,2.35,-8.5,0.0
12,Melbourne Demons,Greater Western Sydney Giants,15.2,1.9,0.6632,0.8156,2026-05-31,2026-05-31,0.0,-49.0,0.5541,2.2,1.67,4.5,0.0
12,West Coast Eagles,Essendon Bombers,-0.5,-7.6,0.4945,0.944,2026-05-31,2026-05-31,1.0,30.0,0.6296,1.44,2.8,-12.5,0.0
13,Adelaide Crows,Geelong Cats,-6.6,-2.9,0.4276,0.4213,2026-06-04,2026-06-04,1.0,1.0,0.3959,2.6,1.5,11.5,0.0
13,Hawthorn Hawks,Western Bulldogs,38.7,32.3,0.8588,0.8723,2026-06-05,2026-06-05,0.0,-6.0,0.708,1.5,2.6,-12.5,0.0
13,Gold Coast Suns,Brisbane Lions,8.1,2.2,0.5892,0.6887,2026-06-06,2026-06-06,0.0,-31.0,0.5497,1.5,2.6,-13.5,0.0
13,North Melbourne Kangaroos,Fremantle Dockers,-26.9,-22.8,0.227,0.0212,2026-06-06,2026-06-06,0.0,-124.0,0.2596,4.0,1.25,26.5,0.0
13,West Coast Eagles,Port Adelaide Power,-25.5,-12.1,0.2395,0.7599,2026-06-06,2026-06-06,0.0,-6.0,0.3875,2.2,1.67,6.5,0.0
13,Essendon Bombers,Carlton Blues,-21.9,-18.8,0.2717,0.5817,2026-06-07,2026-06-07,0.0,-5.0,0.2105,5.0,1.17,32.5,0.0
13,Sydney Swans,St Kilda Saints,54.4,38.6,0.9345,0.9824,2026-06-07,2026-06-07,1.0,2.0,0.7634,1.19,4.75,-30.5,0.0
13,Collingwood Magpies,Melbourne Demons,21.4,9.3,0.7243,0.9312,2026-06-08,2026-06-08,0.0,-8.0,0.4737,1.9,1.9,-1.5,0.0
14,Western Bulldogs,Adelaide Crows,-7.4,-15.4,0.4185,0.8493,2026-06-11,2026-06-11,0.0,-57.0,0.5348,1.65,2.25,-5.5,0.0
14,Geelong Cats,Gold Coast Suns,36.8,13.4,0.8465,0.7201,2026-06-12,2026-06-12,1.0,45.0,0.6982,1.21,4.4,-27.5,0.0
14,Melbourne Demons,Essendon Bombers,34.9,34.5,0.8342,0.9863,2026-06-13,2026-06-13,1.0,45.0,0.799,1.18,4.9,-28.5,0.0
14,North Melbourne Kangaroos,West Coast Eagles,27.4,12.6,0.7767,0.8765,2026-06-13,2026-06-13,1.0,1.0,0.5744,1.45,2.75,-13.5,0.0
14,Port Adelaide Power,Sydney Swans,-16.2,1.5,0.3265,0.6113,2026-06-13,2026-06-13,0.0,-3.0,0.3119,2.8,1.44,14.5,0.0
14,Richmond Tigers,Brisbane Lions,-30.5,-28.4,0.1984,0.0367,2026-06-14,2026-06-14,0.0,-35.0,0.117,10.0,1.05,51.5,0.0
14,St Kilda Saints,Greater Western Sydney Giants,-12.2,-18.7,0.3675,0.9079,2026-06-14,2026-06-14,1.0,8.0,0.4759,1.95,1.85,1.5,0.0
15,Fremantle Dockers,Geelong Cats,14.9,19.5,0.6602,0.9886,2026-06-18,2026-06-18,1.0,9.0,0.6266,1.33,3.3,-18.5,0.0
15,Gold Coast Suns,Hawthorn Hawks,-8.4,-12.4,0.4072,0.3179,2026-06-19,2026-06-19,0.0,-16.0,0.4577,2.35,1.6,4.5,0.0
15,Adelaide Crows,Melbourne Demons,31.8,29.8,0.8113,0.916,2026-06-20,2026-06-20,1.0,17.0,0.6667,1.34,3.25,-18.5,0.0
15,Collingwood Magpies,Port Adelaide Power,26.8,5.5,0.7719,0.7862,2026-06-20,2026-06-20,1.0,26.0,0.6722,1.55,2.45,-9.5,0.0
15,Greater Western Sydney Giants,Carlton Blues,29.7,-3.1,0.7951,0.0967,2026-06-20,2026-06-20,0.0,-23.0,0.6538,1.29,3.6,-21.5,0.0
15,Richmond Tigers,North Melbourne Kangaroos,-18.7,-37.3,0.3017,0.4219,2026-06-21,2026-06-21,0.0,-25.0,0.3171,3.6,1.29,23.5,0.0
15,St Kilda Saints,Western Bulldogs,-4.6,1.6,0.4487,0.6732,2026-06-21,2026-06-21,0.0,-22.0,0.4868,1.8,2.0,-2.5,0.0
16,Brisbane Lions,Sydney Swans,2.1,6.7,0.5229,0.7227,2026-06-26,2026-06-25,1.0,43.0,0.52,1.85,1.95,-1.5,1.0
16,Carlton Blues,West Coast Eagles,30.9,27.7,0.8046,0.9456,2026-06-27,2026-06-27,1.0,53.0,0.7721,1.13,6.0,-36.5,0.0
16,Hawthorn Hawks,Greater Western Sydney Giants,28.0,20.9,0.7816,0.8705,2026-06-27,2026-06-26,1.0,14.0,0.7031,1.26,3.8,-21.5,1.0
16,Collingwood Magpies,Richmond Tigers,43.6,48.6,0.8871,0.998,2026-06-28,2026-06-27,1.0,34.0,0.8296,1.11,6.5,-38.5,1.0
16,Port Adelaide Power,Adelaide Crows,-23.4,-11.4,0.2576,0.6772,2026-06-28,2026-06-27,1.0,26.0,0.358,3.7,1.25,23.5,1.0
16,Fremantle Dockers,Gold Coast Suns,40.8,20.4,0.8715,0.9833,2026-06-29,2026-06-28,1.0,51.0,0.7895,1.18,4.5,-29.5,1.0
16,North Melbourne Kangaroos,Essendon Bombers,29.1,27.4,0.7906,0.986,2026-06-29,2026-06-28,1.0,14.0,0.6548,1.45,2.75,-13.5,1.0
17,Geelong Cats,Brisbane Lions,29.8,15.2,0.796,0.5263,2026-07-02,2026-07-02,0.0,-22.0,0.6829,1.47,2.7,-12.5,0.0
17,Sydney Swans,Western Bulldogs,30.4,16.4,0.8007,0.4663,2026-07-03,2026-07-03,1.0,35.0,0.708,1.44,2.8,-14.5,0.0
17,West Coast Eagles,Adelaide Crows,-36.5,-18.2,0.155,0.5406,2026-07-03,2026-07-03,0.0,-25.0,0.2398,4.85,1.18,29.5,0.0
