season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-09-13,Preston v Middlesbrough,OVER,0.47565737617104914,2.2,2.08,0.04644622757630823,True,1.2000000000000002,0.05769230769230771
2025/26,2025-09-13,Charlton v Millwall,UNDER,0.6996276435222908,1.57,1.55,0.09841540032999663,True,0.5700000000000001,0.012903225806451646
2025/26,2025-09-13,Coventry v Norwich,OVER,0.6118269262914754,1.7,1.53,0.040105774695508245,False,-1.0,0.11111111111111116
2025/26,2025-09-13,Wrexham v QPR,OVER,0.6084061455092418,1.98,2.0,0.20464416810829866,True,0.98,-0.010000000000000009
2025/26,2025-09-14,Southampton v Portsmouth,OVER,0.6300248959252275,1.85,1.72,0.16554605746167095,False,-1.0,0.07558139534883734
2025/26,2025-09-19,Middlesbrough v West Brom,UNDER,0.5715524247686128,1.85,1.73,0.0573719858219337,False,-1.0,0.06936416184971095
2025/26,2025-09-20,Sheffield United v Charlton,UNDER,0.6054485096147268,1.73,1.77,0.047425921633477364,True,0.73,-0.02259887005649719
2025/26,2025-09-20,Portsmouth v Sheffield Weds,OVER,0.5615818788946164,1.91,1.94,0.07262138868871726,False,-1.0,-0.015463917525773252
2025/26,2025-09-20,Norwich v Wrexham,OVER,0.7454337859332774,1.73,1.74,0.2896004496645699,True,0.73,-0.005747126436781658
2025/26,2025-09-22,Millwall v Watford,UNDER,0.6517933014081045,1.66,1.63,0.08197688033745343,True,0.6599999999999999,0.01840490797546024
2025/26,2025-09-27,Charlton v Blackburn,UNDER,0.6662089790309123,1.62,1.58,0.07925854603007787,False,-1.0,0.025316455696202445
2025/26,2025-09-27,Ipswich v Portsmouth,OVER,0.6394089587367863,1.8,1.63,0.1509361257262154,True,0.8,0.10429447852760743
2025/26,2025-09-27,Oxford v Sheffield United,UNDER,0.5882960488070055,1.76,1.75,0.03540104590032955,True,0.76,0.005714285714285783
2025/26,2025-09-27,Southampton v Middlesbrough,OVER,0.6062746677477124,1.88,1.81,0.13979637536569922,False,-1.0,0.03867403314917128
2025/26,2025-09-27,Swansea v Millwall,UNDER,0.6509596031671716,1.6,1.6,0.04153536506747457,True,0.6000000000000001,0.0
2025/26,2025-09-27,Wrexham v Derby,OVER,0.4641348823012106,2.38,2.12,0.10464101987688124,False,-1.0,0.12264150943396213
2025/26,2025-09-30,Derby v Charlton,UNDER,0.7116218466445863,1.5,1.48,0.0674327699668793,True,0.5,0.013513513513513598
2025/26,2025-09-30,Leicester v Wrexham,OVER,0.6758692019134405,1.91,1.82,0.29091017565467125,False,-1.0,0.049450549450549275
2025/26,2025-09-30,Sheffield United v Southampton,OVER,0.5200698809332946,2.0,1.98,0.040139761866589296,True,1.0,0.010101010101010166
2025/26,2025-09-30,Hull v Preston,UNDER,0.5778879888616769,1.8,1.71,0.04019837995101838,False,-1.0,0.05263157894736836
2025/26,2025-10-01,Millwall v Coventry,UNDER,0.546487111551573,1.93,1.84,0.05472012529453596,False,-1.0,0.048913043478260754
