Date,Season,HomeTeam,AwayTeam,total,over25,mkt_open,mkt_close,resid,xi_shots90_sum,xi_sot90_sum,xi_goals90_sum,xi_minshare_sum,xi_minshare_min
2024-10-05,2024/25,West Brom,Millwall,0.0,0,0.4116161616161616,0.41353383458646614,-0.41353383458646614,23.024557851461566,7.733745997244232,2.432704152630625,1.3861707877918037,0.6800890523666634
2024-10-05,2024/25,Watford,Middlesbrough,3.0,1,0.5692307692307692,0.5829145728643217,0.4170854271356783,24.081491517302076,8.36199232527131,2.1168251626959953,1.0955426559485693,0.480463675427201
2024-10-05,2024/25,Swansea,Stoke,0.0,0,0.49350649350649356,0.5192802056555269,-0.5192802056555269,24.126525265281032,7.538402844751521,3.812302540211453,1.290768196627112,0.5260273972602739
2024-10-05,2024/25,Sheffield United,Luton,2.0,0,0.5116883116883117,0.4845360824742268,-0.4845360824742268,20.19688120487544,6.625154414577484,1.9748320644872372,1.1701121111099053,0.533320228032239
2024-10-05,2024/25,Portsmouth,Oxford,2.0,0,0.4987080103359174,0.4743589743589744,-0.4743589743589744,15.47250767763665,4.749501436442302,2.529963983695512,1.1286184948593903,0.4689638014678443
2024-10-05,2024/25,Norwich,Hull,4.0,1,0.5674300254452926,0.5839598997493733,0.41604010025062665,26.026384497257975,7.943192184490587,3.4124957817592403,1.2048250349493688,0.5145056246299585
2024-10-05,2024/25,Derby,QPR,2.0,0,0.4623376623376624,0.44642857142857145,-0.44642857142857145,24.235103811166493,7.759244026066719,2.6997731704979016,1.3134411693078571,0.6375321336760925
2024-10-05,2024/25,Burnley,Preston,0.0,0,0.4716494845360826,0.41000000000000003,-0.41000000000000003,17.309572417543656,5.762933184917259,1.6862725551228022,1.3667727818449096,0.6744464392579294
2024-10-05,2024/25,Plymouth,Blackburn,3.0,1,0.5644329896907216,0.5398457583547558,0.4601542416452442,21.539212012876526,8.101319623177318,1.5681710983931618,1.1635085802384117,0.4925019731649566
2024-10-06,2024/25,Bristol City,Cardiff,2.0,0,0.48958333333333337,0.4832904884318767,-0.4832904884318767,24.634487356561074,8.475144754650177,1.9377002289488119,1.2051983631477985,0.4952952952952953
