season,date,home,away,actual,over,old_1x2,old_ou,old_lam,new_1x2,new_ou,new_lam,mkt_src,mkt_1x2
2020/21,2021-02-02,Millwall,Norwich,D,False,1.2331270217562873,0.5046778931797565,2.271337369317516,1.3094814791069311,0.5828588266658222,2.4437832591656417,PSCH,1.305586946999686
2020/21,2021-02-02,Bournemouth,Sheffield Weds,A,True,1.276649337647143,0.763784260159386,2.5381251695988674,1.610688694335753,0.6401752957938396,2.7860113347359325,PSCH,2.069254696372843
2020/21,2021-02-02,Coventry,Nott'm Forest,A,True,1.2607195382118241,0.8372485245342022,2.410135569287218,1.020790506964339,0.7747911696004556,2.518167922962809,PSCH,1.1128292705435863
2020/21,2021-02-03,Rotherham,Derby,H,True,0.9925510185960198,0.7925256245402241,2.4865861546408174,1.1576937268052085,0.6583593550742813,2.7464008340254416,PSCH,1.147841933185909
2020/21,2021-02-05,Swansea,Norwich,H,False,0.8060295476250401,0.55095341485677,2.374480337794612,1.1643334734177386,0.5305182571117267,2.3291550628231743,PSCH,1.0118494486240026
2020/21,2021-02-06,Wycombe,Nott'm Forest,A,True,1.138372347241987,0.8289669037024802,2.423853359294981,0.8455994225413573,0.6405547304407747,2.7850576113894743,PSCH,0.750248905115275
2020/21,2021-02-06,Preston,Rotherham,A,True,1.3048987229158964,0.779576908558333,2.509524352246171,1.4942168656494803,0.6377124736718448,2.7913333268747818,PSCH,1.1423022935391551
2020/21,2021-02-06,Coventry,Watford,D,False,1.2695797485516913,0.6211986812473612,2.5256140230574964,1.1247696209815425,0.3224115529728788,1.8233384203061198,PSCH,1.1839210973862042
2020/21,2021-02-06,Bournemouth,Birmingham,H,True,0.7036218488539666,0.7539593199567027,2.5560919893910397,0.5193787644773822,0.5875266986962615,2.907271416632838,PSCH,0.6043327651330046
2020/21,2021-02-09,Rotherham,Cardiff,A,True,1.0169401400240847,0.7221641296304379,2.616494037378466,0.871317366231424,0.5732330838946078,2.942026989802184,PSCH,0.9738615811693883
2020/21,2021-02-09,Sheffield Weds,Wycombe,H,False,0.8800334586623284,0.5525160508201997,2.377903202874187,0.6097807717364154,0.7832907304129113,2.8531719095346233,PSCH,0.705972682829983
2020/21,2021-02-13,Watford,Bristol City,H,True,0.8217253450331824,0.7149838751691198,2.630487485825553,0.9944925796937197,1.4304552569056603,1.686519598535154,PSCH,0.491020604440372
2020/21,2021-02-13,Nott'm Forest,Bournemouth,D,False,1.2250562130737774,0.5589659990939256,2.3918693453255195,1.2626918002246246,0.6622300779252237,2.6107299953352285,PSCH,1.2426806490475664
2020/21,2021-02-13,Norwich,Stoke,H,True,0.769294153139814,0.8253080841622843,2.4300105451596963,0.527090516232026,0.7341775301179372,2.5934946902789227,PSCH,0.623874463367912
2020/21,2021-02-13,Cardiff,Coventry,H,True,0.7331945526698728,0.7246378476513161,2.611539221801008,0.5488171296031186,0.6056859047899509,2.864214740773945,PSCH,0.7841830809593697
2020/21,2021-02-13,Huddersfield,Wycombe,A,True,1.164559801969101,0.6857744262305322,2.689075938627049,1.608438412101017,0.49380463943168784,3.153576822095665,PSCH,1.617901621065118
2020/21,2021-02-16,Wycombe,Derby,A,True,1.057509941861977,0.7978412516746112,2.477120207984844,0.7678576237865418,0.5506064937778352,2.9992267669748784,PSCH,0.7699220400314037
2020/21,2021-02-16,Preston,Watford,A,False,1.1608494599438492,0.609725572420873,2.5013444149146156,1.317290823023161,0.24194418077792715,1.593252057450349,PSCH,0.7889831189963359
2020/21,2021-02-17,Bournemouth,Rotherham,H,False,0.8055246898294806,0.6232480531802781,2.529744744561504,0.5311154184137874,0.9093151181377297,3.0925488248252853,PSCH,0.6065892155028171
2020/21,2021-02-17,Coventry,Norwich,A,False,1.0421374417401308,0.6232480531802781,2.529744744561504,0.5639448424059206,0.7373080763457149,2.762688376508321,PSCH,0.5720772660497697
2020/21,2021-02-19,Watford,Derby,H,True,0.8687394300159327,0.7923047520931639,2.486990014793342,1.0070363451809001,1.5616005830199404,1.5735213234929653,PSCH,0.6283469761996354
2020/21,2021-02-20,QPR,Bournemouth,H,True,0.8907935649756369,0.6132275573840719,2.8467484115803425,1.0881769269465817,0.5764313808639846,2.934263397985839,PSCH,1.1843879999740756
2020/21,2021-02-20,Norwich,Rotherham,H,False,0.7346986077181806,0.6223159997993539,2.5277976212192526,0.3883572850079987,0.8509712657535123,2.9833061608739215,PSCH,0.41627163355832636
2020/21,2021-02-20,Coventry,Brentford,H,False,1.206706729208556,0.7304337653459619,2.7489862409909707,1.5109962771220686,0.857550236851555,2.995753813741958,PSCH,1.3155974284295442
2020/21,2021-02-20,Millwall,Wycombe,D,False,1.2501563686304178,0.5213811377055073,2.308836517390004,1.4499159694172152,0.8269071707394695,2.9371060799693383,PSCH,1.3222197155033184
2020/21,2021-02-23,Birmingham,Norwich,A,True,0.8464915430809985,0.8495670998312469,2.389870191979259,0.5720574950424435,0.8072121368479179,2.461034280788274,PSCH,0.5062346920501413
2020/21,2021-02-23,Rotherham,Nott'm Forest,A,False,1.1534381309518884,0.5631721041381998,2.4010013874660103,0.9790175617824602,0.6055026707078989,2.4922118911503977,PSCH,1.0451027404383129
2020/21,2021-02-23,Wycombe,Reading,H,False,0.9725530140145126,0.7552353728733671,2.797952954784929,1.2933506154771528,1.039023497256452,3.328391812195069,PSCH,1.5416966884993963
2020/21,2021-02-24,Swansea,Coventry,H,False,0.6935873214121211,0.564226400493106,2.4033404188921965,0.5313555372813428,0.672560546951557,2.632133877946443,PSCH,0.7946350182787523
2020/21,2021-02-24,Blackburn,Watford,A,True,1.120612528947777,0.6931471805599453,2.6739294054577174,1.2421247554755146,1.389499492068839,1.7241477907033158,PSCH,0.8641483155977626
2020/21,2021-02-24,Bournemouth,Cardiff,A,True,1.0358065178757183,0.723194101912242,2.6143696041895224,1.2262543282412703,0.6518133170669681,2.760586989480994,PSCH,1.2538827599854772
2020/21,2021-02-27,Rotherham,Reading,A,False,1.1029818211860525,0.7358459350930606,2.759917195918317,0.9238693773977054,0.785262469467751,2.8571164258906676,PSCH,0.8599175903072571
2020/21,2021-02-27,Bournemouth,Watford,H,False,0.9190698676246652,0.6197108624867631,2.522352952079264,0.8524412187111922,0.3761490537741113,1.963739672025135,PSCH,1.063106814868469
2020/21,2021-02-27,Blackburn,Coventry,D,False,1.2748603266736849,0.7119223358862793,2.711976476213629,1.3575902929915356,0.7824156483181275,2.8514156371808337,PSCH,1.221993282555663
2020/21,2021-02-28,Wycombe,Norwich,A,False,0.9705621406559487,0.6202685351473727,2.5236124660253187,0.43686290025558044,0.935218741759674,3.1407190593922123,PSCH,0.32194959558485
2020/21,2021-03-02,Coventry,Middlesbrough,A,True,1.0386278717390982,0.815540828774012,2.4463741434405355,0.8325701803826213,0.7804495089627419,2.507984350382345,PSCH,1.005423513007969
2020/21,2021-03-03,Watford,Wycombe,H,False,0.7366811825836737,0.6197108624867631,2.5224348377849473,0.6020610690682185,0.4317064193133915,2.1008029056822295,AvgCH,0.38236920000889124
2020/21,2021-03-03,Sheffield Weds,Rotherham,A,True,1.1597326583472123,0.8648849438142551,2.3647639977419868,1.3370852371073438,0.8027388571900397,2.468671949337086,AvgCH,1.134033384241404
2020/21,2021-03-03,Norwich,Brentford,H,False,1.0263567454877103,0.7188753291326766,2.725897622309406,0.6681424215703793,0.7389817169037447,2.766064016440276,PSCH,0.8355723347109052
2020/21,2021-03-03,Bristol City,Bournemouth,A,True,1.1005741530679451,0.789658080940789,2.49142087346747,0.915021575692544,0.7213409149307273,2.618217841823161,PSCH,0.6466894956581755
2020/21,2021-03-06,Watford,Nott'm Forest,H,False,0.8246251125827819,0.5530374725753002,2.3791166208300054,0.9051529874636992,0.25489224962879004,1.6321502533885108,PSCH,0.6880345516954721
2020/21,2021-03-06,Coventry,Derby,H,False,0.944510181449053,0.6064191770501212,2.49427084734597,1.166586464832097,0.6254885320861306,2.534544058255537,PSCH,0.9908085306864838
2020/21,2021-03-06,Norwich,Luton,H,True,0.5477489778705884,0.9175415137758076,2.2833485881551443,0.3356965918276234,0.7056247020710579,2.6493027575649744,PSCH,0.33718674370862173
2020/21,2021-03-06,Preston,Bournemouth,D,False,1.2554064594407857,0.6084384526329911,2.4985487787876526,1.2740019268212688,0.6764867396668381,2.6403169016131387,PSCH,1.2733607105953693
2020/21,2021-03-06,Stoke,Wycombe,H,False,0.7655028427520857,0.6600993265137451,2.6064217662394973,0.5208086218193926,0.9036213287734921,3.0821142111644817,PSCH,0.53058269747216
2020/21,2021-03-09,QPR,Wycombe,H,False,0.774036854212074,0.7737066884183621,2.834202535218321,0.5069996189324616,1.0128016322549989,3.2815544200899542,PSCH,0.5020919437972361
2020/21,2021-03-13,Bournemouth,Barnsley,A,True,1.2694729660852708,0.7484484963450346,2.5663541470526905,1.4696759700589417,0.6193392534152254,2.832922994003173,PSCH,1.300357345372424
2020/21,2021-03-13,Cardiff,Watford,A,True,1.39896339424652,0.6853774432955846,2.6900803939068205,1.412022509692622,1.268333563486326,1.8444095563887553,PSCH,0.9638071369432526
2020/21,2021-03-13,Wycombe,Preston,H,False,0.9597202898014909,0.6356332743593385,2.55581819189114,1.3220433813183672,0.744019510933702,2.7758252775828236,PSCH,1.3314634634126692
2020/21,2021-03-14,Sheffield Weds,Norwich,A,True,0.8880677729304152,0.8549604767225492,2.3807726274534033,0.5656866785572559,0.8162191781499395,2.445412577949164,PSCH,0.5000438988814042
2020/21,2021-03-16,Rotherham,Watford,A,True,1.0333446073726065,0.7782694339767804,2.511844210820401,0.914467395163294,1.2039728043259361,1.913954116814577,PSCH,0.5496108664595639
2020/21,2021-03-16,Luton,Coventry,H,False,0.9386385955380626,0.6721687741747537,2.631410346814638,0.7497175320483396,0.7050173531304328,2.6980435374913214,PSCH,1.1932126653697057
2020/21,2021-03-16,Bournemouth,Swansea,H,True,1.132769045319604,0.7678707267558817,2.5303744888489876,0.968979736654577,0.6570081339440722,2.74956296380443,PSCH,0.7453373570337548
2020/21,2021-03-17,Nott'm Forest,Norwich,A,False,1.0218712783371817,0.5109923043230896,2.285622980470611,0.6714143984667029,0.5276327420823718,2.322792979587173,PSCH,0.6355712940931798
2020/21,2021-03-17,Wycombe,Barnsley,A,True,1.0550231323044998,0.7223700392368486,2.615953111529529,0.7490193631265777,0.6618423307315328,2.739005955104327,PSCH,0.5367389481750746
2020/21,2021-03-20,Watford,Birmingham,H,True,0.6347162052354596,0.7522604450524519,2.5592985699863786,0.5878926737009487,1.0741148170677222,2.067574261010469,PSCH,0.5835563385125951
2020/21,2021-03-20,Norwich,Blackburn,D,False,1.3447686142913922,0.7450722534248647,2.778026218480947,1.5269366909223567,0.8481649028265545,2.9779800394194442,PSCH,1.5615062893699754
2020/21,2021-03-20,Coventry,Wycombe,D,False,1.2593793469155166,0.6154456728960933,2.513138339490559,1.2947001679588936,0.6667000105450969,2.6200819232106665,PSCH,1.345853424419664
2020/21,2021-03-20,Bristol City,Rotherham,A,False,1.1857073055190916,0.5918549290780729,2.4630966040498006,1.3566267222308326,0.7217524375702797,2.7315750545207877,PSCH,1.0575539852910805
2020/21,2021-04-02,Wycombe,Blackburn,H,False,0.9847837283194556,0.739191119061352,2.7665444385235842,1.3866944411412303,0.809680996815897,2.9043283141625436,PSCH,1.6275357392368883
2020/21,2021-04-02,Watford,Sheffield Weds,H,False,0.7229056027242208,0.6527732864216721,2.591422665718329,0.6595456949010385,0.41218765386899114,2.0535175990915864,PSCH,0.48192294058589685
2020/21,2021-04-02,QPR,Coventry,H,True,0.8293781166742943,0.6314878001732175,2.805206025156461,0.6328614396865835,0.6135969018019363,2.846010129139056,PSCH,0.8348015358101196
2020/21,2021-04-02,Preston,Norwich,D,False,1.304681238716381,0.5987465051384611,2.4777021966875776,1.3780881245727914,0.6297968650591836,2.543488418332231,PSCH,1.4015077010820076
2020/21,2021-04-02,Millwall,Rotherham,H,False,0.8282798545514417,0.5025268209512956,2.2663646856070234,0.7110667818628962,0.6384696192692495,2.5616320403770194,PSCH,0.8817931801283534
2020/21,2021-04-02,Bournemouth,Middlesbrough,H,True,0.9892647318328278,0.8285088184906219,2.424678058113652,0.8359788296674876,0.730226188801366,2.60086792682913,PSCH,0.7274433034159412
2020/21,2021-04-05,Rotherham,Wycombe,A,True,1.2565297908897721,0.7843856609942166,2.500818914938179,1.4984333543911892,0.6174832766389557,2.837158129551776,PSCH,1.7050026551473327
2020/21,2021-04-05,Blackburn,Bournemouth,A,False,1.1305364862527536,0.6595189995799613,2.605415445310749,0.9551874975041016,0.7520482884801062,2.791714112861061,PSCH,0.9023443410240086
2020/21,2021-04-05,Middlesbrough,Watford,D,False,1.2140931377295519,0.46426015461866976,2.1780729758774546,1.0984123086654436,0.2697111871305444,1.6756771086149662,PSCH,1.2129046577682672
2020/21,2021-04-05,Coventry,Bristol City,H,True,0.8886026103039851,0.6573940108541275,2.7485480448551103,1.174770052517841,0.6733445532637656,2.714890558637663,PSCH,0.8808107901534503
2020/21,2021-04-06,Norwich,Huddersfield,H,True,0.6107196265866341,0.7048149854276274,2.6505915646604414,0.3482533623570541,0.5435210066041328,3.017506438027956,PSCH,0.37669443839363254
2020/21,2021-04-09,Watford,Reading,H,False,0.8067087162568247,0.7033995570242967,2.694991119156387,0.7189889876775067,0.4462871026284195,2.1356874771265044,PSCH,0.6116038627598193
2020/21,2021-04-10,Huddersfield,Rotherham,D,False,1.2807458631318498,0.7337608634452425,2.755482568699212,1.3431199357360943,0.8994336148077321,3.0741808103655135,PSCH,1.224179041048992
2020/21,2021-04-10,Wycombe,Luton,A,True,1.5335886001506625,0.9431481860440377,2.245281829284324,1.2784090354789537,0.9665319483109017,2.211620802118943,PSCH,0.7921814927211911
2020/21,2021-04-10,Derby,Norwich,A,False,1.0536293628416316,0.6086222254902574,2.498989590118252,0.6770179586300745,0.6088060321261943,2.499095792331409,PSCH,0.49352138565588194
2020/21,2021-04-10,Bournemouth,Coventry,H,True,0.7901427798861439,0.7815413313225407,2.5060065653601273,0.4508129538598197,0.5817847127064847,2.921291864560441,PSCH,0.5204744455993585
2020/21,2021-04-13,Huddersfield,Bournemouth,A,True,0.9658261513280035,0.6780615431419044,2.7050876925195677,0.7775640042897558,0.5758976205097055,2.935323014243984,PSCH,0.6222553225120233
2020/21,2021-04-13,Rotherham,QPR,H,True,0.7928128316737724,0.7412875558878803,2.5798483324512276,0.9350149408724345,0.7017843739556089,2.656531847751148,PSCH,0.9782720444806444
2020/21,2021-04-15,Rotherham,Coventry,A,False,1.2112660018200778,0.6135969018019363,2.5093987569391913,1.3354871848686178,0.6731484940532562,2.6332685187866662,PSCH,1.1233254708773661
2020/21,2021-04-17,Swansea,Wycombe,D,True,1.2720718522735224,0.9046092271003171,2.302852934213663,1.427908335840355,0.7244314705997117,2.6121426841485036,PSCH,1.5206127501830111
2020/21,2021-04-17,Luton,Watford,H,False,1.0426479207506776,0.6641710723234283,2.614933813956272,1.2842094332630465,0.390084006069862,1.9988423393678894,PSCH,1.6436513632924012
2020/21,2021-04-17,Norwich,Bournemouth,A,True,1.3203568190686121,0.7802312874670587,2.508342092763171,1.6524498030273913,0.6800335414145621,2.701017068112763,PSCH,1.3278064878170215
2020/21,2021-04-18,Coventry,Barnsley,H,False,0.9376099024634433,0.6818116708961997,2.6510687483106388,1.2231896032530685,0.6437857510222212,2.572691090691469,PSCH,1.3124380238659195
2020/21,2021-04-18,Rotherham,Birmingham,A,False,1.347650737527686,0.606235808570649,2.4936877444220884,1.1542624287602765,0.635444470431656,2.5553763991022334,PSCH,1.129469117330531
2020/21,2021-04-20,Norwich,Watford,A,False,1.2708963896915109,0.611198597912778,2.5041549875640365,1.585867880921668,0.3619746770336361,1.9275552759989707,PSCH,1.260296808371275
2020/21,2021-04-21,Wycombe,Bristol City,H,True,0.8964881045779755,0.6637825719300413,2.73480403853986,1.1348199456376193,0.5354599047243516,3.0388061585053037,PSCH,1.0456502428936945
2020/21,2021-04-21,Stoke,Coventry,A,True,1.264324546710683,0.7652878583376277,2.535326627262525,1.5666916357035496,0.7575790407193342,2.5496328266421395,PSCH,1.0918363464186411
2020/21,2021-04-21,Rotherham,Middlesbrough,A,True,1.026777544506739,0.8234836822879487,2.4330974630476763,0.8548259001145697,0.7379353633500794,2.586119676758642,PSCH,1.0601652310311716
2020/21,2021-04-21,Millwall,Bournemouth,A,True,1.1647520911726548,0.9612880978048908,2.2191593212099434,0.915091451298673,0.8007323912398827,2.4721674491652674,PSCH,0.6107746985563298
2020/21,2021-04-24,QPR,Norwich,A,True,1.0746240211251532,0.6064191770501212,2.86228598143676,0.6959511078926796,0.5828588266658222,2.9186342456444474,PSCH,0.5838114469674293
2020/21,2021-04-24,Watford,Millwall,H,False,0.8156312487749778,0.5247555292994887,2.3163815000679095,0.7447773737968039,0.2957142441490452,1.7499994174691564,PSCH,0.45655314679597747
2020/21,2021-04-24,Bournemouth,Brentford,A,False,0.9620814386396601,0.7054222114355578,2.6988529661048455,1.2550906755045463,0.9314043696842031,3.1335192234376485,PSCH,1.2147516832115945
2020/21,2021-04-24,Cardiff,Wycombe,H,True,0.6652518778283577,0.7070432857520567,2.6462165430670446,0.4728236016329832,0.5131616835635384,3.0991756172806557,PSCH,0.5887123644473655
2020/21,2021-04-24,Barnsley,Rotherham,H,False,0.7993937061574663,0.6018450221531592,2.484360245955007,0.6483076670872533,0.6847822642283177,2.6572238764759053,PSCH,0.5828382200351965
2020/21,2021-04-24,Coventry,Preston,A,False,1.2541088738197332,0.6011150951134516,2.4827917825912316,1.0410322970379002,0.6139663826855041,2.5101087226518173,PSCH,1.2025698685864648
2020/21,2021-04-27,Brentford,Rotherham,H,False,0.5163610817888632,0.7828530936444384,2.852271345009129,0.38722197823879745,0.9080745771028146,3.0905762509010417,PSCH,0.5817091258326429
2020/21,2021-05-01,Wycombe,Bournemouth,H,False,0.9939820395900268,0.6115671935675224,2.505114828608171,1.6020447896042047,1.0241543777500999,3.3017184676413485,PSCH,1.7233245099698382
2020/21,2021-05-01,Rotherham,Blackburn,D,False,1.2947001679588936,0.7182598813750205,2.724708960104924,1.2980271064082585,0.7052197617942145,2.6984417629933883,PSCH,1.3460982943236197
2020/21,2021-05-01,Huddersfield,Coventry,D,False,1.268689119045627,0.6997690568688322,2.687596041898024,1.2867048686369598,0.7180548162661301,2.724439186709639,PSCH,1.2126905625512838
