year,date,market_id,home_team,away_team,pregame_home_back,pregame_away_back,pregame_home_lay,pregame_away_lay,ht_home_back,ht_away_back,ht_home_lay,ht_away_lay,ht_matched_volume,ft_home_score,ft_away_score,ft_margin,ft_total,home_won,ht_home_impl_prob,ht_away_impl_prob,pregame_home_impl_prob,pregame_away_impl_prob,home_price_drift,away_price_drift,home_prob_shift,away_prob_shift,ht_deficit,deficit_band,ht_disposal_diff,ht_inside50_diff,ht_clearance_diff,ht_score_shot_diff,ft_score_diff,away_won,ht_home_score,ht_away_score,ht_home_goals,ht_home_behinds,ht_away_goals,ht_away_behinds,ft_home_score_afl,ft_away_score_afl,ht_score_diff,ht_total_score,ht_leader
2022,3/04/2022,196616163,Carlton,Hawthorn,1.64,2.46,1.68,2.48,1.08,6.2,1.14,12.5,205833.77,74.0,73.0,1.0,147.0,1,0.9259259259259258,0.1612903225806451,0.6097560975609756,0.4065040650406504,0.5599999999999998,-3.74,0.3161698283649502,-0.2452137424600052,,,,,,,1.0,0,59.0,29.0,9.0,5.0,4.0,5.0,74.0,73.0,30.0,88.0,home
2022,3/04/2022,196616631,St Kilda,Richmond,1.78,2.26,1.79,2.28,5.1,1.24,5.9,1.22,129957.39,117.0,84.0,33.0,201.0,1,0.196078431372549,0.8064516129032259,0.5617977528089888,0.4424778761061947,-3.3199999999999994,1.0199999999999998,-0.3657193214364397,0.3639737367970311,,,,,,,33.0,0,52.0,65.0,8.0,4.0,10.0,5.0,117.0,84.0,-13.0,117.0,away
2022,3/04/2022,196617099,West Coast,Fremantle,1.89,2.12,1.9,2.14,8.8,1.11,25.0,1.12,103760.39,47.0,102.0,-55.0,149.0,0,0.1136363636363636,0.9009009009009008,0.5291005291005292,0.4716981132075471,-6.910000000000001,1.01,-0.4154641654641655,0.4292027876933537,,,,,,,-55.0,1,8.0,42.0,1.0,2.0,6.0,6.0,47.0,102.0,-34.0,50.0,away
2022,7/04/2022,196829288,Port Adelaide,Melbourne,3.2,1.45,3.25,1.46,20.0,1.04,34.0,1.05,88620.76,36.0,68.0,-32.0,104.0,0,0.05,0.9615384615384616,0.3125,0.6896551724137931,-16.8,0.4099999999999999,-0.2625,0.2718832891246683,,,,,,,-32.0,1,5.0,42.0,0.0,5.0,6.0,6.0,36.0,68.0,-37.0,47.0,away
2022,8/04/2022,196829760,Geelong,Brisbane,2.02,1.96,2.04,1.97,1.66,2.28,1.66,2.74,181264.3,80.0,70.0,10.0,150.0,1,0.6024096385542169,0.4385964912280702,0.495049504950495,0.5102040816326531,0.3600000000000001,-0.3199999999999998,0.1073601336037218,-0.0716075904045828,,,,,,,10.0,0,48.0,39.0,7.0,6.0,6.0,3.0,80.0,70.0,9.0,87.0,home
2022,9/04/2022,196830246,Sydney,North Melbourne,1.12,8.6,1.13,9.0,1.19,5.8,1.21,7.8,256295.23,86.0,75.0,11.0,161.0,1,0.8403361344537815,0.1724137931034483,0.8928571428571428,0.1162790697674418,-0.0699999999999998,2.8,-0.0525210084033612,0.0561347233360064,,,,,,,11.0,0,40.0,37.0,6.0,4.0,6.0,1.0,86.0,75.0,3.0,77.0,home
2022,9/04/2022,196830726,Collingwood,West Coast,1.29,4.4,1.3,4.5,1.47,2.9,1.81,3.1,126529.91,74.0,87.0,-13.0,161.0,0,0.6802721088435374,0.3448275862068966,0.7751937984496123,0.2272727272727272,-0.1799999999999999,1.5000000000000004,-0.0949216896060749,0.1175548589341693,,,,,,,-13.0,1,42.0,44.0,6.0,6.0,7.0,2.0,74.0,87.0,-2.0,86.0,away
2022,9/04/2022,196831200,Richmond,Western Bulldogs,2.86,1.53,2.88,1.54,2.74,2.04,2.0,2.36,55714.97,99.0,61.0,38.0,160.0,1,0.364963503649635,0.4901960784313725,0.3496503496503497,0.6535947712418301,0.1199999999999996,-0.51,0.0153131539992853,-0.1633986928104575,,,,,,,38.0,0,45.0,34.0,7.0,3.0,4.0,10.0,99.0,61.0,11.0,79.0,home
2022,9/04/2022,196831669,Fremantle,GWS,1.7,2.4,1.71,2.44,1.5,2.1,1.7,3.9,84262.62,88.0,54.0,34.0,142.0,1,0.6666666666666666,0.4761904761904761,0.5882352941176471,0.4166666666666667,0.1999999999999999,0.2999999999999998,0.0784313725490195,0.0595238095238094,,,,,,,34.0,0,37.0,31.0,5.0,7.0,5.0,1.0,88.0,54.0,6.0,68.0,home
2022,10/04/2022,196832137,Essendon,Adelaide,1.63,2.56,1.64,2.58,1.4,2.66,1.6,2.92,142228.57,103.0,99.0,4.0,202.0,1,0.7142857142857143,0.3759398496240601,0.6134969325153374,0.390625,0.2299999999999999,-0.1,0.1007887817703768,-0.0146851503759398,,,,,,,4.0,0,60.0,52.0,9.0,6.0,8.0,4.0,103.0,99.0,8.0,112.0,home
2022,10/04/2022,196832605,Hawthorn,St Kilda,2.06,1.89,2.1,1.93,15.0,1.06,25.0,1.09,52077.65,73.0,142.0,-69.0,215.0,0,0.0666666666666666,0.9433962264150942,0.4854368932038835,0.5291005291005292,-12.94,0.8299999999999998,-0.4187702265372168,0.414295697314565,,,,,,,-69.0,1,38.0,75.0,5.0,8.0,12.0,3.0,73.0,142.0,-37.0,113.0,away
2022,10/04/2022,196833073,Gold Coast,Carlton,2.48,1.66,2.52,1.67,1.51,2.7,1.57,2.88,51724.42,92.0,62.0,30.0,154.0,1,0.6622516556291391,0.3703703703703703,0.4032258064516129,0.6024096385542169,0.97,-1.0400000000000005,0.2590258491775262,-0.2320392681838465,,,,,,,30.0,0,49.0,35.0,7.0,7.0,5.0,5.0,92.0,62.0,14.0,84.0,home
2022,14/04/2022,197192059,Brisbane,Collingwood,1.2,5.8,1.21,5.9,1.1,9.2,1.12,15.0,407525.32,98.0,91.0,7.0,189.0,1,0.9090909090909092,0.108695652173913,0.8333333333333334,0.1724137931034483,0.0999999999999998,-3.3999999999999995,0.0757575757575756,-0.0637181409295352,,,,,,,7.0,0,58.0,45.0,9.0,4.0,7.0,3.0,98.0,91.0,13.0,103.0,home
2022,16/04/2022,197193463,St Kilda,Gold Coast,1.4,3.45,1.41,3.5,1.4,3.2,1.49,3.7,133476.65,87.0,61.0,26.0,148.0,1,0.7142857142857143,0.3125,0.7142857142857143,0.2898550724637681,0.0,0.25,0.0,0.0226449275362318,,,,,,,26.0,0,43.0,37.0,6.0,7.0,6.0,1.0,87.0,61.0,6.0,80.0,home
2022,16/04/2022,197193931,Adelaide,Richmond,2.46,1.68,2.48,1.69,1.34,3.3,1.49,4.5,121611.95,101.0,82.0,19.0,183.0,1,0.7462686567164178,0.303030303030303,0.4065040650406504,0.5952380952380952,1.12,-1.62,0.3397645916757674,-0.2922077922077922,,,,,,,19.0,0,58.0,39.0,9.0,4.0,6.0,3.0,101.0,82.0,19.0,97.0,home
2022,16/04/2022,197194448,Melbourne,GWS,1.16,7.0,1.17,7.2,1.09,8.2,1.13,13.0,344284.9,120.0,53.0,67.0,173.0,1,0.9174311926605504,0.1219512195121951,0.8620689655172414,0.1428571428571428,0.0699999999999998,-1.1999999999999993,0.0553622271433089,-0.0209059233449477,,,,,,,67.0,0,38.0,24.0,6.0,2.0,3.0,6.0,120.0,53.0,14.0,62.0,home
2022,17/04/2022,197195384,Essendon,Fremantle,1.97,1.99,2.04,2.0,2.14,1.7,2.32,1.88,188510.29,59.0,107.0,-48.0,166.0,0,0.4672897196261682,0.5882352941176471,0.5076142131979695,0.5025125628140703,-0.1700000000000001,0.29,-0.0403244935718012,0.0857227313035767,,,,,,,-48.0,1,38.0,41.0,5.0,8.0,6.0,5.0,59.0,107.0,-3.0,79.0,away
2022,18/04/2022,197195852,Hawthorn,Geelong,3.55,1.38,3.6,1.39,3.35,1.76,2.34,1.79,105556.89,92.0,80.0,12.0,172.0,1,0.2985074626865671,0.5681818181818182,0.2816901408450704,0.7246376811594204,0.1999999999999997,-0.3800000000000001,0.0168173218414967,-0.1564558629776021,,,,,,,12.0,0,52.0,42.0,8.0,4.0,6.0,6.0,92.0,80.0,10.0,94.0,home
