season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Chelsea,h,7,8.23,1.40263,0.330699,0.641457,0.330699,1,0,0,12.14
2014/15,Chelsea,a,8,7.57,1.01515,1.16779,1.01515,1.16779,1,0,0,11.57
2014/15,Chelsea,a,9,14.11,0.989916,1.84074,0.989916,1.84074,0,1,0,11.85
2014/15,Chelsea,h,10,5.5,2.23703,0.510067,1.47586,0.510067,1,0,0,11.22
2014/15,Chelsea,a,11,11.93,1.97201,0.531905,1.97201,0.531905,1,0,0,11.04
2014/15,Chelsea,h,12,10.86,4.36607,0.0930471,4.36607,0.0930471,1,0,0,11.42
2014/15,Chelsea,a,13,5.45,0.761171,1.03133,0.761171,1.03133,0,1,0,10.9
2014/15,Chelsea,h,14,12.84,1.71947,0.289204,1.71947,0.289204,1,0,0,10.96
2014/15,Chelsea,a,15,7.1,2.16232,1.48574,2.16232,1.48574,0,0,1,10.18
2014/15,Chelsea,h,16,7.53,1.21862,0.435091,1.21862,0.435091,1,0,0,9.11
2014/15,Chelsea,a,17,10.84,1.45482,0.411669,1.45482,0.411669,1,0,0,9.37
2014/15,Chelsea,h,18,8.23,3.56764,0.45944,3.56764,0.45944,1,0,0,9.44
2014/15,Chelsea,a,19,10.45,0.521788,0.528455,0.521788,0.528455,0,1,0,9.07
2014/15,Chelsea,a,20,8.96,3.03274,1.82436,3.03274,1.06319,0,0,1,9.42
2014/15,Chelsea,h,21,5.85,1.08131,0.394837,1.08131,0.394837,1,0,0,8.81
2014/15,Chelsea,a,22,11.37,3.19733,0.214209,3.19733,0.214209,1,0,0,8.86
2014/15,Chelsea,h,23,11.13,0.708923,0.907151,0.708923,0.907151,0,1,0,9.43
2014/15,Chelsea,a,24,20.12,1.11662,0.707847,1.11662,0.707847,1,0,0,10.16
2014/15,Chelsea,h,25,16.71,0.89846,0.706994,0.89846,0.706994,1,0,0,11.12
2014/15,Chelsea,h,26,8.83,1.53973,0.513251,1.53973,0.513251,0,1,0,11.25
2014/15,Chelsea,a,27,8.41,2.38358,1.46324,2.38358,1.46324,1,0,0,11.01
2014/15,Chelsea,h,28,8.87,3.19317,1.82802,3.19317,1.06685,0,1,0,11.07
